month,hour,day_type,indoor_dry_bulb_temperature,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,0,1,24.71,487.0,0.0,0.0,0.0,0.0
1,1,1,24.37,646.0,0.0,0.0,0.0,0.0
1,2,1,24.03,636.0,0.0,0.0,0.0,0.0
1,3,1,24.94,625.0,0.0,0.0,0.0,0.0
1,4,1,23.47,622.0,0.0,0.0,0.0,0.0
1,5,1,23.57,608.0,0.0,0.0,0.0,0.0
1,6,1,24.14,619.0,0.0,0.0,0.0,41.287495
1,7,1,25.01,652.0,0.0,0.0,0.0,235.26062
1,8,1,25.14,665.0,0.0,0.0,0.0,402.32098
1,9,1,25.72,683.0,0.0,0.0,0.0,645.4776
1,10,1,26.55,708.0,0.0,0.0,0.0,712.7628
1,11,1,26.96,711.0,0.0,0.0,0.0,712.7628
1,12,1,27.29,914.0,0.0,0.0,0.0,712.7628
1,13,1,27.62,1003.0,0.0,0.0,0.0,347.57907
1,14,1,25.47,1017.0,0.0,0.0,0.0,335.2812
1,15,1,25.03,1037.0,0.0,0.0,0.0,389.63788
1,16,1,25.6,1027.0,0.0,0.0,0.0,215.66396
1,17,1,25.3,1020.0,0.0,0.0,0.0,44.379673
1,18,1,25.3,1058.0,0.0,0.0,0.0,0.0
1,19,1,25.18,1071.0,0.0,0.0,0.0,0.0
1,20,1,24.85,1054.0,0.0,0.0,0.0,0.0
1,21,1,24.59,1009.0,0.0,0.0,0.0,0.0
1,22,1,24.28,911.0,0.0,0.0,0.0,0.0
1,23,1,24.0,738.0,0.0,0.0,0.0,0.0
1,0,2,23.69,659.0,0.0,0.0,0.0,0.0
1,1,2,23.18,604.0,0.0,0.0,0.0,0.0
1,2,2,23.19,567.0,0.0,0.0,0.0,0.0
1,3,2,23.14,577.0,0.0,0.0,0.0,0.0
1,4,2,23.04,588.0,0.0,0.0,0.0,0.0
1,5,2,22.79,567.0,0.0,0.0,0.0,0.0
1,6,2,23.52,684.0,0.0,0.0,0.0,16.841408
1,7,2,23.16,800.0,0.0,0.0,0.0,73.70223
1,8,2,24.3,1168.0,0.0,0.0,0.0,242.22205
1,9,2,24.09,1412.0,0.0,0.0,0.0,513.4382
1,10,2,26.35,2028.0,0.0,0.0,0.0,712.7628
1,11,2,26.13,2459.0,0.0,0.0,0.0,712.7628
1,12,2,26.76,2514.0,0.0,0.0,0.0,712.7628
1,13,2,27.16,2546.0,0.0,0.0,0.0,384.9015
1,14,2,25.32,2573.0,0.0,0.0,0.0,539.3586
1,15,2,26.27,2565.0,0.0,0.0,0.0,384.86676
1,16,2,25.93,2583.0,0.0,0.0,0.0,272.94608
1,17,2,26.26,2559.0,0.0,0.0,0.0,59.721157
1,18,2,25.53,2445.0,0.0,0.0,0.0,0.0
1,19,2,25.51,2386.0,0.0,0.0,0.0,0.0
1,20,2,25.29,2288.0,0.0,0.0,0.0,0.0
1,21,2,25.43,2089.0,0.0,0.0,0.0,0.0
1,22,2,25.09,1216.0,0.0,0.0,0.0,0.0
1,23,2,24.99,731.0,0.0,0.0,0.0,0.0
1,0,3,24.77,659.0,0.0,0.0,0.0,0.0
1,1,3,24.79,594.0,0.0,0.0,0.0,0.0
1,2,3,24.26,605.0,0.0,0.0,0.0,0.0
1,3,3,24.1,553.0,0.0,0.0,0.0,0.0
1,4,3,23.99,563.0,0.0,0.0,0.0,0.0
1,5,3,23.91,536.0,0.0,0.0,0.0,0.0
1,6,3,23.37,622.0,0.0,0.0,0.0,35.431736
1,7,3,25.13,757.0,0.0,0.0,0.0,225.83958
1,8,3,24.96,1110.0,0.0,0.0,0.0,481.72513
1,9,3,26.15,1258.0,0.0,0.0,0.0,604.43964
1,10,3,26.48,1903.0,0.0,0.0,0.0,712.7628
1,11,3,27.57,2360.0,0.0,0.0,0.0,712.7628
1,12,3,28.79,2466.0,0.0,0.0,0.0,679.9811
1,13,3,27.63,2404.0,0.0,0.0,0.0,704.44995
1,14,3,28.25,2388.0,0.0,0.0,0.0,712.7628
1,15,3,27.72,2446.0,0.0,0.0,0.0,593.17267
1,16,3,26.66,2315.0,0.0,0.0,0.0,191.82481
1,17,3,25.82,2267.0,0.0,0.0,0.0,40.275997
1,18,3,25.53,2254.0,0.0,0.0,0.0,0.0
1,19,3,25.23,2215.0,0.0,0.0,0.0,0.0
1,20,3,24.77,2158.0,0.0,0.0,0.0,0.0
1,21,3,25.05,1993.0,0.0,0.0,0.0,0.0
1,22,3,24.82,1213.0,0.0,0.0,0.0,0.0
1,23,3,24.26,733.0,0.0,0.0,0.0,0.0
1,0,4,23.91,642.0,0.0,0.0,0.0,0.0
1,1,4,24.02,609.0,0.0,0.0,0.0,0.0
1,2,4,23.44,616.0,0.0,0.0,0.0,0.0
1,3,4,23.29,598.0,0.0,0.0,0.0,0.0
1,4,4,23.25,584.0,0.0,0.0,0.0,0.0
1,5,4,23.16,533.0,0.0,0.0,0.0,0.0
1,6,4,23.11,646.0,0.0,0.0,0.0,34.926315
1,7,4,23.67,738.0,0.0,0.0,0.0,264.78528
1,8,4,24.78,947.0,0.0,0.0,0.0,521.7465
1,9,4,25.92,1251.0,0.0,0.0,0.0,586.00385
1,10,4,26.49,1983.0,0.0,0.0,0.0,712.7628
1,11,4,26.89,2439.0,0.0,0.0,0.0,712.7628
1,12,4,27.71,2428.0,0.0,0.0,0.0,712.7628
1,13,4,28.48,2419.0,0.0,0.0,0.0,473.52615
1,14,4,26.12,2556.0,0.0,0.0,0.0,564.1952
1,15,4,26.87,2508.0,0.0,0.0,0.0,386.56744
1,16,4,26.16,2402.0,0.0,0.0,0.0,288.02734
1,17,4,25.68,2336.0,0.0,0.0,0.0,55.80628
1,18,4,24.43,2278.0,0.0,0.0,0.0,0.0
1,19,4,24.6,2189.0,0.0,0.0,0.0,0.0
1,20,4,24.45,2170.0,0.0,0.0,0.0,0.0
1,21,4,24.3,2038.0,0.0,0.0,0.0,0.0
1,22,4,24.05,1205.0,0.0,0.0,0.0,0.0
1,23,4,24.15,729.0,0.0,0.0,0.0,0.0
1,0,5,24.27,649.0,0.0,0.0,0.0,0.0
1,1,5,24.18,608.0,0.0,0.0,0.0,0.0
1,2,5,23.39,595.0,0.0,0.0,0.0,0.0
1,3,5,23.31,584.0,0.0,0.0,0.0,0.0
1,4,5,23.37,574.0,0.0,0.0,0.0,0.0
1,5,5,23.39,536.0,0.0,0.0,0.0,0.0
1,6,5,23.44,615.0,0.0,0.0,0.0,40.386276
1,7,5,23.84,666.0,0.0,0.0,0.0,206.93863
1,8,5,24.7,900.0,0.0,0.0,0.0,325.20074
1,9,5,25.48,1192.0,0.0,0.0,0.0,445.4337
1,10,5,26.51,1735.0,0.0,0.0,0.0,532.01886
1,11,5,27.01,2133.0,0.0,0.0,0.0,712.7628
1,12,5,28.67,2195.0,0.0,0.0,0.0,712.7628
1,13,5,29.81,2277.0,0.0,0.0,0.0,712.7628
1,14,5,27.19,2329.0,0.0,0.0,0.0,603.575
1,15,5,27.07,2391.0,0.0,0.0,0.0,519.75214
1,16,5,26.3,2381.0,0.0,0.0,0.0,297.71948
1,17,5,26.17,2330.0,0.0,0.0,0.0,72.31077
1,18,5,25.54,2306.0,0.0,0.0,0.0,0.0
1,19,5,25.36,2274.0,0.0,0.0,0.0,0.0
1,20,5,25.07,2229.0,0.0,0.0,0.0,0.0
1,21,5,25.02,2071.0,0.0,0.0,0.0,0.0
1,22,5,24.91,1193.0,0.0,0.0,0.0,0.0
1,23,5,24.79,628.0,0.0,0.0,0.0,0.0
1,0,6,24.67,563.0,0.0,0.0,0.0,0.0
1,1,6,24.54,573.0,0.0,0.0,0.0,0.0
1,2,6,24.52,570.0,0.0,0.0,0.0,0.0
1,3,6,24.47,556.0,0.0,0.0,0.0,0.0
1,4,6,24.42,539.0,0.0,0.0,0.0,0.0
1,5,6,24.42,526.0,0.0,0.0,0.0,0.0
1,6,6,24.16,557.0,0.0,0.0,0.0,16.015
1,7,6,24.35,650.0,0.0,0.0,0.0,97.111046
1,8,6,24.95,899.0,0.0,0.0,0.0,98.25684
1,9,6,24.74,1164.0,0.0,0.0,0.0,245.9108
1,10,6,24.68,1827.0,0.0,0.0,0.0,712.7628
1,11,6,25.74,2291.0,0.0,0.0,0.0,485.9617
1,12,6,25.79,2398.0,0.0,0.0,0.0,712.7628
1,13,6,26.86,2380.0,0.0,0.0,0.0,712.7628
1,14,6,27.78,2422.0,0.0,0.0,0.0,712.7628
1,15,6,27.9,2469.0,0.0,0.0,0.0,635.692
1,16,6,28.21,2459.0,0.0,0.0,0.0,344.96573
1,17,6,26.83,2442.0,0.0,0.0,0.0,65.460884
1,18,6,26.31,2391.0,0.0,0.0,0.0,0.0
1,19,6,25.92,2302.0,0.0,0.0,0.0,0.0
1,20,6,25.5,2274.0,0.0,0.0,0.0,0.0
1,21,6,25.13,2100.0,0.0,0.0,0.0,0.0
