electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival,ev_demand_kwh,active_sockets,vehicles_per_hour
3,mototaxi_fleet,-1,-0.1,9,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,8,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,7,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,6,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,5,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,4,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,3,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,2,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,1,20.0,0.0,0,0.0
1,mototaxi_fleet,13,80.0,-1,-0.1,4.588,1,0.98
1,mototaxi_fleet,12,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,11,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,10,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,9,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,8,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,7,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,6,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,5,80.0,-1,-0.1,32.116,7,6.87
1,mototaxi_fleet,4,80.0,-1,-0.1,32.116,7,6.87
1,mototaxi_fleet,3,80.0,-1,-0.1,32.116,7,6.87
1,mototaxi_fleet,2,80.0,-1,-0.1,27.528,6,5.89
3,mototaxi_fleet,-1,-0.1,13,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,12,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,11,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,10,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,9,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,8,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,7,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,6,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,5,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,4,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,3,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,2,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,1,20.0,0.0,0,0.0
1,mototaxi_fleet,12,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,11,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,10,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,9,80.0,-1,-0.1,9.176,2,1.96
1,mototaxi_fleet,8,80.0,-1,-0.1,27.528,6,5.89
1,mototaxi_fleet,7,80.0,-1,-0.1,22.94,5,4.91
1,mototaxi_fleet,6,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,5,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,4,80.0,-1,-0.1,27.528,6,5.89
1,mototaxi_fleet,3,80.0,-1,-0.1,27.528,6,5.89
1,mototaxi_fleet,2,80.0,-1,-0.1,22.94,5,4.91
3,mototaxi_fleet,-1,-0.1,12,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,11,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,10,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,9,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,8,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,7,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,6,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,5,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,4,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,3,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,2,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,1,20.0,0.0,0,0.0
1,mototaxi_fleet,13,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,12,80.0,-1,-0.1,4.588,1,0.98
1,mototaxi_fleet,11,80.0,-1,-0.1,4.588,1,0.98
1,mototaxi_fleet,10,80.0,-1,-0.1,4.588,1,0.98
3,mototaxi_fleet,-1,-0.1,1,20.0,0.0,0,0.0
1,mototaxi_fleet,8,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,7,80.0,-1,-0.1,4.588,1,0.98
1,mototaxi_fleet,6,80.0,-1,-0.1,18.352,4,3.93
1,mototaxi_fleet,5,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,4,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,3,80.0,-1,-0.1,13.764,3,2.94
1,mototaxi_fleet,2,80.0,-1,-0.1,22.94,5,4.91
3,mototaxi_fleet,-1,-0.1,12,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,11,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,10,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,9,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,8,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,7,20.0,0.0,0,0.0
3,mototaxi_fleet,-1,-0.1,6,20.0,0.0,0,0.0
