ev_motos_kwh,ev_mototaxis_kwh,co2_motos_kg,co2_mototaxis_kg,co2_directo_kg,motos_cargadas_hora,mototaxis_cargadas_hora
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.528,4.588,23.94936,2.15636,26.10572,9.48,0.98
45.88,18.352,39.9156,8.62544,48.54104,15.79,3.93
64.232,9.176,55.88184,4.31272,60.19456,22.11,1.96
59.644,9.176,51.89028,4.31272,56.203,20.53,1.96
64.232,18.352,55.88184,8.62544,64.50728,22.11,3.93
73.408,18.352,63.86496,8.62544,72.4904,25.27,3.93
45.88,9.176,39.9156,4.31272,44.22832,15.79,1.96
68.82,13.764,59.8734,6.46908,66.34248,23.69,2.94
100.936,32.116,87.81432,15.09452,102.90884,34.74,6.87
119.288,32.116,103.78056,15.09452,118.87508,41.06,6.87
123.876,32.116,107.77212,15.09452,122.86664,42.64,6.87
123.876,27.528,107.77212,12.93816,120.71028,42.64,5.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.352,0.0,15.96624,0.0,15.96624,6.32,0.0
22.94,9.176,19.9578,4.31272,24.27052,7.9,1.96
50.468,9.176,43.90716,4.31272,48.21988,17.37,1.96
50.468,9.176,43.90716,4.31272,48.21988,17.37,1.96
100.936,9.176,87.81432,4.31272,92.12704,34.74,1.96
91.76,27.528,79.8312,12.93816,92.76936,31.58,5.89
100.936,22.94,87.81432,10.7818,98.59612,34.74,4.91
96.348,13.764,83.82276,6.46908,90.29184,33.16,2.94
100.936,18.352,87.81432,8.62544,96.43976,34.74,3.93
119.288,27.528,103.78056,12.93816,116.71872,41.06,5.89
119.288,27.528,103.78056,12.93816,116.71872,41.06,5.89
105.524,22.94,91.80588,10.7818,102.58768,36.32,4.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.056,13.764,47.89872,6.46908,54.3678,18.95,2.94
55.056,4.588,47.89872,2.15636,50.05508,18.95,0.98
45.88,4.588,39.9156,2.15636,42.07196,15.79,0.98
55.056,4.588,47.89872,2.15636,50.05508,18.95,0.98
68.82,0.0,59.8734,0.0,59.8734,23.69,0.0
68.82,18.352,59.8734,8.62544,68.49884,23.69,3.93
96.348,4.588,83.82276,2.15636,85.97912,33.16,0.98
96.348,18.352,83.82276,8.62544,92.4482,33.16,3.93
110.112,13.764,95.79744,6.46908,102.26652,37.9,2.94
114.7,13.764,99.789,6.46908,106.25808,39.48,2.94
114.7,13.764,99.789,6.46908,106.25808,39.48,2.94
110.112,22.94,95.79744,10.7818,106.57924,37.9,4.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.528,4.588,23.94936,2.15636,26.10572,9.48,0.98
36.704,0.0,31.93248,0.0,31.93248,12.63,0.0
50.468,0.0,43.90716,0.0,43.90716,17.37,0.0
27.528,9.176,23.94936,4.31272,28.26208,9.48,1.96
59.644,13.764,51.89028,6.46908,58.35936,20.53,2.94
82.584,4.588,71.84808,2.15636,74.00444,28.43,0.98
91.76,9.176,79.8312,4.31272,84.14392,31.58,1.96
91.76,13.764,79.8312,6.46908,86.30028,31.58,2.94
110.112,18.352,95.79744,8.62544,104.42288,37.9,3.93
105.524,13.764,91.80588,6.46908,98.27496,36.32,2.94
110.112,27.528,95.79744,12.93816,108.7356,37.9,5.89
119.288,32.116,103.78056,15.09452,118.87508,41.06,6.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.116,4.588,27.94092,2.15636,30.09728,11.05,0.98
41.292,9.176,35.92404,4.31272,40.23676,14.21,1.96
55.056,9.176,47.89872,4.31272,52.21144,18.95,1.96
