is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
0,0.2916,142.0092,190.1248
0,0.2916,188.3736,252.1984
0,0.2916,185.4576,248.29439
0,0.2916,182.25,244.0
0,0.2916,181.3752,242.8288
0,0.2916,177.29279,237.36319
0,0.2916,180.5004,241.6576
0,0.2916,190.1232,254.5408
0,0.2916,193.91399,259.616
0,0.2916,199.1628,266.6432
0,0.2916,206.45279,276.4032
0,0.2916,207.32759,277.5744
0,0.2916,266.5224,356.8256
0,0.2916,292.4748,391.5712
0,0.2916,296.5572,397.0368
0,0.2916,302.3892,404.8448
0,0.2916,299.47318,400.9408
0,0.2916,297.43198,398.20798
1,0.4616,488.3728,614.169
1,0.4616,494.3736,621.7155
1,0.4616,486.5264,611.847
1,0.4616,465.7544,585.7245
1,0.4616,420.5176,528.8355
0,0.2916,215.20079,288.1152
0,0.2916,192.1644,257.2736
0,0.2916,176.12639,235.80159
0,0.2916,165.33719,221.3568
0,0.2916,168.25319,225.2608
0,0.2916,171.4608,229.55519
0,0.2916,165.33719,221.3568
0,0.2916,199.45439,267.0336
0,0.2916,233.28,312.32
0,0.2916,340.58878,455.98718
0,0.2916,411.7392,551.2448
0,0.2916,591.3648,791.7312
0,0.2916,717.0444,959.9936
0,0.2916,733.0824,981.4656
0,0.2916,742.4136,993.9584
0,0.2916,750.28674,1004.4992
0,0.2916,747.954,1001.376
0,0.2916,753.20276,1008.4032
0,0.2916,746.20435,999.03357
1,0.4616,1128.612,1419.3225
1,0.4616,1101.3776,1385.073
1,0.4616,1056.1409,1328.184
1,0.4616,964.2824,1212.6646
1,0.4616,561.3056,705.888
0,0.2916,213.15959,285.3824
0,0.2916,192.1644,257.2736
0,0.2916,173.21039,231.8976
0,0.2916,176.418,236.192
0,0.2916,161.25479,215.89119
0,0.2916,164.17079,219.7952
0,0.2916,156.29759,209.2544
0,0.2916,181.3752,242.8288
0,0.2916,220.7412,295.5328
0,0.2916,323.676,433.344
0,0.2916,366.8328,491.1232
0,0.2916,554.9148,742.9312
0,0.2916,688.17596,921.344
0,0.2916,719.0856,962.7264
0,0.2916,701.00635,938.5216
0,0.2916,696.34076,932.2752
0,0.2916,713.2536,954.9184
0,0.2916,675.05396,903.776
0,0.2916,661.0572,885.0368
1,0.4616,1040.4464,1308.447
1,0.4616,1022.44403,1285.8075
1,0.4616,996.1328,1252.719
1,0.4616,919.9688,1156.9365
1,0.4616,559.9208,704.1465
0,0.2916,213.7428,286.1632
0,0.2916,187.2072,250.6368
0,0.2916,177.5844,237.7536
0,0.2916,179.6256,240.48639
0,0.2916,174.3768,233.4592
0,0.2916,170.29439,227.99359
0,0.2916,155.42279,208.08319
0,0.2916,188.3736,252.1984
0,0.2916,215.20079,288.1152
0,0.2916,276.1452,369.7088
0,0.2916,364.7916,488.39038
0,0.2916,578.2428,774.1632
0,0.2916,711.2124,952.1856
0,0.2916,708.00476,947.8912
0,0.2916,705.3804,944.37756
0,0.2916,745.3296,997.86237
0,0.2916,731.33276,979.12317
0,0.2916,700.42316,937.7408
0,0.2916,681.17755,911.97437
1,0.4616,1051.5248,1322.379
1,0.4616,1010.4424,1270.7145
1,0.4616,1001.672,1259.685
1,0.4616,940.7408,1183.059
1,0.4616,556.228,699.5025
0,0.2916,212.57639,284.6016
0,0.2916,189.2484,253.3696
0,0.2916,177.29279,237.36319
0,0.2916,173.502,232.288
0,0.2916,170.29439,227.99359
0,0.2916,167.37839,224.0896
0,0.2916,156.29759,209.2544
0,0.2916,179.334,240.096
0,0.2916,194.2056,260.0064
0,0.2916,262.44,351.36
0,0.2916,347.5872,465.35678
0,0.2916,505.926,677.344
0,0.2916,621.9828,832.7232
0,0.2916,640.06195,856.928
0,0.2916,663.97314,888.9408
0,0.2916,679.13635,909.2416
0,0.2916,697.2156,933.4464
0,0.2916,694.29956,929.54236
0,0.2916,679.428,909.63196
1,0.4616,1064.4496,1338.633
1,0.4616,1049.6785,1320.057
1,0.4616,1028.9064,1293.9346
1,0.4616,955.97363,1202.2155
1,0.4616,550.6888,692.5365
0,0.2916,183.12479,245.17119
0,0.2916,164.17079,219.7952
0,0.2916,167.08679,223.69919
0,0.2916,166.21199,222.528
0,0.2916,162.1296,217.0624
0,0.2916,157.1724,210.4256
0,0.2916,153.38159,205.3504
0,0.2916,162.42119,217.45279
0,0.2916,189.54,253.76
0,0.2916,262.14838,350.9696
0,0.2916,339.4224,454.4256
0,0.2916,532.7532,713.2608
0,0.2916,668.0556,894.4064
0,0.2916,699.2568,936.1792
0,0.2916,694.008,929.152
0,0.2916,706.2552,945.54877
0,0.2916,719.9604,963.8976
0,0.2916,717.0444,959.9936
0,0.2916,712.08716,953.3568
1,0.4616,1103.6857,1387.9755
1,0.4616,1062.6033,1336.311
1,0.4616,1049.6785,1320.057
1,0.4616,969.36,1219.05
1,0.4616,583.924,734.3325
0,0.2916,224.24039,300.2176
0,0.2916,187.2072,250.6368
0,0.2916,170.00279,227.6032
0,0.2916,170.586,228.384
0,0.2916,167.08679,223.69919
0,0.2916,168.25319,225.2608
0,0.2916,158.33879,211.9872
0,0.2916,166.21199,222.528
0,0.2916,179.04239,239.7056
0,0.2916,220.44958,295.1424
0,0.2916,346.71237,464.18558
0,0.2916,582.03357,779.2384
0,0.2916,724.33435,969.7536
0,0.2916,718.79395,962.336
0,0.2916,724.9176,970.53436
0,0.2916,661.34875,885.4272
0,0.2916,645.894,864.73596
0,0.2916,633.93835,848.72955
0,0.2916,621.69116,832.33276
1,0.4616,986.4392,1240.5286
1,0.4616,986.4392,1240.5286
1,0.4616,945.3568,1188.864
1,0.4616,875.1936,1100.628
1,0.4616,483.2952,607.7835
