outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
24.71,82.0,0.0,0.0,24.14,27.29,23.69,82.0,82.0,82.0,20.182499,220.905,0.0,24.6675,269.995,0.0
24.37,82.0,0.0,0.0,25.01,27.62,23.18,82.0,82.0,82.0,87.6375,104.737495,0.0,107.1125,128.0125,0.0
24.03,82.0,0.0,0.0,25.14,25.47,23.19,82.0,82.0,82.0,128.97,101.6775,0.0,157.63,124.2725,0.0
24.94,82.0,0.0,0.0,25.72,25.03,23.14,82.0,82.0,82.0,201.1275,118.799995,0.0,245.82251,145.2,0.0
23.47,82.0,0.0,0.0,26.55,25.6,23.04,82.0,82.0,82.0,257.75998,70.064995,0.0,315.04,85.635,0.0
23.57,82.0,0.0,0.0,26.96,25.3,22.79,82.0,82.0,82.0,254.27249,19.9125,0.0,310.7775,24.3375,0.0
24.14,82.0,20.182499,24.6675,27.29,25.3,23.52,82.0,82.0,82.0,220.905,0.022499999,8.415,269.995,0.027500002,10.285001
25.01,82.0,87.6375,107.1125,27.62,25.18,23.16,82.0,82.0,82.0,104.737495,0.0,26.55,128.0125,0.0,32.45
25.14,82.0,128.97,157.63,25.47,24.85,24.3,82.0,82.0,82.0,101.6775,0.0,74.9475,124.2725,0.0,91.6025
25.72,82.0,201.1275,245.82251,25.03,24.59,24.09,82.0,82.0,82.0,118.799995,0.0,153.58499,145.2,0.0,187.715
26.55,82.0,257.75998,315.04,25.6,24.28,26.35,82.0,82.0,82.0,70.064995,0.0,244.93498,85.635,0.0,299.365
26.96,82.0,254.27249,310.7775,25.3,24.0,26.13,82.0,82.0,82.0,19.9125,0.0,284.44498,24.3375,0.0,347.655
27.29,82.0,220.905,269.995,25.3,23.69,26.76,82.0,82.0,82.0,0.022499999,0.0,260.9775,0.027500002,0.0,318.9725
27.62,82.0,104.737495,128.0125,25.18,23.18,27.16,82.0,82.0,82.0,0.0,0.0,115.695,0.0,0.0,141.40501
25.47,82.0,101.6775,124.2725,24.85,23.19,25.32,82.0,82.0,82.0,0.0,0.0,162.3375,0.0,0.0,198.4125
25.03,82.0,118.799995,145.2,24.59,23.14,26.27,82.0,82.0,82.0,0.0,0.0,117.58499,0.0,0.0,143.715
25.6,82.0,70.064995,85.635,24.28,23.04,25.93,82.0,82.0,82.0,0.0,0.0,90.6525,0.0,0.0,110.7975
25.3,82.0,19.9125,24.3375,24.0,22.79,26.26,82.0,82.0,82.0,0.0,0.0,27.832499,0.0,0.0,34.017498
25.3,82.0,0.022499999,0.027500002,23.69,23.52,25.53,82.0,82.0,82.0,0.0,8.415,0.022499999,0.0,10.285001,0.027500002
25.18,82.0,0.0,0.0,23.18,23.16,25.51,82.0,82.0,82.0,0.0,26.55,0.0,0.0,32.45,0.0
24.85,82.0,0.0,0.0,23.19,24.3,25.29,82.0,82.0,82.0,0.0,74.9475,0.0,0.0,91.6025,0.0
24.59,82.0,0.0,0.0,23.14,24.09,25.43,82.0,82.0,82.0,0.0,153.58499,0.0,0.0,187.715,0.0
24.28,82.0,0.0,0.0,23.04,26.35,25.09,82.0,82.0,82.0,0.0,244.93498,0.0,0.0,299.365,0.0
24.0,82.0,0.0,0.0,22.79,26.13,24.99,82.0,82.0,82.0,0.0,284.44498,0.0,0.0,347.655,0.0
23.69,82.0,0.0,0.0,23.52,26.76,24.77,82.0,82.0,82.0,8.415,260.9775,0.0,10.285001,318.9725,0.0
23.18,82.0,0.0,0.0,23.16,27.16,24.79,82.0,82.0,82.0,26.55,115.695,0.0,32.45,141.40501,0.0
23.19,82.0,0.0,0.0,24.3,25.32,24.26,82.0,82.0,82.0,74.9475,162.3375,0.0,91.6025,198.4125,0.0
23.14,82.0,0.0,0.0,24.09,26.27,24.1,82.0,82.0,82.0,153.58499,117.58499,0.0,187.715,143.715,0.0
23.04,82.0,0.0,0.0,26.35,25.93,23.99,82.0,82.0,82.0,244.93498,90.6525,0.0,299.365,110.7975,0.0
22.79,82.0,0.0,0.0,26.13,26.26,23.91,82.0,82.0,82.0,284.44498,27.832499,0.0,347.655,34.017498,0.0
