hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,11.484053497942385,11.484053497942385,False
11,0.01577503429355281,42.26131687242798,42.26131687242798,False
12,0.032407407407407406,86.81944444444444,86.81944444444444,False
13,0.05212620027434842,139.64609053497944,139.64609053497944,False
14,0.07287379972565158,195.2289094650206,195.2289094650206,False
15,0.09259259259259259,248.05555555555554,248.05555555555554,False
16,0.10922496570644719,292.613683127572,292.613683127572,False
17,0.12071330589849108,323.3909465020576,323.3909465020576,False
18,0.125,334.875,334.875,True
19,0.125,334.875,334.875,True
20,0.125,334.875,334.875,True
21,0.125,334.875,334.875,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
