hour,MOTO_TAXI_CH_113,MOTO_TAXI_CH_114,MOTO_TAXI_CH_115,MOTO_TAXI_CH_116,MOTO_TAXI_CH_117,MOTO_TAXI_CH_118,MOTO_TAXI_CH_119,MOTO_TAXI_CH_120,MOTO_TAXI_CH_121,MOTO_TAXI_CH_122,MOTO_TAXI_CH_123,MOTO_TAXI_CH_124,MOTO_TAXI_CH_125,MOTO_TAXI_CH_126,MOTO_TAXI_CH_127,MOTO_TAXI_CH_128
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.14886303537129572,0.16512025135095518,0.1655804408585338,0.1580591223660191,0.1681809423048323,0.16113471206418606,0.14225980316647915,0.16682982826446754,0.16934178392671922,0.16243631183350965,0.1665260811872288,0.14729034875523236,0.14914775553082557,0.14738383166146982,0.1393242354565792,0.1438981820975151
11,0.6103452683606949,0.6005792511287624,0.5486211618275902,0.605776463421218,0.575040626475888,0.5977771362987783,0.521292291148158,0.5835861856487456,0.5562376880827751,0.584695965339753,0.5648646574050695,0.5431018163350372,0.5750284825693213,0.5719129538236585,0.5764136931524687,0.562866586358019
12,1.1884970734952796,1.0934678478589748,1.2482784147433534,1.2174613336629503,1.2512232655443936,1.1725563018163578,1.1619550036598831,1.1395236541847409,1.1266380323496212,1.056518229978715,1.0772235616788148,1.1850912131881728,1.0525103905448,1.046032013889487,1.2502114080675313,1.2645176632695692
13,1.9781414355154423,1.7587690898891681,2.0030539521661046,1.885095784104536,1.731383268825046,1.9859964127512049,1.8319442287626897,1.9632001832903228,1.7358586994928409,1.9167093711072398,1.7182857654334618,1.9172687337766712,1.7038376197872764,1.7927820177668623,1.7064807228182675,2.03858670528623
14,2.568400057702252,2.532625849065075,2.6913501680968954,2.8633963932883333,2.779298986273661,2.6664597487975468,2.457578979735006,2.857591887423586,2.419588307082344,2.5029857819536203,2.876469339761613,2.446614589533578,2.6856182817142096,2.3725987236018438,2.7970059800408027,2.635385180659326
15,3.1206713547655984,2.9446939862921697,2.963192480138909,3.308399044969663,3.560068422158361,3.2705209897732876,3.235485903054948,3.3868240367105433,3.6563766029256204,3.5619203281190037,3.0426512903000726,3.505984573434969,3.164006975999278,3.5998811675357882,3.64223545642745,3.4115405878790686
16,3.936150165399048,3.708752552072507,4.097146521422483,4.171584182470953,3.6369293108473393,3.761539691784952,4.068715928512364,3.561971052925528,3.9941721857302195,3.6050837075415023,3.9234164040036665,4.226779277904604,4.066855594569538,3.9496790261755548,3.8008223031877013,3.575377738642862
17,3.9277844420194086,4.6467514657305955,4.616432649740853,4.657377177036048,4.053430192652457,4.506408917707601,4.532255934640347,4.043263915125294,4.68645346385028,4.152436602546623,4.266145755279722,4.504972315353488,4.596509243346124,4.295539352077734,4.0691125186228225,4.107269836975888
18,4.747974960366966,4.71154443412419,4.446769863578977,4.6111389525138,4.457174317541938,4.834454946977494,4.720219084035248,4.772075720580774,4.063565866973478,4.766456161846757,4.738095578672507,4.105246578668233,4.117909061343506,4.868287409840553,4.29185363727822,4.523925854585921
19,4.573329738012892,4.444046547522031,4.157597896011486,4.0871507509173055,4.398834798643771,4.20036204023212,4.32831552133591,4.0953166957535885,4.589721696754732,4.448518606611462,4.114831135788268,4.755549204062032,4.514046663142362,4.326082094610667,4.6776842914066625,4.469567182735956
20,4.685997983603029,4.40023412097634,4.143108803396932,4.09431996406373,4.331018187587503,4.573161270888897,4.07239420539399,4.827904004455673,4.4281946730768595,4.584724895583106,4.498160318296867,4.368536440200581,4.530309479639298,4.380522679977325,4.329885092552439,4.338333329833548
21,4.326344485388095,4.80591460398923,4.731367648017883,4.152740831185448,4.869917681144804,4.08212783090757,4.740083116554976,4.414412835636738,4.386350999754509,4.470014037538705,4.8258301121927065,4.106064908787402,4.6567204518134595,4.461798729039055,4.531470660989055,4.741231151676103
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
