hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,2.4562757201646086,2.4562757201646086,False
11,0.01577503429355281,9.03909465020576,9.03909465020576,False
12,0.032407407407407406,18.569444444444443,18.569444444444443,False
13,0.05212620027434842,29.868312757201647,29.868312757201647,False
14,0.07287379972565158,41.75668724279836,41.75668724279836,False
15,0.09259259259259259,53.05555555555555,53.05555555555555,False
16,0.10922496570644719,62.58590534979424,62.58590534979424,False
17,0.12071330589849108,69.16872427983539,69.16872427983539,False
18,0.125,71.625,71.625,True
19,0.125,71.625,71.625,True
20,0.125,71.625,71.625,True
21,0.125,71.625,71.625,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
