scenario_id,pe,fc,chargers_required,sockets_total,energy_day_kwh,peak_sessions_per_hour,session_minutes,utilization,charger_power_kw,sockets_per_charger,vehicles_day_motos,vehicles_day_mototaxis,vehicles_month_motos,vehicles_month_mototaxis,vehicles_year_motos,vehicles_year_mototaxis
2,0.09999999999999999,0.7999999999999999,3,6,55.68000000000001,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
3,0.75,0.5,16,32,261.0,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
4,0.65,0.7999999999999999,14,28,361.92,50.2125,30.0,0.92,7.4,2,176,25,5280,750,64240,9125
5,0.45,0.39999999999999997,10,20,125.28,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
6,0.45,0.7999999999999999,10,20,250.56,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
7,0.85,0.7999999999999999,18,36,473.28000000000003,65.6625,30.0,0.92,7.400000000000001,2,230,33,6900,990,83950,12045
9,0.75,0.7000000000000001,16,32,365.4,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
10,0.25,0.6,6,12,104.4,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
12,0.5499999999999999,0.5,12,24,191.4,42.4875,30.0,0.92,7.400000000000001,2,148,21,4440,630,54020,7665
13,1.0,0.7999999999999999,21,42,556.8,77.25,30.0,0.92,7.3999999999999995,2,270,39,8100,1170,98550,14235
15,0.75,0.6,16,32,313.2,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
17,0.85,0.7000000000000001,18,36,414.11999999999995,65.6625,30.0,0.92,7.400000000000001,2,230,33,6900,990,83950,12045
18,0.5499999999999999,0.39999999999999997,12,24,153.12,42.4875,30.0,0.92,7.400000000000001,2,148,21,4440,630,54020,7665
19,0.25,0.39999999999999997,6,12,69.6,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
20,0.85,0.5,18,36,295.8,65.6625,30.0,0.92,7.400000000000001,2,230,33,6900,990,83950,12045
22,0.5499999999999999,0.6,12,24,229.68,42.4875,30.0,0.92,7.400000000000001,2,148,21,4440,630,54020,7665
24,0.25,0.7000000000000001,6,12,121.8,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
25,1.0,0.6,21,42,417.6,77.25,30.0,0.92,7.3999999999999995,2,270,39,8100,1170,98550,14235
26,0.85,1.0,18,36,591.6,65.6625,30.0,0.92,7.400000000000001,2,230,33,6900,990,83950,12045
27,0.65,0.7000000000000001,14,28,316.68,50.2125,30.0,0.92,7.4,2,176,25,5280,750,64240,9125
30,0.5499999999999999,0.7000000000000001,12,24,267.96,42.4875,30.0,0.92,7.400000000000001,2,148,21,4440,630,54020,7665
31,0.45,0.7000000000000001,10,20,219.24,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
33,0.35000000000000003,0.7000000000000001,8,16,170.51999999999998,27.0375,30.0,0.92,7.4,2,95,14,2850,420,34675,5110
34,0.09999999999999999,0.39999999999999997,3,6,27.840000000000003,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
37,0.09999999999999999,0.5,3,6,34.8,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
39,0.85,0.39999999999999997,18,36,236.64000000000001,65.6625,30.0,0.92,7.400000000000001,2,230,33,6900,990,83950,12045
40,0.35000000000000003,0.6,8,16,146.16,27.0375,30.0,0.92,7.4,2,95,14,2850,420,34675,5110
41,0.65,0.6,14,28,271.44,50.2125,30.0,0.92,7.4,2,176,25,5280,750,64240,9125
42,0.25,1.0,6,12,174.0,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
45,0.45,0.6,10,20,187.92,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
46,0.09999999999999999,1.0,3,6,69.6,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
47,1.0,1.0,21,42,696.0,77.25,30.0,0.92,7.3999999999999995,2,270,39,8100,1170,98550,14235
49,1.0,0.5,21,42,348.0,77.25,30.0,0.92,7.3999999999999995,2,270,39,8100,1170,98550,14235
50,0.75,0.7999999999999999,16,32,417.6,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
52,0.75,1.0,16,32,522.0,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
53,0.25,0.5,6,12,87.0,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
54,0.45,1.0,10,20,313.2,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
57,0.09999999999999999,0.7000000000000001,3,6,48.72,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
67,0.35000000000000003,0.7999999999999999,8,16,194.88000000000002,27.0375,30.0,0.92,7.4,2,95,14,2850,420,34675,5110
69,0.45,0.5,10,20,156.6,34.7625,30.0,0.92,7.3999999999999995,2,122,18,3660,540,44530,6570
70,0.09999999999999999,0.6,3,6,41.76,7.725,30.0,0.92,7.400000000000001,2,27,4,810,120,9855,1460
74,0.5499999999999999,0.7999999999999999,12,24,306.24,42.4875,30.0,0.92,7.400000000000001,2,148,21,4440,630,54020,7665
75,0.25,0.7999999999999999,6,12,139.2,19.3125,30.0,0.92,7.3999999999999995,2,68,10,2040,300,24820,3650
79,0.35000000000000003,0.39999999999999997,8,16,97.44000000000001,27.0375,30.0,0.92,7.4,2,95,14,2850,420,34675,5110
80,0.65,1.0,14,28,452.4,50.2125,30.0,0.92,7.4,2,176,25,5280,750,64240,9125
99,0.75,0.39999999999999997,16,32,208.8,57.9375,30.0,0.92,7.4,2,202,29,6060,870,73730,10585
