Hour,non_shiftable_load
0,487.0
1,646.0
2,636.0
3,625.0
4,622.0
5,608.0
6,619.0
7,652.0
8,665.0
9,715.116
10,772.232
11,784.408
12,982.8199999999999
13,1085.584
14,1108.76
15,1092.056
16,1109.584
17,1153.052
18,819.5322262076413
19,837.1202262076413
20,815.5322262076413
21,619.1282262076417
22,911.0
23,738.0
24,659.0
25,604.0
26,567.0
27,577.0
28,588.0
29,567.0
30,684.0
31,800.0
32,1168.0
33,1430.352
34,2060.116
35,2518.6440000000002
36,2573.6440000000002
37,2656.112
38,2692.288
39,2688.8759999999997
40,2693.112
41,2678.288
42,2201.9442262076413
43,2142.9442262076413
44,2026.5922262076415
45,1699.1282262076415
46,1216.0
47,731.0
48,659.0
49,594.0
50,605.0
51,553.0
52,563.0
53,536.0
54,622.0
55,757.0
56,1110.0
57,1326.82
58,1962.644
59,2410.468
60,2525.6440000000002
61,2472.82
62,2475.172
63,2546.936
64,2429.7
65,2390.8759999999997
66,1992.5922262076415
67,1953.5922262076415
68,1901.1802262076412
69,1603.1282262076418
70,1213.0
71,733.0
72,642.0
73,609.0
74,616.0
75,598.0
76,584.0
77,533.0
78,646.0
79,738.0
80,947.0
81,1283.116
82,2019.704
83,2489.468
84,2464.704
85,2492.408
86,2643.172
87,2608.936
88,2507.524
89,2464.464
90,2007.4162262076413
91,1936.7682262076414
92,1931.5322262076413
93,1648.1282262076415
94,1205.0
95,729.0
96,649.0
97,608.0
98,595.0
99,584.0
100,574.0
101,536.0
102,615.0
103,666.0
104,900.0
105,1228.704
106,1785.468
107,2197.232
108,2277.584
109,2359.584
110,2425.348
111,2482.7599999999998
112,2486.524
113,2463.0519999999997
114,2040.0042262076413
115,2030.9442262076413
116,1972.1802262076412
117,1681.1282262076415
118,1193.0
119,628.0
120,563.0
121,573.0
122,570.0
123,556.0
124,539.0
125,526.0
126,557.0
127,650.0
128,899.0
129,1209.88
130,1868.292
131,2346.056
132,2457.6440000000002
133,2439.6440000000002
134,2509.172
135,2579.112
136,2550.7599999999998
137,2542.936
138,2115.8282262076414
139,2045.1802262076412
140,2008.0042262076413
141,1710.1282262076415
142,1264.9999999999998
143,769.0
144,642.0
145,583.0
146,585.0
147,573.0
148,577.0
149,543.0
150,570.0
151,614.0
152,756.0
153,1225.704
154,2051.056
155,2548.232
156,2506.292
157,2541.056
158,2368.936
159,2320.524
160,2293.288
161,2237.524
162,1898.5322262076413
163,1880.1802262076412
164,1795.7682262076414
165,1506.1282262076415
166,1047.0
167,676.0
168,594.0
169,546.0
170,553.0
171,526.0
172,525.0
173,502.0
174,577.0
175,753.0
176,1014.0
177,1229.056
178,1828.88
179,2248.468
180,2307.996
181,2311.82
182,2387.348
183,2446.348
184,2339.288
185,2237.464
186,1821.3562262076414
187,1799.9442262076413
188,1743.1802262076412
189,1438.1282262076415
190,1141.0
191,693.0
192,619.0
193,591.0
194,591.0
195,570.0
196,546.0
197,546.0
198,615.0
199,763.0
200,968.0
201,1133.232
202,1714.056
203,2144.056
204,2262.7599999999998
205,2241.172
206,2301.112
207,2360.112
208,2352.348
209,2326.7
210,1953.5922262076415
211,1917.5922262076415
212,1892.5922262076415
213,1538.1282262076418
214,1136.0
215,694.0
216,622.0
217,512.0
218,471.0
219,464.0
220,453.0
221,428.0
222,464.0
223,825.0
224,1068.0
225,1278.88
226,1917.644
227,2398.6440000000002
228,2450.408
229,2464.408
230,2476.584
231,2443.348
232,2457.524
233,2445.0519999999997
234,1984.0042262076413
235,1936.0042262076413
236,1862.1802262076412
237,1448.1282262076415
238,1096.0
239,725.0
240,642.0
241,598.0
242,606.0
243,577.0
244,580.0
245,556.0
246,627.0
247,774.0
248,992.0
249,1175.292
250,1789.468
251,2206.056
252,2256.82
253,2288.408
254,2370.112
255,2432.288
256,2365.7599999999998
257,2393.0519999999997
258,2006.3562262076414
259,1993.5322262076413
260,1947.9442262076413
261,1582.1282262076415
262,1103.0
263,708.0
264,622.0
265,588.0
266,594.0
267,584.0
268,561.0
269,536.0
270,605.0
271,742.0
272,962.0
273,1110.116
274,1671.116
275,2057.056
276,2149.232
277,2204.936
278,2239.936
279,2319.112
280,2341.288
281,2309.7
282,1923.5922262076415
283,1909.3562262076414
284,1900.9442262076413
285,1582.1282262076415
286,1175.0
287,711.0
288,628.0
289,584.0
290,523.0
291,517.0
292,553.0
293,519.0
294,522.0
295,710.0
296,1003.0
297,1197.116
298,1884.056
299,2348.996
300,2377.292
301,2415.584
302,2435.584
303,2504.112
304,2524.524
305,2491.112
306,2049.7682262076414
307,1943.0042262076413
308,1903.1802262076412
309,1605.1282262076415
310,1201.0
311,748.0
312,632.0
313,608.0
314,605.0
315,573.0
316,570.0
317,549.0
318,567.0
319,619.0
320,728.0
321,1041.292
322,1948.88
323,2477.82
324,2501.6440000000002
325,2488.584
326,2461.468
327,2465.7599999999998
328,2481.464
329,2409.936
330,2033.5922262076415
331,2040.3562262076414
332,1987.5322262076413
333,1606.1282262076418
334,1168.0
335,721.0
336,632.0
337,598.0
338,609.0
339,605.0
340,587.0
341,562.0
342,663.0
343,725.0
344,970.0
345,1262.704
346,1915.704
347,2451.6440000000002
348,2484.408
349,2559.112
350,2506.232
351,2510.936
352,2436.172
353,2432.8759999999997
354,2011.1802262076412
355,2023.9442262076413
356,1961.1202262076413
357,1589.1282262076415
358,1192.0
359,741.0
360,670.0
361,604.0
362,608.0
363,616.0
364,581.0
365,567.0
366,649.0
367,807.0
368,1040.0
369,1153.292
370,1783.88
371,2274.88
372,2351.996
373,2375.408
374,2343.112
375,2218.288
376,2177.8759999999997
377,2176.228
378,1776.9442262076413
379,1778.5922262076415
380,1820.9442262076413
381,1464.1282262076415
382,1140.0
383,738.0
384,649.0
385,639.0
386,632.0
387,619.0
388,612.0
389,605.0
390,670.0
391,705.0
392,920.0
393,1144.292
394,1623.704
395,1957.82
396,1991.584
397,1980.76
398,2016.936
399,2082.7
400,2121.288
401,2122.404
402,1647.0042262076413
403,1656.1802262076412
404,1622.7682262076414
405,1328.1282262076415
406,1074.9999999999998
407,673.0
408,563.0
409,542.0
410,529.0
411,506.0
412,546.0
413,535.0
414,560.0
415,649.0
416,975.0
417,1169.116
418,1756.88
419,2168.704
420,2261.6440000000002
421,2289.172
422,2244.936
423,2260.348
424,2142.8759999999997
425,2065.464
426,1661.7682262076414
427,1660.0042262076413
428,1601.1802262076412
429,1352.1282262076415
430,1041.0
431,669.0
432,576.0
433,564.0
434,553.0
435,539.0
436,533.0
437,519.0
438,574.0
439,687.0
440,875.0
441,1112.292
442,1687.644
443,1998.704
444,2069.6440000000002
445,2098.7599999999998
446,2135.996
447,2181.584
448,2285.112
449,2306.228
450,1903.1802262076412
451,1865.9442262076413
452,1846.1802262076412
453,1557.1282262076415
454,1179.0
455,697.0
456,613.0
457,573.0
458,540.0
459,532.0
460,573.0
461,509.0
462,570.0
463,642.0
464,854.0
465,1057.292
466,1553.88
467,1941.056
468,2064.056
469,2142.996
470,2185.348
471,2219.8759999999997
472,2266.0519999999997
473,2253.0519999999997
474,1772.4162262076413
475,1744.0042262076413
476,1742.7682262076414
477,1531.1282262076415
478,1180.9999999999998
479,735.0
480,598.0
481,549.0
482,553.0
483,540.0
484,535.0
485,527.0
486,556.0
487,591.0
488,701.0
489,1047.292
490,1730.704
491,2087.704
492,2139.82
493,2197.468
494,2246.82
495,2199.996
496,2314.288
497,2308.8759999999997
498,1941.7682262076414
499,1817.5922262076415
500,1744.9442262076413
501,1422.1282262076415
502,1051.0
503,673.0
504,577.0
505,559.0
506,556.0
507,545.0
508,536.0
509,522.0
510,588.0
511,654.0
512,914.0
513,1168.292
514,1819.468
515,2254.6440000000002
516,2356.82
517,2326.996
518,2358.524
519,2357.936
520,2369.584
521,2368.288
522,1955.1802262076412
523,1906.8282262076414
524,1780.4762262076415
525,1436.1282262076415
