fecha,hora,demanda_kw
2024-01-01,0,101.93
2024-01-01,1,88.49
2024-01-01,2,87.37
2024-01-01,3,82.38
2024-01-01,4,81.64
2024-01-01,5,83.15
2024-01-01,6,101.36
2024-01-01,7,117.2
2024-01-01,8,139.07
2024-01-01,9,167.03
2024-01-01,10,194.01
2024-01-01,11,199.49
2024-01-01,12,209.76
2024-01-01,13,204.03
2024-01-01,14,189.0
2024-01-01,15,184.17
2024-01-01,16,186.2
2024-01-01,17,194.54
2024-01-01,18,211.75
2024-01-01,19,197.9
2024-01-01,20,179.2
2024-01-01,21,156.75
2024-01-01,22,123.53
2024-01-01,23,106.76
2024-01-02,0,100.78
2024-01-02,1,83.39
2024-01-02,2,85.48
2024-01-02,3,81.83
2024-01-02,4,79.93
2024-01-02,5,82.57
2024-01-02,6,96.68
2024-01-02,7,114.41
2024-01-02,8,128.83
2024-01-02,9,159.37
2024-01-02,10,191.77
2024-01-02,11,193.38
2024-01-02,12,205.69
2024-01-02,13,194.93
2024-01-02,14,187.78
2024-01-02,15,170.21
2024-01-02,16,185.06
2024-01-02,17,188.83
2024-01-02,18,199.79
2024-01-02,19,198.36
2024-01-02,20,177.03
2024-01-02,21,160.55
2024-01-02,22,128.05
2024-01-02,23,104.66
2024-01-03,0,98.11
2024-01-03,1,86.73
2024-01-03,2,83.07
2024-01-03,3,79.93
2024-01-03,4,79.77
2024-01-03,5,86.04
2024-01-03,6,97.23
2024-01-03,7,117.6
2024-01-03,8,137.02
2024-01-03,9,169.43
2024-01-03,10,190.33
2024-01-03,11,202.91
2024-01-03,12,214.66
2024-01-03,13,201.12
2024-01-03,14,188.24
2024-01-03,15,178.3
2024-01-03,16,188.78
2024-01-03,17,195.76
2024-01-03,18,197.53
2024-01-03,19,194.81
2024-01-03,20,175.6
2024-01-03,21,149.83
2024-01-03,22,121.17
2024-01-03,23,107.01
2024-01-04,0,97.87
2024-01-04,1,90.92
2024-01-04,2,83.1
2024-01-04,3,81.48
2024-01-04,4,76.81
2024-01-04,5,84.51
2024-01-04,6,98.65
2024-01-04,7,115.47
2024-01-04,8,135.88
2024-01-04,9,164.91
2024-01-04,10,194.39
2024-01-04,11,198.17
2024-01-04,12,214.51
2024-01-04,13,197.09
2024-01-04,14,192.36
2024-01-04,15,177.5
2024-01-04,16,185.46
2024-01-04,17,196.47
2024-01-04,18,200.67
2024-01-04,19,203.6
2024-01-04,20,179.29
2024-01-04,21,160.38
2024-01-04,22,127.54
2024-01-04,23,104.32
2024-01-05,0,99.35
2024-01-05,1,89.2
2024-01-05,2,86.89
2024-01-05,3,80.52
2024-01-05,4,78.56
2024-01-05,5,85.14
2024-01-05,6,100.17
2024-01-05,7,111.75
2024-01-05,8,141.23
2024-01-05,9,171.47
2024-01-05,10,187.92
2024-01-05,11,195.34
2024-01-05,12,212.51
2024-01-05,13,204.49
2024-01-05,14,187.64
2024-01-05,15,175.84
2024-01-05,16,184.77
2024-01-05,17,192.2
2024-01-05,18,201.89
2024-01-05,19,195.81
2024-01-05,20,175.85
2024-01-05,21,157.06
