module_name,inverter_name,annual_kwh,energy_per_m2,performance_ratio,score,system_dc_kw,area_modules_m2,modules_per_string,strings_parallel,total_modules,num_inverters
Kyocera_Solar_KS20__2008__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1560TL_U_B600_Indoor__450V_,6539016.691477363,661.9895932016367,1.4188150510746464,661.9895932016367,2769.0833279999997,9877.823999999999,44,3118,137192,2
SunPower_SPR_315E_WHT__2007__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1560TL_U_B600_Indoor__450V_,4823457.848604115,489.2245263126302,1.5216043406873307,489.2245263126302,1904.61024,9859.395,15,403,6045,2
Panasonic_VBHN235SA06B__2013_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1560TL_U_B600_Indoor__450V_,4797004.370531475,486.22558439573834,1.541340038672784,486.22558439573834,1869.9113596355996,9865.8,18,435,7830,2
SolFocus_SF_1100S_CPV_28__330____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1560TL_U_B600_Indoor__450V_,4126894.9233222543,418.2039293445629,0.913364550403015,418.2039293445629,2714.7423960656997,9868.14,15,438,6570,2
SolFocus_SF_1100S_CPV_28__315____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1560TL_U_B600_Indoor__450V_,3911140.147883445,396.3401560865011,0.9214602418839524,396.3401560865011,2550.21116391756,9868.14,15,438,6570,2
Kyocera_Solar_KS20__2008__E__,TMEIC__PVH_L3200GR__600V_,3418984.200665532,346.12474161152664,0.7418349140092537,346.12474161152664,2769.1035119999997,9877.895999999999,47,2919,137193,1
Kyocera_Solar_KS20__2008__E__,TMEIC__PVH_L3200GR_E7__600V_,3418984.200665532,346.12474161152664,0.7418349140092537,346.12474161152664,2769.1035119999997,9877.895999999999,47,2919,137193,1
Kyocera_Solar_KS20__2008__E__,TMEIC__PVH_L3200GR_EG__600V_,3418984.200665532,346.12474161152664,0.7418349140092537,346.12474161152664,2769.1035119999997,9877.895999999999,47,2919,137193,1
Kyocera_Solar_KS20__2008__E__,Power_Electronics__FS3000CU15__690V_,3399303.6660964964,344.1323603828687,0.7375647253178772,344.1323603828687,2769.1035119999997,9877.895999999999,47,2919,137193,1
SunPower_SPR_315E_WHT__2007__E__,TMEIC__PVH_L3200GR__600V_,2409931.7014556634,244.3087328204188,0.7598581189893492,244.3087328204188,1905.555456,9864.288,16,378,6048,1
SunPower_SPR_315E_WHT__2007__E__,TMEIC__PVH_L3200GR_E7__600V_,2409931.7014556634,244.3087328204188,0.7598581189893492,244.3087328204188,1905.555456,9864.288,16,378,6048,1
SunPower_SPR_315E_WHT__2007__E__,TMEIC__PVH_L3200GR_EG__600V_,2409931.7014556634,244.3087328204188,0.7598581189893492,244.3087328204188,1905.555456,9864.288,16,378,6048,1
SunPower_SPR_315E_WHT__2007__E__,Power_Electronics__FS3000CU15__690V_,2397231.688642328,243.02125897402104,0.7558537698861557,243.02125897402104,1905.555456,9864.288,16,378,6048,1
Panasonic_VBHN235SA06B__2013_,TMEIC__PVH_L3200GR__600V_,2397342.2770101232,242.68528071450066,0.7693148035940383,242.68528071450066,1872.2994967487996,9878.4,20,392,7840,1
Panasonic_VBHN235SA06B__2013_,TMEIC__PVH_L3200GR_E7__600V_,2397342.2770101232,242.68528071450066,0.7693148035940383,242.68528071450066,1872.2994967487996,9878.4,20,392,7840,1
Panasonic_VBHN235SA06B__2013_,TMEIC__PVH_L3200GR_EG__600V_,2397342.2770101232,242.68528071450066,0.7693148035940383,242.68528071450066,1872.2994967487996,9878.4,20,392,7840,1
Panasonic_VBHN235SA06B__2013_,Power_Electronics__FS3000CU15__690V_,2384570.805403739,241.39241227362118,0.7652163975113131,241.39241227362118,1872.2994967487996,9878.4,20,392,7840,1
SolFocus_SF_1100S_CPV_28__330____2010_,TMEIC__PVH_L3200GR__600V_,2099438.7073716316,213.0085525883838,0.4652143301757229,213.0085525883838,2711.43677366562,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__330____2010_,TMEIC__PVH_L3200GR_E7__600V_,2099438.7073716316,213.0085525883838,0.4652143301757229,213.0085525883838,2711.43677366562,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__330____2010_,TMEIC__PVH_L3200GR_EG__600V_,2099438.7073716316,213.0085525883838,0.4652143301757229,213.0085525883838,2711.43677366562,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__330____2010_,Power_Electronics__FS3000CU15__690V_,2090095.1936429827,212.0605619047592,0.4631439022725416,212.0605619047592,2711.43677366562,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__315____2010_,TMEIC__PVH_L3200GR__600V_,1970714.2077009086,199.94819542661077,0.46486410648194143,199.94819542661077,2547.105883961496,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__315____2010_,TMEIC__PVH_L3200GR_E7__600V_,1970714.2077009086,199.94819542661077,0.46486410648194143,199.94819542661077,2547.105883961496,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__315____2010_,TMEIC__PVH_L3200GR_EG__600V_,1970714.2077009086,199.94819542661077,0.46486410648194143,199.94819542661077,2547.105883961496,9856.124,17,386,6562,1
SolFocus_SF_1100S_CPV_28__315____2010_,Power_Electronics__FS3000CU15__690V_,1961852.780928858,199.0491171710967,0.46277381900015063,199.0491171710967,2547.105883961496,9856.124,17,386,6562,1
