timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,wind_speed_ms,dc_power_kw,ac_power_kw,dc_energy_kwh,ac_energy_kwh,pv_generation_kwh
2024-01-01 00:00:00,0.0,0.0,0.0,24.71,0.61,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,24.37,0.63,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,24.03,0.65,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,24.94,0.34,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,23.47,0.69,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,23.57,0.41,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,44.85,0.0,44.85,24.14,0.21,200.0757,167.2144,200.0757,167.2144,167.2144
2024-01-01 07:00:00,194.75,248.61,125.85,25.01,0.41,1118.5882,952.8055,1118.5882,952.8055,952.8055
2024-01-01 08:00:00,286.6,214.91,179.75,25.14,0.48,1910.956,1629.4,1910.956,1629.4,1629.4
2024-01-01 09:00:00,446.95,296.96,243.5,25.72,0.41,3067.2318,2614.1844,3067.2318,2614.1844,2614.1844
2024-01-01 10:00:00,572.8,303.29,321.65,26.55,0.69,3937.7788,2886.6895,3937.7788,2886.6895,2886.6895
2024-01-01 11:00:00,565.05,244.88,340.65,26.96,1.03,3916.5943,2886.6895,3916.5943,2886.6895,2886.6895
2024-01-01 12:00:00,490.9,207.86,294.7,27.29,0.9,3427.1004,2886.6895,3427.1004,2886.6895,2886.6895
2024-01-01 13:00:00,232.75,21.95,212.8,27.62,0.48,1650.9849,1407.6953,1650.9849,1407.6953,1407.6953
2024-01-01 14:00:00,225.95,84.43,157.25,25.47,0.48,1592.7891,1357.8889,1592.7891,1357.8889,1357.8889
2024-01-01 15:00:00,264.0,113.42,188.6,25.03,0.28,1850.7584,1578.0333,1850.7584,1578.0333,1578.0333
2024-01-01 16:00:00,155.7,85.01,115.55,25.6,0.62,1025.7371,873.439,1025.7371,873.439,873.439
2024-01-01 17:00:00,44.25,47.92,32.3,25.3,0.41,214.6846,179.7377,214.6846,179.7377,179.7377
2024-01-01 18:00:00,0.05,0.0,0.05,25.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,0.0,0.0,25.18,0.41,0.0,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,0.0,0.0,24.85,0.55,0.0,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,0.0,0.0,24.59,0.9,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,24.28,0.9,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,24.0,0.83,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,23.69,0.9,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,23.18,1.24,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,0.0,0.0,23.19,0.97,0.0,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,0.0,0.0,23.14,0.83,0.0,0.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,0.0,0.0,23.04,0.69,0.0,0.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,0.0,0.0,22.79,0.48,0.0,0.0,0.0,0.0,0.0
2024-01-02 06:00:00,18.7,0.0,18.7,23.52,0.21,83.8883,68.2077,83.8883,68.2077,68.2077
2024-01-02 07:00:00,59.0,20.51,53.35,23.16,0.34,353.6942,298.494,353.6942,298.494,298.494
2024-01-02 08:00:00,166.55,41.24,146.1,24.3,0.55,1151.6489,980.9993,1151.6489,980.9993,980.9993
2024-01-02 09:00:00,341.3,98.0,274.25,24.09,0.55,2439.0094,2079.4247,2439.0094,2079.4247,2079.4247
2024-01-02 10:00:00,544.3,224.98,358.1,26.35,0.34,3770.9831,2886.6895,3770.9831,2886.6895,2886.6895
2024-01-02 11:00:00,632.1,206.03,443.3,26.13,0.14,4360.1413,2886.6895,4360.1413,2886.6895,2886.6895
2024-01-02 12:00:00,579.95,218.33,373.75,26.76,0.21,4009.974,2886.6895,4009.974,2886.6895,2886.6895
2024-01-02 13:00:00,257.1,44.29,216.8,27.16,0.55,1828.1348,1558.851,1828.1348,1558.851,1558.851
2024-01-02 14:00:00,360.75,141.59,245.35,25.32,0.48,2562.1759,2184.4023,2562.1759,2184.4023,2184.4023
2024-01-02 15:00:00,261.3,96.04,197.3,26.27,0.62,1828.0327,1558.7103,1828.0327,1558.7103,1558.7103
2024-01-02 16:00:00,201.45,173.61,119.15,25.93,0.07,1297.1415,1105.4316,1297.1415,1105.4316,1105.4316
2024-01-02 17:00:00,61.85,96.75,37.55,26.26,0.07,287.3341,241.8707,287.3341,241.8707,241.8707
2024-01-02 18:00:00,0.05,0.0,0.05,25.53,0.34,0.0,0.0,0.0,0.0,0.0
2024-01-02 19:00:00,0.0,0.0,0.0,25.51,0.62,0.0,0.0,0.0,0.0,0.0
2024-01-02 20:00:00,0.0,0.0,0.0,25.29,0.48,0.0,0.0,0.0,0.0,0.0
2024-01-02 21:00:00,0.0,0.0,0.0,25.43,0.28,0.0,0.0,0.0,0.0,0.0
2024-01-02 22:00:00,0.0,0.0,0.0,25.09,0.41,0.0,0.0,0.0,0.0,0.0
2024-01-02 23:00:00,0.0,0.0,0.0,24.99,0.28,0.0,0.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,0.0,0.0,24.77,0.28,0.0,0.0,0.0,0.0,0.0
2024-01-03 01:00:00,0.0,0.0,0.0,24.79,0.14,0.0,0.0,0.0,0.0,0.0
2024-01-03 02:00:00,0.0,0.0,0.0,24.26,1.38,0.0,0.0,0.0,0.0,0.0
2024-01-03 03:00:00,0.0,0.0,0.0,24.1,1.17,0.0,0.0,0.0,0.0,0.0
2024-01-03 04:00:00,0.0,0.0,0.0,23.99,0.97,0.0,0.0,0.0,0.0,0.0
2024-01-03 05:00:00,0.0,0.0,0.0,23.91,0.9,0.0,0.0,0.0,0.0,0.0
2024-01-03 06:00:00,37.95,0.0,37.95,23.37,0.55,172.3285,143.4985,172.3285,143.4985,143.4985
2024-01-03 07:00:00,188.4,245.57,121.15,25.13,0.21,1073.9411,914.6503,1073.9411,914.6503,914.6503
2024-01-03 08:00:00,343.2,266.39,211.45,24.96,0.48,2288.1586,1950.9867,2288.1586,1950.9867,1950.9867
2024-01-03 09:00:00,422.15,343.48,187.45,26.15,0.76,2871.7967,2447.9804,2871.7967,2447.9804,2447.9804
2024-01-03 10:00:00,619.9,491.11,213.65,26.48,1.03,4196.1071,2886.6895,4196.1071,2886.6895,2886.6895
2024-01-03 11:00:00,725.85,484.8,281.55,27.57,1.1,4861.7277,2886.6895,4861.7277,2886.6895,2886.6895
2024-01-03 12:00:00,466.35,208.36,269.45,28.79,0.69,3231.383,2753.9234,3231.383,2753.9234,2753.9234
2024-01-03 13:00:00,485.5,313.27,200.15,27.63,0.62,3348.1019,2853.0221,3348.1019,2853.0221,2853.0221
2024-01-03 14:00:00,523.45,390.5,204.65,28.25,0.34,3543.3247,2886.6895,3543.3247,2886.6895,2886.6895
2024-01-03 15:00:00,429.05,508.47,89.4,27.72,0.62,2818.0159,2402.3493,2818.0159,2402.3493,2402.3493
2024-01-03 16:00:00,148.8,158.78,73.25,26.66,0.76,912.7562,776.8905,912.7562,776.8905,776.8905
2024-01-03 17:00:00,49.8,104.57,23.35,25.82,1.03,195.1995,163.1178,195.1995,163.1178,163.1178
2024-01-03 18:00:00,0.05,0.0,0.05,25.53,0.69,0.0,0.0,0.0,0.0,0.0
2024-01-03 19:00:00,0.0,0.0,0.0,25.23,0.62,0.0,0.0,0.0,0.0,0.0
2024-01-03 20:00:00,0.0,0.0,0.0,24.77,0.48,0.0,0.0,0.0,0.0,0.0
2024-01-03 21:00:00,0.0,0.0,0.0,25.05,0.34,0.0,0.0,0.0,0.0,0.0
2024-01-03 22:00:00,0.0,0.0,0.0,24.82,0.34,0.0,0.0,0.0,0.0,0.0
2024-01-03 23:00:00,0.0,0.0,0.0,24.26,0.48,0.0,0.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,0.0,0.0,23.91,0.69,0.0,0.0,0.0,0.0,0.0
2024-01-04 01:00:00,0.0,0.0,0.0,24.02,0.34,0.0,0.0,0.0,0.0,0.0
2024-01-04 02:00:00,0.0,0.0,0.0,23.44,0.48,0.0,0.0,0.0,0.0,0.0
2024-01-04 03:00:00,0.0,0.0,0.0,23.29,1.24,0.0,0.0,0.0,0.0,0.0
2024-01-04 04:00:00,0.0,0.0,0.0,23.25,0.97,0.0,0.0,0.0,0.0,0.0
2024-01-04 05:00:00,0.0,0.0,0.0,23.16,1.03,0.0,0.0,0.0,0.0,0.0
2024-01-04 06:00:00,37.7,0.0,37.7,23.11,1.03,169.9418,141.4516,169.9418,141.4516,141.4516
2024-01-04 07:00:00,238.9,463.92,112.6,23.67,1.24,1258.5804,1072.3804,1258.5804,1072.3804,1072.3804
2024-01-04 08:00:00,383.4,428.95,171.8,24.78,0.97,2478.4439,2113.0734,2478.4439,2113.0734,2113.0734
2024-01-04 09:00:00,402.35,236.5,240.95,25.92,0.76,2784.0664,2373.3153,2784.0664,2373.3153,2373.3153
2024-01-04 10:00:00,553.2,225.5,366.75,26.49,0.76,3835.7736,2886.6895,3835.7736,2886.6895,2886.6895
