hour,pv_kwh,pv_kwh_per_kwp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,8.122739738873515,0.0020056147503391395
11,299.3335329680989,0.07390951431311084
12,1021.4835466825857,0.2522181596747125
13,1714.584277973095,0.42335414270940613
14,2152.787130312464,0.5315523778549294
15,2344.9454492412206,0.5789988763558569
16,2405.450924469255,0.5939384998689519
17,2365.1565786117117,0.5839892786695584
18,2168.6795743212047,0.5354764381040011
19,1749.0797532045453,0.4318715440011223
20,1127.4097680589985,0.27837278223678974
21,457.3100676434134,0.11291606608479343
22,51.82248048317569,0.012795674193376714
23,0.0,0.0
