hour,solar_kw,bess_soc_percent,mall_load_kw
0,2024-01-01 00:00:00-05:00,2024-01-01 00:00:00,01/01/2024 00:00;487
1,2024-01-01 01:00:00-05:00,2024-01-01 01:00:00,01/01/2024 01:00;646
2,2024-01-01 02:00:00-05:00,2024-01-01 02:00:00,01/01/2024 02:00;636
3,2024-01-01 03:00:00-05:00,2024-01-01 03:00:00,01/01/2024 03:00;625
4,2024-01-01 04:00:00-05:00,2024-01-01 04:00:00,01/01/2024 04:00;622
5,2024-01-01 05:00:00-05:00,2024-01-01 05:00:00,01/01/2024 05:00;608
6,2024-01-01 06:00:00-05:00,2024-01-01 06:00:00,01/01/2024 06:00;619
7,2024-01-01 07:00:00-05:00,2024-01-01 07:00:00,01/01/2024 07:00;652
8,2024-01-01 08:00:00-05:00,2024-01-01 08:00:00,01/01/2024 08:00;665
9,2024-01-01 09:00:00-05:00,2024-01-01 09:00:00,01/01/2024 09:00;683
10,2024-01-01 10:00:00-05:00,2024-01-01 10:00:00,01/01/2024 10:00;708
11,2024-01-01 11:00:00-05:00,2024-01-01 11:00:00,01/01/2024 11:00;711
12,2024-01-01 12:00:00-05:00,2024-01-01 12:00:00,01/01/2024 12:00;914
13,2024-01-01 13:00:00-05:00,2024-01-01 13:00:00,01/01/2024 13:00;1003
14,2024-01-01 14:00:00-05:00,2024-01-01 14:00:00,01/01/2024 14:00;1017
15,2024-01-01 15:00:00-05:00,2024-01-01 15:00:00,01/01/2024 15:00;1037
16,2024-01-01 16:00:00-05:00,2024-01-01 16:00:00,01/01/2024 16:00;1027
17,2024-01-01 17:00:00-05:00,2024-01-01 17:00:00,01/01/2024 17:00;1020
18,2024-01-01 18:00:00-05:00,2024-01-01 18:00:00,01/01/2024 18:00;1058
19,2024-01-01 19:00:00-05:00,2024-01-01 19:00:00,01/01/2024 19:00;1071
20,2024-01-01 20:00:00-05:00,2024-01-01 20:00:00,01/01/2024 20:00;1054
21,2024-01-01 21:00:00-05:00,2024-01-01 21:00:00,01/01/2024 21:00;1009
22,2024-01-01 22:00:00-05:00,2024-01-01 22:00:00,01/01/2024 22:00;911
23,2024-01-01 23:00:00-05:00,2024-01-01 23:00:00,01/01/2024 23:00;738
24,2024-01-02 00:00:00-05:00,2024-01-02 00:00:00,02/01/2024 00:00;659
25,2024-01-02 01:00:00-05:00,2024-01-02 01:00:00,02/01/2024 01:00;604
26,2024-01-02 02:00:00-05:00,2024-01-02 02:00:00,02/01/2024 02:00;567
27,2024-01-02 03:00:00-05:00,2024-01-02 03:00:00,02/01/2024 03:00;577
28,2024-01-02 04:00:00-05:00,2024-01-02 04:00:00,02/01/2024 04:00;588
29,2024-01-02 05:00:00-05:00,2024-01-02 05:00:00,02/01/2024 05:00;567
30,2024-01-02 06:00:00-05:00,2024-01-02 06:00:00,02/01/2024 06:00;684
