module_name,inverter_name,annual_kwh,energy_per_m2,performance_ratio,score,system_dc_kw,area_modules_m2,modules_per_string,strings_parallel,total_modules,num_inverters
Kyocera_Solar_KS20__2008__E__,Eaton__Xpert1670,8043146.664617375,599.693848162745,1.2853140151630735,599.693848162745,3759.8553359999996,13412.088,31,6009,186279,2
Kyocera_Solar_KS20__2008__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Indoor__450V_,7944328.368536934,592.2719436136978,1.2694067685482904,592.2719436136978,3760.1984639999996,13413.311999999998,44,4234,186296,2
Kyocera_Solar_KS20__2008__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Outdoor__450V_,7944328.368536934,592.2719436136978,1.2694067685482904,592.2719436136978,3760.1984639999996,13413.311999999998,44,4234,186296,2
Kyocera_Solar_KS20__2008__E__,Power_Electronics__FS1590CU__440V_,7856783.183796487,585.7986604171168,1.2555326865609975,585.7986604171168,3759.8553359999996,13412.088,31,6009,186279,2
Kyocera_Solar_KS20__2008__E__,Power_Electronics__FS1475CU15__600V_,7841852.365691172,584.7419276722189,1.2532678085545612,584.7419276722189,3759.4920239999997,13410.792,47,3963,186261,2
SunPower_SPR_315E_WHT__2007__E__,Eaton__Xpert1670,6473319.695554772,482.83781654074363,1.5017575329542188,482.83781654074363,2589.89184,13406.82,10,822,8220,2
Panasonic_VBHN235SA06B__2013_,Eaton__Xpert1670,6427568.67584178,479.71083137359506,1.5207057995238464,479.71083137359506,2539.5450061768797,13398.84,13,818,10634,2
SunPower_SPR_315E_WHT__2007__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Indoor__450V_,6421187.085767562,478.9493023526505,1.4896631913887513,478.9493023526505,2589.89184,13406.82,15,548,8220,2
SunPower_SPR_315E_WHT__2007__E__,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Outdoor__450V_,6421187.085767562,478.9493023526505,1.4896631913887513,478.9493023526505,2589.89184,13406.82,15,548,8220,2
Panasonic_VBHN235SA06B__2013_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Indoor__450V_,6381825.600023574,476.1177808234313,1.5093156610231775,476.1177808234313,2540.5002610221595,13403.88,18,591,10638,2
Panasonic_VBHN235SA06B__2013_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Outdoor__450V_,6381825.600023574,476.1177808234313,1.5093156610231775,476.1177808234313,2540.5002610221595,13403.88,18,591,10638,2
SunPower_SPR_315E_WHT__2007__E__,Power_Electronics__FS1590CU__440V_,6368497.903764542,475.0192740533954,1.4774397295948642,475.0192740533954,2589.89184,13406.82,10,822,8220,2
SunPower_SPR_315E_WHT__2007__E__,Power_Electronics__FS1475CU15__600V_,6371444.110404916,475.0078809881351,1.4774042940490308,475.0078809881351,2591.152128,13413.344,16,514,8224,2
Panasonic_VBHN235SA06B__2013_,Power_Electronics__FS1475CU15__600V_,6328863.066150166,472.0777439245559,1.4965085548654564,472.0777439245559,2540.9778884447996,13406.4,20,532,10640,2
Panasonic_VBHN235SA06B__2013_,Power_Electronics__FS1590CU__440V_,6324177.292414678,471.99438850039843,1.4962443142674797,471.99438850039843,2539.5450061768797,13398.84,13,818,10634,2
SolFocus_SF_1100S_CPV_28__330____2010_,Eaton__Xpert1670,5283469.818643993,394.3081547320751,0.8611857326730683,394.3081547320751,3686.18217888921,13399.342,11,811,8921,2
SolFocus_SF_1100S_CPV_28__330____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Indoor__450V_,5235675.005909022,390.56608040140856,0.8530128836322923,390.56608040140856,3687.83499008925,13405.35,15,595,8925,2
SolFocus_SF_1100S_CPV_28__330____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Outdoor__450V_,5235675.005909022,390.56608040140856,0.8530128836322923,390.56608040140856,3687.83499008925,13405.35,15,595,8925,2
SolFocus_SF_1100S_CPV_28__330____2010_,Power_Electronics__FS1590CU__440V_,5181854.159495341,386.7245241964374,0.8446227619589765,386.7245241964374,3686.18217888921,13399.342,11,811,8921,2
SolFocus_SF_1100S_CPV_28__330____2010_,Power_Electronics__FS1475CU15__600V_,5177447.534293086,386.22248089703635,0.8435262781012633,386.22248089703635,3687.83499008925,13405.35,17,525,8925,2
SolFocus_SF_1100S_CPV_28__315____2010_,Eaton__Xpert1670,5066431.782722754,378.11049100192787,0.8790878497348642,378.11049100192787,3462.775311005868,13399.342,11,811,8921,2
SolFocus_SF_1100S_CPV_28__315____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Indoor__450V_,5023916.210242995,374.7694920492934,0.8713201954244659,374.7694920492934,3464.3279509839003,13405.35,15,595,8925,2
SolFocus_SF_1100S_CPV_28__315____2010_,INGETEAM_POWER_TECHNOLOGY_S_A___Ingecon_Sun_1640TL_U_B630_Outdoor__450V_,5023916.210242995,374.7694920492934,0.8713201954244659,374.7694920492934,3464.3279509839003,13405.35,15,595,8925,2
SolFocus_SF_1100S_CPV_28__315____2010_,Power_Electronics__FS1590CU__440V_,4973423.597390216,371.1692408022883,0.8629497925857392,371.1692408022883,3462.775311005868,13399.342,11,811,8921,2
