hour,ghi_wm2,ac_power_kw,ac_energy_kwh,fecha,tipo_dia
0,0.0,0.0,0.0,2024-03-09,maxima_generacion
1,0.0,0.0,0.0,2024-03-09,maxima_generacion
2,0.0,0.0,0.0,2024-03-09,maxima_generacion
3,0.0,0.0,0.0,2024-03-09,maxima_generacion
4,0.0,0.0,0.0,2024-03-09,maxima_generacion
5,0.0,0.0,0.0,2024-03-09,maxima_generacion
6,0.0,0.0,0.0,2024-03-09,maxima_generacion
7,225.95,599.670213146996,599.670213146996,2024-03-09,maxima_generacion
8,464.3,1384.9348026874177,1384.9348026874177,2024-03-09,maxima_generacion
9,740.9,2190.048682069623,2190.048682069623,2024-03-09,maxima_generacion
10,939.35,2682.2694651554502,2682.2694651554502,2024-03-09,maxima_generacion
11,931.1,2661.2599190085893,2661.2599190085893,2024-03-09,maxima_generacion
12,928.35,2644.069326590277,2644.069326590277,2024-03-09,maxima_generacion
13,859.5,2477.2859764667396,2477.2859764667396,2024-03-09,maxima_generacion
14,656.35,1952.7936866493624,1952.7936866493624,2024-03-09,maxima_generacion
15,543.45,1626.6106538877555,1626.6106538877555,2024-03-09,maxima_generacion
16,322.2,938.882190872723,938.882190872723,2024-03-09,maxima_generacion
17,86.35,199.63559945595367,199.63559945595367,2024-03-09,maxima_generacion
18,0.05,0.0,0.0,2024-03-09,maxima_generacion
19,0.0,0.0,0.0,2024-03-09,maxima_generacion
20,0.0,0.0,0.0,2024-03-09,maxima_generacion
21,0.0,0.0,0.0,2024-03-09,maxima_generacion
22,0.0,0.0,0.0,2024-03-09,maxima_generacion
23,0.0,0.0,0.0,2024-03-09,maxima_generacion
0,0.0,0.0,0.0,2024-11-21,despejado
1,0.0,0.0,0.0,2024-11-21,despejado
2,0.0,0.0,0.0,2024-11-21,despejado
3,0.0,0.0,0.0,2024-11-21,despejado
4,0.0,0.0,0.0,2024-11-21,despejado
5,0.0,0.0,0.0,2024-11-21,despejado
6,155.25,180.44424756956062,180.44424756956062,2024-11-21,despejado
7,385.45,891.4717230227602,891.4717230227602,2024-11-21,despejado
8,624.05,1674.496999142856,1674.496999142856,2024-11-21,despejado
9,766.6,2117.134637119994,2117.134637119994,2024-11-21,despejado
10,906.45,2466.5712965212338,2466.5712965212338,2024-11-21,despejado
11,992.5,2652.6711322595825,2652.6711322595825,2024-11-21,despejado
12,949.4,2542.1313240556437,2542.1313240556437,2024-11-21,despejado
13,810.8,2213.2307542144745,2213.2307542144745,2024-11-21,despejado
14,593.65,1653.5854706433297,1653.5854706433297,2024-11-21,despejado
15,343.3,949.8906232324093,949.8906232324093,2024-11-21,despejado
16,220.75,535.8898292327307,535.8898292327307,2024-11-21,despejado
17,38.55,39.52543010160455,39.52543010160455,2024-11-21,despejado
18,0.0,0.0,0.0,2024-11-21,despejado
19,0.0,0.0,0.0,2024-11-21,despejado
20,0.0,0.0,0.0,2024-11-21,despejado
21,0.0,0.0,0.0,2024-11-21,despejado
22,0.0,0.0,0.0,2024-11-21,despejado
23,0.0,0.0,0.0,2024-11-21,despejado
0,0.0,0.0,0.0,2024-04-28,intermedio
1,0.0,0.0,0.0,2024-04-28,intermedio
2,0.0,0.0,0.0,2024-04-28,intermedio
3,0.0,0.0,0.0,2024-04-28,intermedio
4,0.0,0.0,0.0,2024-04-28,intermedio
5,0.0,0.0,0.0,2024-04-28,intermedio
6,29.25,61.027821662354484,61.027821662354484,2024-04-28,intermedio
7,90.65,257.94126274250624,257.94126274250624,2024-04-28,intermedio
8,155.85,480.14733729828095,480.14733729828095,2024-04-28,intermedio
9,286.5,928.3159038465758,928.3159038465758,2024-04-28,intermedio
10,657.2,2097.209911600914,2097.209911600914,2024-04-28,intermedio
11,779.9,2411.930708064988,2411.930708064988,2024-04-28,intermedio
12,776.5,2384.0622637625556,2384.0622637625556,2024-04-28,intermedio
13,599.85,1891.9059590994136,1891.9059590994136,2024-04-28,intermedio
14,504.3,1619.0913304796181,1619.0913304796181,2024-04-28,intermedio
15,407.05,1336.2573209065283,1336.2573209065283,2024-04-28,intermedio
16,232.05,749.2284617879602,749.2284617879602,2024-04-28,intermedio
17,34.6,77.83529636011416,77.83529636011416,2024-04-28,intermedio
18,0.0,0.0,0.0,2024-04-28,intermedio
19,0.0,0.0,0.0,2024-04-28,intermedio
20,0.0,0.0,0.0,2024-04-28,intermedio
21,0.0,0.0,0.0,2024-04-28,intermedio
22,0.0,0.0,0.0,2024-04-28,intermedio
23,0.0,0.0,0.0,2024-04-28,intermedio
0,0.0,0.0,0.0,2024-12-24,nublado
1,0.0,0.0,0.0,2024-12-24,nublado
2,0.0,0.0,0.0,2024-12-24,nublado
3,0.0,0.0,0.0,2024-12-24,nublado
4,0.0,0.0,0.0,2024-12-24,nublado
5,0.0,0.0,0.0,2024-12-24,nublado
6,16.45,18.5938182445382,18.5938182445382,2024-12-24,nublado
7,25.45,52.22223391632415,52.22223391632415,2024-12-24,nublado
8,56.2,145.44408751696994,145.44408751696994,2024-12-24,nublado
9,115.3,337.56720797529846,337.56720797529846,2024-12-24,nublado
10,99.95,287.24171963350994,287.24171963350994,2024-12-24,nublado
11,163.7,494.060953559292,494.060953559292,2024-12-24,nublado
12,147.2,439.73675076875605,439.73675076875605,2024-12-24,nublado
13,66.8,178.42788340121993,178.42788340121993,2024-12-24,nublado
14,75.85,207.12029428012482,207.12029428012482,2024-12-24,nublado
15,60.95,157.7539537936029,157.7539537936029,2024-12-24,nublado
16,53.0,122.77312414494745,122.77312414494745,2024-12-24,nublado
17,16.0,16.846188307292515,16.846188307292515,2024-12-24,nublado
18,0.0,0.0,0.0,2024-12-24,nublado
19,0.0,0.0,0.0,2024-12-24,nublado
20,0.0,0.0,0.0,2024-12-24,nublado
21,0.0,0.0,0.0,2024-12-24,nublado
22,0.0,0.0,0.0,2024-12-24,nublado
23,0.0,0.0,0.0,2024-12-24,nublado
