datetime,irradiancia_ghi,temperatura_c,velocidad_viento_ms,potencia_kw,energia_kwh,poa_wm2
2024-01-01 00:00:00-05:00,0.0,24.71,0.61,0.0,0.0,0.0
2024-01-01 01:00:00-05:00,0.0,24.37,0.63,0.0,0.0,0.0
2024-01-01 02:00:00-05:00,0.0,24.03,0.65,0.0,0.0,0.0
2024-01-01 03:00:00-05:00,0.0,24.94,0.34,0.0,0.0,0.0
2024-01-01 04:00:00-05:00,0.0,23.47,0.69,0.0,0.0,0.0
2024-01-01 05:00:00-05:00,0.0,23.57,0.41,0.0,0.0,0.0
2024-01-01 06:00:00-05:00,44.85,24.14,0.21,110.36828170490314,110.36828170490314,34.78848594377544
2024-01-01 07:00:00-05:00,194.75,25.01,0.41,561.394589929643,561.394589929643,170.74736488715575
2024-01-01 08:00:00-05:00,286.6,25.14,0.48,936.0194816495164,936.0194816495164,265.31842030008085
2024-01-01 09:00:00-05:00,446.95,25.72,0.41,1489.8779438179097,1489.8779438179097,418.88929701933193
2024-01-01 10:00:00-05:00,572.8,26.55,0.69,1918.038363091682,1918.038363091682,542.0193288216849
2024-01-01 11:00:00-05:00,565.05,26.96,1.03,1907.785935920285,1907.785935920285,537.8993841400418
2024-01-01 12:00:00-05:00,490.9,27.29,0.9,1668.9652146264905,1668.9652146264905,468.0950498506832
2024-01-01 13:00:00-05:00,232.75,27.62,0.48,817.8420096427741,817.8420096427741,226.560637728513
2024-01-01 14:00:00-05:00,225.95,25.47,0.48,785.7473572426275,785.7473572426275,216.77584477620283
2024-01-01 15:00:00-05:00,264.0,25.03,0.28,907.0378054425202,907.0378054425202,251.31097941855933
2024-01-01 16:00:00-05:00,155.7,25.6,0.62,517.4575387666023,517.4575387666023,146.73312166865526
2024-01-01 17:00:00-05:00,44.25,25.3,0.41,118.97790001071516,118.97790001071516,40.22325883567986
2024-01-01 18:00:00-05:00,0.05,25.3,0.0,0.0,0.0,0.0488981926685876
2024-01-01 19:00:00-05:00,0.0,25.18,0.41,0.0,0.0,0.0
2024-01-01 20:00:00-05:00,0.0,24.85,0.55,0.0,0.0,0.0
2024-01-01 21:00:00-05:00,0.0,24.59,0.9,0.0,0.0,0.0
2024-01-01 22:00:00-05:00,0.0,24.28,0.9,0.0,0.0,0.0
2024-01-01 23:00:00-05:00,0.0,24.0,0.83,0.0,0.0,0.0
2024-01-02 00:00:00-05:00,0.0,23.69,0.9,0.0,0.0,0.0
2024-01-02 01:00:00-05:00,0.0,23.18,1.24,0.0,0.0,0.0
2024-01-02 02:00:00-05:00,0.0,23.19,0.97,0.0,0.0,0.0
2024-01-02 03:00:00-05:00,0.0,23.14,0.83,0.0,0.0,0.0
2024-01-02 04:00:00-05:00,0.0,23.04,0.69,0.0,0.0,0.0
2024-01-02 05:00:00-05:00,0.0,22.79,0.48,0.0,0.0,0.0
2024-01-02 06:00:00-05:00,18.7,23.52,0.21,45.35745390866601,45.35745390866601,17.760887861004665
2024-01-02 07:00:00-05:00,59.0,23.16,0.34,188.85370633845184,188.85370633845184,56.52742252252133
2024-01-02 08:00:00-05:00,166.55,24.3,0.55,575.0824431106169,575.0824431106169,159.8053234990969
2024-01-02 09:00:00-05:00,341.3,24.09,0.55,1182.9227676230978,1182.9227676230978,326.62856132098784
2024-01-02 10:00:00-05:00,544.3,26.35,0.34,1836.062273427573,1836.062273427573,517.4847560374908
2024-01-02 11:00:00-05:00,632.1,26.13,0.14,2129.7527578028485,2129.7527578028485,604.3827970219342
2024-01-02 12:00:00-05:00,579.95,26.76,0.21,1957.1564388332283,1957.1564388332283,553.4163081000638
2024-01-02 13:00:00-05:00,257.1,27.16,0.55,900.8519510896052,900.8519510896052,249.26476458239284
2024-01-02 14:00:00-05:00,360.75,25.32,0.48,1245.33611244318,1245.33611244318,344.8840201053014
2024-01-02 15:00:00-05:00,261.3,26.27,0.62,898.7752687028427,898.7752687028427,249.5311204526837
2024-01-02 16:00:00-05:00,201.45,25.93,0.07,647.3735738544152,647.3735738544152,185.6969627357527
2024-01-02 17:00:00-05:00,61.85,26.26,0.07,157.7592058347632,157.7592058347632,53.687575098884366
2024-01-02 18:00:00-05:00,0.05,25.53,0.34,0.0,0.0,0.0488984784993669
2024-01-02 19:00:00-05:00,0.0,25.51,0.62,0.0,0.0,0.0
2024-01-02 20:00:00-05:00,0.0,25.29,0.48,0.0,0.0,0.0
2024-01-02 21:00:00-05:00,0.0,25.43,0.28,0.0,0.0,0.0
2024-01-02 22:00:00-05:00,0.0,25.09,0.41,0.0,0.0,0.0
2024-01-02 23:00:00-05:00,0.0,24.99,0.28,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,0.0,24.77,0.28,0.0,0.0,0.0
2024-01-03 01:00:00-05:00,0.0,24.79,0.14,0.0,0.0,0.0
2024-01-03 02:00:00-05:00,0.0,24.26,1.38,0.0,0.0,0.0
2024-01-03 03:00:00-05:00,0.0,24.1,1.17,0.0,0.0,0.0
2024-01-03 04:00:00-05:00,0.0,23.99,0.97,0.0,0.0,0.0
2024-01-03 05:00:00-05:00,0.0,23.91,0.9,0.0,0.0,0.0
2024-01-03 06:00:00-05:00,37.95,23.37,0.55,94.98453282366818,94.98453282366818,30.690311055178544
2024-01-03 07:00:00-05:00,188.4,25.13,0.21,540.4621917620789,540.4621917620789,165.01791535013163
2024-01-03 08:00:00-05:00,343.2,24.96,0.48,1114.601294700501,1114.601294700501,316.8600858261243
2024-01-03 09:00:00-05:00,422.15,26.15,0.76,1396.3362964181624,1396.3362964181624,393.0663761159029
2024-01-03 10:00:00-05:00,619.9,26.48,1.03,2044.642270785061,2044.642270785061,580.1603072647134
