datetime,ac_energy_kwh
2024-01-31 23:59:59-05:00,397171.3821193993
2024-02-29 23:59:59-05:00,348998.0518140537
2024-03-31 23:59:59-05:00,440485.99177823885
2024-04-30 23:59:59-05:00,407819.3062948365
2024-05-31 23:59:59-05:00,399625.69398769137
2024-06-30 23:59:59-05:00,405977.9314793027
2024-07-31 23:59:59-05:00,427088.1515155184
2024-08-31 23:59:59-05:00,486915.0334736764
2024-09-30 23:59:59-05:00,474927.48102907004
2024-10-31 23:59:59-05:00,467619.8577079492
2024-11-30 23:59:59-05:00,405348.71835877415
2024-12-31 23:59:59-05:00,365210.8943294601
