hour,pv_kwh_avg,pv_kwh_per_kwp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,144.18146501620757,0.034642351037051315
7,1098.1227024433774,0.26384495493593885
8,2137.9778609218215,0.5136900194430133
9,2566.3416405209005,0.6166125998368334
10,2706.982204121621,0.6504041816726625
11,2759.9035106890133,0.6631195364461829
12,2766.1630518904026,0.6646235107857766
13,2701.001635556741,0.6489672358377561
14,2595.4515686245045,0.6236068161039174
15,2039.142528272003,0.48994294288130774
16,1035.828833327213,0.24887766298106992
17,168.1199025109801,0.04039401790268623
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
