hour,ghi_wm2,ac_power_kw,ac_energy_kwh,fecha,tipo_dia
0,0.0,0.0,0.0,2024-11-21,despejado
1,0.0,0.0,0.0,2024-11-21,despejado
2,0.0,0.0,0.0,2024-11-21,despejado
3,0.0,0.0,0.0,2024-11-21,despejado
4,0.0,0.0,0.0,2024-11-21,despejado
5,0.0,0.0,0.0,2024-11-21,despejado
6,155.25,229.74388491682504,229.74388491682504,2024-11-21,despejado
7,385.45,1025.8770462423176,1025.8770462423176,2024-11-21,despejado
8,624.05,1917.7011147376563,1917.7011147376563,2024-11-21,despejado
9,766.6,2448.7732471278437,2448.7732471278437,2024-11-21,despejado
10,906.45,2889.496252448787,2889.496252448787,2024-11-21,despejado
11,992.5,3140.1588243583838,3140.1588243583838,2024-11-21,despejado
12,949.4,3008.19920563859,3008.19920563859,2024-11-21,despejado
13,810.8,2594.764808706186,2594.764808706186,2024-11-21,despejado
14,593.65,1917.139377025726,1917.139377025726,2024-11-21,despejado
15,343.3,1100.9933159513105,1100.9933159513105,2024-11-21,despejado
16,220.75,637.6388248006864,637.6388248006864,2024-11-21,despejado
17,38.55,58.31526101195193,58.31526101195193,2024-11-21,despejado
18,0.0,0.0,0.0,2024-11-21,despejado
19,0.0,0.0,0.0,2024-11-21,despejado
20,0.0,0.0,0.0,2024-11-21,despejado
21,0.0,0.0,0.0,2024-11-21,despejado
22,0.0,0.0,0.0,2024-11-21,despejado
23,0.0,0.0,0.0,2024-11-21,despejado
