hour,ghi_wm2,ac_power_kw,ac_energy_kwh,fecha,tipo_dia
0,0.0,0.0,0.0,2024-04-28,intermedio
1,0.0,0.0,0.0,2024-04-28,intermedio
2,0.0,0.0,0.0,2024-04-28,intermedio
3,0.0,0.0,0.0,2024-04-28,intermedio
4,0.0,0.0,0.0,2024-04-28,intermedio
5,0.0,0.0,0.0,2024-04-28,intermedio
6,29.25,84.46263837781994,84.46263837781994,2024-04-28,intermedio
7,90.65,318.2601120941637,318.2601120941637,2024-04-28,intermedio
8,155.85,567.4510689079486,567.4510689079486,2024-04-28,intermedio
9,286.5,1064.3899110731936,1064.3899110731936,2024-04-28,intermedio
10,657.2,2411.7953841901176,2411.7953841901176,2024-04-28,intermedio
11,779.9,2813.3758682329776,2813.3758682329776,2024-04-28,intermedio
12,776.5,2789.358967498204,2789.358967498204,2024-04-28,intermedio
13,599.85,2189.4655410471037,2189.4655410471037,2024-04-28,intermedio
14,504.3,1864.032888530537,1864.032888530537,2024-04-28,intermedio
15,407.05,1534.2611923066704,1534.2611923066704,2024-04-28,intermedio
16,232.05,874.2592876492282,874.2592876492282,2024-04-28,intermedio
17,34.6,108.54729780080993,108.54729780080993,2024-04-28,intermedio
18,0.0,0.0,0.0,2024-04-28,intermedio
19,0.0,0.0,0.0,2024-04-28,intermedio
20,0.0,0.0,0.0,2024-04-28,intermedio
21,0.0,0.0,0.0,2024-04-28,intermedio
22,0.0,0.0,0.0,2024-04-28,intermedio
23,0.0,0.0,0.0,2024-04-28,intermedio
