hour,ghi_wm2,ac_power_kw,ac_energy_kwh,fecha,tipo_dia
0,0.0,0.0,0.0,2024-03-09,maxima_generacion
1,0.0,0.0,0.0,2024-03-09,maxima_generacion
2,0.0,0.0,0.0,2024-03-09,maxima_generacion
3,0.0,0.0,0.0,2024-03-09,maxima_generacion
4,0.0,0.0,0.0,2024-03-09,maxima_generacion
5,0.0,0.0,0.0,2024-03-09,maxima_generacion
6,0.0,0.0,0.0,2024-03-09,maxima_generacion
7,225.95,698.3128168065589,698.3128168065589,2024-03-09,maxima_generacion
8,464.3,1576.1013331163892,1576.1013331163892,2024-03-09,maxima_generacion
9,740.9,2526.5076889670618,2526.5076889670618,2024-03-09,maxima_generacion
10,939.35,3150.020773277271,3150.020773277271,2024-03-09,maxima_generacion
11,931.1,3130.460941302843,3130.460941302843,2024-03-09,maxima_generacion
12,928.35,3114.3931310228495,3114.3931310228495,2024-03-09,maxima_generacion
13,859.5,2902.7427344351595,2902.7427344351595,2024-03-09,maxima_generacion
14,656.35,2258.5733216603335,2258.5733216603335,2024-03-09,maxima_generacion
15,543.45,1872.5144497331894,1872.5144497331894,2024-03-09,maxima_generacion
16,322.2,1087.314240934726,1087.314240934726,2024-03-09,maxima_generacion
17,86.35,256.2037503013339,256.2037503013339,2024-03-09,maxima_generacion
18,0.05,0.0,0.0,2024-03-09,maxima_generacion
19,0.0,0.0,0.0,2024-03-09,maxima_generacion
20,0.0,0.0,0.0,2024-03-09,maxima_generacion
21,0.0,0.0,0.0,2024-03-09,maxima_generacion
22,0.0,0.0,0.0,2024-03-09,maxima_generacion
23,0.0,0.0,0.0,2024-03-09,maxima_generacion
