hora,ghi_wm2,ac_power_kw,ac_energy_kwh,fecha,tipo_dia
0,0.0,0.0,0.0,2024-12-24,nublado
1,0.0,0.0,0.0,2024-12-24,nublado
2,0.0,0.0,0.0,2024-12-24,nublado
3,0.0,0.0,0.0,2024-12-24,nublado
4,0.0,0.0,0.0,2024-12-24,nublado
5,0.0,0.0,0.0,2024-12-24,nublado
6,16.45,18.5938182445382,18.5938182445382,2024-12-24,nublado
7,25.45,52.22223391632415,52.22223391632415,2024-12-24,nublado
8,56.2,145.44408751696994,145.44408751696994,2024-12-24,nublado
9,115.3,337.56720797529846,337.56720797529846,2024-12-24,nublado
10,99.95,287.24171963350994,287.24171963350994,2024-12-24,nublado
11,163.7,494.060953559292,494.060953559292,2024-12-24,nublado
12,147.2,439.73675076875605,439.73675076875605,2024-12-24,nublado
13,66.8,178.42788340121993,178.42788340121993,2024-12-24,nublado
14,75.85,207.1202942801248,207.1202942801248,2024-12-24,nublado
15,60.95,157.7539537936029,157.7539537936029,2024-12-24,nublado
16,53.0,122.77312414494745,122.77312414494745,2024-12-24,nublado
17,16.0,16.846188307292515,16.846188307292515,2024-12-24,nublado
18,0.0,0.0,0.0,2024-12-24,nublado
19,0.0,0.0,0.0,2024-12-24,nublado
20,0.0,0.0,0.0,2024-12-24,nublado
21,0.0,0.0,0.0,2024-12-24,nublado
22,0.0,0.0,0.0,2024-12-24,nublado
23,0.0,0.0,0.0,2024-12-24,nublado
