hour,mes_01,mes_02,mes_03,mes_04,mes_05,mes_06,mes_07,mes_08,mes_09,mes_10,mes_11,mes_12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,52.016905635636974,0.0,16.820345488734443,90.04854334385014,100.68006912027187,45.75855962120359,0.0,38.00749741488654,173.22247700147332,248.8190909880225,211.9640576149209,128.8211961403611
7,470.98387890927404,415.5838322174617,626.2042959333189,649.3660593914263,650.4117416445638,601.3417571011555,570.4817054917983,646.1180628073755,807.4279191801082,907.3947733552834,749.6468672992903,571.7029528390066
8,1017.3752461973462,923.5707668869001,1250.3578459474722,1232.4637505320889,1187.3738235268106,1281.961573018329,1240.4195689607989,1418.6094892941928,1493.8994059500574,1570.8210080276865,1343.7863639610473,1069.3608389163526
9,1523.1022428467995,1414.2575422873256,1655.2183961941691,1731.154366799136,1661.9268146995064,1754.0741910511176,1757.1695270476519,2007.932817530154,2137.0839289613523,2146.4984436486234,1787.027002356645,1506.394762486375
10,1964.7509839597208,1694.7959634017893,2135.1616889647034,2155.2962837521577,1905.3026192636764,2093.3625560129626,2056.5338962160804,2496.9172424691224,2528.247443609034,2451.1104315057987,2007.607308907255,1801.902483945532
11,2200.171814025638,1988.6147631422061,2289.1429241257165,2239.1568331350677,2040.229684240287,2209.0955409385983,2308.5659686054464,2652.547636533183,2687.327006568607,2491.459453547463,2204.038262168231,2008.596660779805
12,2151.291143057472,2055.6824240248784,2342.434012048027,2132.601692571319,2048.213215370976,2087.0575527608776,2209.961459595322,2571.1443784086678,2567.6316744867377,2356.819795495594,2189.3687110384517,2064.198707723804
13,1860.3009519502275,1823.35534867094,2107.1795328088137,1896.2660702426097,1916.0152630948637,2037.8175585578044,1991.1911365725662,2324.2888194167167,2309.1101579107485,2110.349591365628,2042.3878567589568,1760.4810501637055
14,1561.399009813436,1575.7490837005882,1774.2154282050926,1643.6586892974472,1602.5220328246737,1621.2442285347686,1728.3222229757255,1920.614188276345,1775.9793542264658,1605.5609393549616,1605.8098453050234,1528.704594778431
15,1184.5280211357301,1187.3088467267173,1294.6127935018553,1227.5523267085164,1114.0443011020882,1180.0427328868252,1237.2963389003635,1335.6043843510938,1243.0386667825514,1080.942049259104,991.6545419777194,1058.556826489194
16,680.3701804544851,706.7905394331559,759.5990431239868,637.2519877808562,563.4774110554696,596.0248369543345,639.149335134013,657.860826777614,589.7547896226057,501.0027371623993,459.72799883997834,534.7926858917849
17,182.26700525197043,184.59539735008752,183.9249046060568,103.12445069325047,77.19971900663425,90.55296146285399,125.06762850623366,122.73706410592742,85.68790489140159,47.52816497014193,44.24411842409069,84.46201936525388
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
