datetime,pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_charge_kwh,bess_discharge_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_bess_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,grid_export_kwh_metric,soc_percent,soc_kwh,tariff_period,is_peak_hour,tariff_rate_soles_kwh,cost_grid_import_soles,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,savings_bess_soles,tariff_index_hp_hfp,co2_factor_kg_kwh,co2_grid_kg,co2_direct_avoided_kg,co2_indirect_avoided_kg,co2_avoided_kg,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly,mall_grid_import_kwh
2024-01-01 00:00:00,0.0,0.0,487,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,487.0,487.0,0.0,50.0,1000.0,HFP,0,0.28,136.36,136.36,0.0,0.0,0.0,0.0,1.0,0.409,199.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,487.0
2024-01-01 01:00:00,0.0,0.0,646,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,646.0,646.0,0.0,50.0,1000.0,HFP,0,0.28,180.88000000000002,180.88000000000002,0.0,0.0,0.0,0.0,1.0,0.409,264.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,646.0
2024-01-01 02:00:00,0.0,0.0,636,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,636.0,636.0,0.0,50.0,1000.0,HFP,0,0.28,178.08,178.08,0.0,0.0,0.0,0.0,1.0,0.409,260.12399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,636.0
2024-01-01 03:00:00,0.0,0.0,625,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,625.0,625.0,0.0,50.0,1000.0,HFP,0,0.28,175.00000000000003,175.00000000000003,0.0,0.0,0.0,0.0,1.0,0.409,255.62499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,625.0
2024-01-01 04:00:00,0.0,0.0,622,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,622.0,622.0,0.0,50.0,1000.0,HFP,0,0.28,174.16000000000003,174.16000000000003,0.0,0.0,0.0,0.0,1.0,0.409,254.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,622.0
2024-01-01 05:00:00,0.0,0.0,608,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,midnight_off,0.0,0.0,0.0,0.0,608.0,608.0,0.0,50.0,1000.0,HFP,0,0.28,170.24,170.24,0.0,0.0,0.0,0.0,1.0,0.409,248.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,608.0
2024-01-01 06:00:00,110.36827413788781,0.0,619,619.0,0.0,110.36827413788781,0.0,0.0,310.3682741378878,0.0,310.3682741378878,charge,0.0,0.0,200.0,0.0,619.0,819.0,0.0,65.12547869587641,1302.5095739175283,HFP,0,0.28,229.32000000000002,173.32000000000002,0.0,0.0,30.90311675860859,30.90311675860859,1.0,0.409,334.971,0.0,0.0,0.0,302.50957391752826,0.0,-302.50957391752826,100.0,CRITICAL,619.0
2024-01-01 07:00:00,561.3945514395858,0.0,652,652.0,0.0,400.0,161.39455143958583,0.0,400.0,0.0,400.0,charge,0.0,0.0,0.0,0.0,490.6054485604142,490.6054485604142,0.0,84.61906738549433,1692.3813477098868,HFP,0,0.28,137.369525596916,182.56000000000003,0.0,0.0,112.00000000000001,112.00000000000001,1.0,0.409,200.65762846120938,66.0103715387906,0.0,66.0103715387906,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL,490.6054485604142
2024-01-01 08:00:00,936.0194174746134,0.0,665,665.0,0.0,315.6100779472664,620.409339527347,0.0,315.6100779472664,0.0,315.6100779472664,charge,0.0,0.0,0.0,0.0,44.590660472652985,44.590660472652985,0.0,100.0,2000.0,HFP,0,0.28,12.485384932342837,186.20000000000002,0.0,0.0,88.3708218252346,88.3708218252346,1.0,0.409,18.23758013331507,253.7474198666849,0.0,253.7474198666849,307.61865229011323,0.0,-307.61865229011323,100.0,CRITICAL,44.590660472652985
2024-01-01 09:00:00,1489.8778416696377,32.116,683,715.116,32.116,0.0,683.0,774.7618416696378,0.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,774.7618416696378,100.0,2000.0,HFP,0,0.28,0.0,200.23248,0.0,0.0,0.0,0.0,1.0,0.409,0.0,292.482444,0.0,292.482444,0.0,0.0,0.0,0.0,OK,0.0
