pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly
0.0,0.0,487,487.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,487.0,487.0,80.0,1600.0,0.0,HFP,0.28,136.36,0.0,0.0,0.0,1.0,0.0,487.0,487.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,646,646.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,646.0,646.0,60.00000000000001,1200.0000000000002,0.0,HFP,0.28,180.88000000000002,0.0,0.0,0.0,1.0,0.0,646.0,646.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,636,636.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,636.0,636.0,40.00000000000001,800.0000000000001,0.0,HFP,0.28,178.08,0.0,0.0,0.0,1.0,0.0,636.0,636.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,625,625.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,625.0,625.0,20.000000000000007,400.0000000000001,0.0,HFP,0.28,175.00000000000003,0.0,0.0,0.0,1.0,0.0,625.0,625.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,622,622.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,622.0,622.0,20.0,400.0,0.0,HFP,0.28,174.16000000000003,0.0,0.0,0.0,1.0,0.0,622.0,622.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,608,608.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,608.0,608.0,20.0,400.0,0.0,HFP,0.28,170.24,0.0,0.0,0.0,1.0,0.0,608.0,608.0,0.0,0.0,0.0,0.0,OK
167.2143549040596,0.0,619,619.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,619.0,619.0,20.0,400.0,0.0,HFP,0.28,173.32000000000002,0.0,0.0,0.0,1.0,0.0,619.0,619.0,0.0,0.0,0.0,0.0,OK
952.805506951468,0.0,652,652.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,99.19449304853197,99.19449304853197,20.0,400.0,0.0,HFP,0.28,182.56000000000003,0.0,0.0,0.0,1.0,0.0,652.0,652.0,0.0,0.0,0.0,0.0,OK
1629.4000190352165,0.0,665,665.0,0.0,0.0,0.0,564.4000190352165,0.0,idle,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,HFP,0.28,186.20000000000002,0.0,0.0,0.0,1.0,0.0,665.0,665.0,0.0,0.0,0.0,0.0,OK
2614.18441944971,32.116,683,715.116,32.116,389.8717737923585,683.0,1499.0684194497098,400.0,charge,0.0,0.0,0.0,0.0,0.0,39.49358868961792,789.8717737923586,0.0,HFP,0.28,200.23248,0.0,0.0,109.1640966618604,1.0,32.116,683.0,715.116,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
