Hour,non_shiftable_load
0,487.0
1,646.0
2,636.0
3,625.0
4,622.0
5,608.0
6,619.0
7,652.0
8,665.0
9,715.116
10,772.232
11,784.408
12,982.8199999999999
13,1085.584
14,1108.76
15,1092.056
16,1109.584
17,1153.052
18,1058.0
19,1071.0
20,1054.0
21,1009.0
22,911.0
23,738.0
24,659.0
25,604.0
26,567.0
27,577.0
28,588.0
29,567.0
30,684.0
31,800.0
32,1168.0
33,1430.352
34,2060.116
35,2518.6440000000002
36,2573.6440000000002
37,2266.2402262076416
38,2302.4162262076416
39,2299.0042262076413
40,2303.2402262076416
41,2298.288
42,2591.816
43,2532.816
44,2416.464
45,2089.0
46,1216.0
47,731.0
48,659.0
49,594.0
50,605.0
51,553.0
52,563.0
53,536.0
54,622.0
55,757.0
56,1110.0
57,1326.82
58,1962.644
59,2410.468
60,2525.6440000000002
61,2472.82
62,2475.172
63,2402.349270466001
64,2039.8282262076414
65,2001.0042262076415
66,1864.1282262076415
67,2226.64295574164
68,2291.0519999999997
69,1993.0
70,1213.0
71,733.0
72,642.0
73,609.0
74,616.0
75,598.0
76,584.0
77,533.0
78,646.0
79,738.0
80,947.0
81,1283.116
82,2019.704
83,2489.468
84,2464.704
85,2102.5362262076414
86,2253.3002262076416
87,2219.0642262076417
88,2117.6522262076414
89,2084.4639999999995
90,2397.288
91,2326.64
92,2321.404
93,2038.0
94,1205.0
95,729.0
96,649.0
97,608.0
98,595.0
99,584.0
100,574.0
101,536.0
102,615.0
103,666.0
104,900.0
105,1228.704
106,1785.468
107,2197.232
108,2277.584
109,2359.584
110,2425.348
111,2104.99636225519
112,2096.6522262076414
113,2073.1802262076417
114,2027.896090160093
115,2420.816
116,2362.0519999999997
117,2071.0
118,1193.0
119,628.0
120,563.0
121,573.0
122,570.0
123,556.0
124,539.0
125,526.0
126,557.0
127,650.0
128,899.0
129,1209.88
130,1868.292
131,1968.144881245895
132,2457.6440000000002
133,2439.6440000000002
134,2509.172
135,2574.552817741393
136,2160.8882262076413
137,2153.0642262076417
138,2001.1282262076415
139,2164.4394084662486
140,2397.8759999999997
141,2100.0
142,1265.0
143,769.0
144,642.0
145,583.0
146,585.0
147,573.0
148,577.0
149,543.0
150,570.0
151,614.0
152,756.0
153,1225.704
154,1661.1842262076416
155,2158.3602262076415
156,2486.689477778584
157,2541.056
158,2368.936
159,2320.524
160,1903.4162262076416
161,1847.6522262076414
162,1747.1282262076415
163,2031.5842262076412
164,2185.64
165,1896.0
166,1047.0
167,676.0
168,594.0
169,546.0
170,553.0
171,526.0
172,525.0
173,502.0
174,577.0
175,753.0
176,1014.0
177,1229.056
178,1828.88
179,2248.468
180,2307.996
181,2311.82
182,2387.348
183,2446.348
184,1949.4162262076416
185,1847.5922262076415
186,1679.1282262076415
187,1942.1722262076412
188,2133.0519999999997
189,1828.0
190,1141.0
191,693.0
192,619.0
193,591.0
194,591.0
195,570.0
196,546.0
197,546.0
198,615.0
199,763.0
200,968.0
201,1133.232
202,1714.056
203,2144.056
204,2262.7599999999998
205,1851.3002262076416
206,1911.2402262076414
207,1970.2402262076414
208,1962.4762262076415
209,1946.6999999999996
210,2343.464
211,2307.464
212,2282.464
213,1928.0
214,1136.0
215,694.0
216,622.0
217,512.0
218,471.0
219,464.0
220,453.0
221,428.0
222,464.0
223,825.0
224,1068.0
225,1278.88
226,1917.644
227,2008.7722262076416
228,2060.5362262076414
229,2464.408
230,2476.584
231,2443.348
232,2067.6522262076414
233,2055.1802262076417
234,1860.1282262076415
235,2059.880226207641
236,2252.0519999999997
237,1838.0
238,1096.0
239,725.0
240,642.0
241,598.0
242,606.0
243,577.0
244,580.0
245,556.0
246,627.0
247,774.0
248,992.0
249,1175.292
250,1789.468
251,2206.056
252,2256.82
253,2288.408
254,2370.112
255,2173.488351573269
256,1975.8882262076415
257,2003.1802262076415
258,1875.2841008420137
259,2383.404
260,2337.816
261,1972.0
262,1103.0
263,708.0
264,622.0
265,588.0
266,594.0
267,584.0
268,561.0
269,536.0
270,605.0
271,742.0
272,962.0
273,1110.116
274,1671.116
275,2057.056
276,2149.232
277,2204.936
278,2239.936
279,1929.2402262076414
280,1951.4162262076416
281,1919.8282262076414
282,1923.5922262076413
283,2299.228
284,2290.816
285,1972.0
286,1175.0
287,711.0
288,628.0
289,584.0
290,523.0
291,517.0
292,553.0
293,519.0
294,522.0
295,710.0
296,1003.0
297,1197.116
298,1884.056
299,2348.996
300,2377.292
301,2415.584
302,2143.394683289672
303,2236.970477817858
304,2134.6522262076414
305,2101.2402262076416
306,2219.227291307753
307,2332.8759999999997
308,2293.0519999999997
309,1995.0
310,1201.0
311,748.0
312,632.0
313,608.0
314,605.0
315,573.0
316,570.0
317,549.0
318,567.0
319,619.0
320,728.0
321,1041.292
322,1948.88
323,2477.82
324,2501.6440000000002
325,2488.584
326,2451.2711483449884
327,2075.8882262076413
328,2091.5922262076415
329,2020.0642262076415
330,2043.789077862653
331,2430.228
332,2377.404
333,1996.0
334,1168.0
335,721.0
336,632.0
337,598.0
338,609.0
339,605.0
340,587.0
341,562.0
342,663.0
343,725.0
344,970.0
345,1262.704
346,1915.704
347,2451.6440000000002
348,2484.408
349,2559.112
350,2203.6703325920057
351,2121.0642262076417
352,2046.3002262076416
353,2043.0042262076415
354,2313.7418936156355
355,2413.816
356,2350.9919999999997
357,1979.0
358,1192.0
359,741.0
360,670.0
361,604.0
362,608.0
363,616.0
364,581.0
365,567.0
366,649.0
367,807.0
368,1040.0
369,1153.292
370,1783.88
371,2274.88
372,2351.996
373,2375.408
374,2343.112
375,2218.288
376,1788.0042262076415
377,1786.3562262076414
378,1630.1282262076415
379,1925.408226207641
380,2210.816
381,1854.0
382,1140.0
383,738.0
384,649.0
385,639.0
386,632.0
387,619.0
388,612.0
389,605.0
390,670.0
391,705.0
392,920.0
393,1144.292
394,1623.704
395,1957.82
396,1991.584
397,1980.76
398,2016.936
399,1858.6671186675333
400,1731.4162262076416
401,1732.5322262076415
402,1523.1282262076415
403,2004.089107540108
404,2012.6399999999999
405,1718.0
406,1075.0
407,673.0
408,563.0
409,542.0
410,529.0
411,506.0
412,546.0
413,535.0
414,560.0
415,649.0
416,975.0
417,1169.116
418,1756.88
419,2168.704
420,2261.6440000000002
421,2289.172
422,2244.936
423,2260.348
424,1753.0042262076415
425,1675.5922262076415
426,1524.1282262076415
427,1797.6442262076412
428,1991.052
429,1742.0
430,1041.0
431,669.0
432,576.0
433,564.0
434,553.0
435,539.0
436,533.0
437,519.0
438,574.0
439,687.0
440,875.0
441,1112.292
442,1687.644
443,1998.704
444,2069.6440000000002
445,2098.7599999999998
446,2135.996
447,2181.584
448,1895.2402262076414
449,1916.3562262076414
450,1770.1282262076415
451,1998.996226207641
452,2236.0519999999997
453,1947.0
454,1179.0
455,697.0
456,613.0
457,573.0
458,540.0
459,532.0
460,573.0
461,509.0
462,570.0
463,642.0
464,854.0
465,1057.292
466,1553.88
467,1941.056
468,2064.056
469,2142.996
470,2185.348
471,2219.8759999999997
472,1876.1802262076415
473,1863.1802262076415
474,1653.1282262076415
475,1863.2922262076413
476,2132.64
477,1921.0
478,1181.0
479,735.0
480,598.0
481,549.0
482,553.0
483,540.0
484,535.0
485,527.0
486,556.0
487,591.0
488,701.0
489,1047.292
490,1730.704
491,1697.8322262076415
492,2139.82
493,2197.468
494,1856.9482262076415
495,1810.1242262076416
496,1924.4162262076416
497,1919.0042262076415
498,2331.64
499,2207.464
500,2134.816
501,1812.0
502,1051.0
503,673.0
504,577.0
505,559.0
506,556.0
507,545.0
508,536.0
509,522.0
510,588.0
511,654.0
512,914.0
513,1168.292
514,1819.468
515,2254.6440000000002
516,2356.82
517,1937.1242262076416
518,2358.524
519,2023.522729502721
520,1979.7122262076416
521,1978.4162262076416
522,1909.5934967049202
523,2296.7
524,2170.348
525,1826.0
