Hour,Mall_Load_kWh,EV_Demand_kWh,Total_Demand_kWh
0,788.02,37.74,825.76
1,788.02,30.19,818.22
2,788.02,22.64,810.67
3,788.02,22.64,810.67
4,788.02,22.64,810.67
5,1050.70,37.74,1088.44
6,1313.37,75.48,1388.85
7,1576.05,135.87,1711.91
8,1838.72,188.70,2027.42
9,1838.72,211.35,2050.07
10,1838.72,211.35,2050.07
11,1576.05,188.70,1764.75
12,1576.05,150.96,1727.01
13,1576.05,135.87,1711.91
14,1576.05,150.96,1727.01
15,1576.05,166.06,1742.11
16,1838.72,188.70,2027.42
17,2101.40,211.35,2312.74
18,2101.40,188.70,2290.10
19,1838.72,150.96,1989.68
20,1576.05,113.22,1689.27
21,1313.37,75.48,1388.85
22,1050.70,60.39,1111.08
23,788.02,45.29,833.31
24,788.02,37.74,825.76
25,788.02,30.19,818.22
26,788.02,22.64,810.67
27,788.02,22.64,810.67
28,788.02,22.64,810.67
29,1050.70,37.74,1088.44
30,1313.37,75.48,1388.85
31,1576.05,135.87,1711.91
32,1838.72,188.70,2027.42
33,1838.72,211.35,2050.07
34,1838.72,211.35,2050.07
35,1576.05,188.70,1764.75
36,1576.05,150.96,1727.01
37,1576.05,135.87,1711.91
38,1576.05,150.96,1727.01
39,1576.05,166.06,1742.11
40,1838.72,188.70,2027.42
41,2101.40,211.35,2312.74
42,2101.40,188.70,2290.10
43,1838.72,150.96,1989.68
44,1576.05,113.22,1689.27
45,1313.37,75.48,1388.85
46,1050.70,60.39,1111.08
47,788.02,45.29,833.31
48,788.02,37.74,825.76
49,788.02,30.19,818.22
50,788.02,22.64,810.67
51,788.02,22.64,810.67
52,788.02,22.64,810.67
53,1050.70,37.74,1088.44
54,1313.37,75.48,1388.85
55,1576.05,135.87,1711.91
56,1838.72,188.70,2027.42
57,1838.72,211.35,2050.07
58,1838.72,211.35,2050.07
59,1576.05,188.70,1764.75
60,1576.05,150.96,1727.01
61,1576.05,135.87,1711.91
62,1576.05,150.96,1727.01
63,1576.05,166.06,1742.11
64,1838.72,188.70,2027.42
65,2101.40,211.35,2312.74
66,2101.40,188.70,2290.10
67,1838.72,150.96,1989.68
68,1576.05,113.22,1689.27
69,1313.37,75.48,1388.85
70,1050.70,60.39,1111.08
71,788.02,45.29,833.31
72,788.02,37.74,825.76
73,788.02,30.19,818.22
74,788.02,22.64,810.67
75,788.02,22.64,810.67
76,788.02,22.64,810.67
77,1050.70,37.74,1088.44
78,1313.37,75.48,1388.85
79,1576.05,135.87,1711.91
80,1838.72,188.70,2027.42
81,1838.72,211.35,2050.07
82,1838.72,211.35,2050.07
83,1576.05,188.70,1764.75
84,1576.05,150.96,1727.01
85,1576.05,135.87,1711.91
86,1576.05,150.96,1727.01
87,1576.05,166.06,1742.11
88,1838.72,188.70,2027.42
89,2101.40,211.35,2312.74
90,2101.40,188.70,2290.10
91,1838.72,150.96,1989.68
92,1576.05,113.22,1689.27
93,1313.37,75.48,1388.85
94,1050.70,60.39,1111.08
95,788.02,45.29,833.31
96,788.02,37.74,825.76
97,788.02,30.19,818.22
98,788.02,22.64,810.67
99,788.02,22.64,810.67
100,788.02,22.64,810.67
101,1050.70,37.74,1088.44
102,1313.37,75.48,1388.85
103,1576.05,135.87,1711.91
104,1838.72,188.70,2027.42
105,1838.72,211.35,2050.07
106,1838.72,211.35,2050.07
107,1576.05,188.70,1764.75
108,1576.05,150.96,1727.01
109,1576.05,135.87,1711.91
110,1576.05,150.96,1727.01
111,1576.05,166.06,1742.11
112,1838.72,188.70,2027.42
113,2101.40,211.35,2312.74
114,2101.40,188.70,2290.10
115,1838.72,150.96,1989.68
116,1576.05,113.22,1689.27
117,1313.37,75.48,1388.85
118,1050.70,60.39,1111.08
119,788.02,45.29,833.31
120,788.02,37.74,825.76
121,788.02,30.19,818.22
122,788.02,22.64,810.67
123,788.02,22.64,810.67
124,788.02,22.64,810.67
125,1050.70,37.74,1088.44
126,1313.37,75.48,1388.85
127,1576.05,135.87,1711.91
128,1838.72,188.70,2027.42
129,1838.72,211.35,2050.07
130,1838.72,211.35,2050.07
131,1576.05,188.70,1764.75
132,1576.05,150.96,1727.01
133,1576.05,135.87,1711.91
134,1576.05,150.96,1727.01
135,1576.05,166.06,1742.11
136,1838.72,188.70,2027.42
137,2101.40,211.35,2312.74
138,2101.40,188.70,2290.10
139,1838.72,150.96,1989.68
140,1576.05,113.22,1689.27
141,1313.37,75.48,1388.85
142,1050.70,60.39,1111.08
143,788.02,45.29,833.31
144,788.02,37.74,825.76
145,788.02,30.19,818.22
146,788.02,22.64,810.67
147,788.02,22.64,810.67
148,788.02,22.64,810.67
149,1050.70,37.74,1088.44
150,1313.37,75.48,1388.85
151,1576.05,135.87,1711.91
152,1838.72,188.70,2027.42
153,1838.72,211.35,2050.07
154,1838.72,211.35,2050.07
155,1576.05,188.70,1764.75
156,1576.05,150.96,1727.01
157,1576.05,135.87,1711.91
158,1576.05,150.96,1727.01
159,1576.05,166.06,1742.11
160,1838.72,188.70,2027.42
161,2101.40,211.35,2312.74
162,2101.40,188.70,2290.10
163,1838.72,150.96,1989.68
164,1576.05,113.22,1689.27
165,1313.37,75.48,1388.85
166,1050.70,60.39,1111.08
167,788.02,45.29,833.31
168,788.02,37.74,825.76
169,788.02,30.19,818.22
170,788.02,22.64,810.67
171,788.02,22.64,810.67
172,788.02,22.64,810.67
173,1050.70,37.74,1088.44
174,1313.37,75.48,1388.85
175,1576.05,135.87,1711.91
176,1838.72,188.70,2027.42
177,1838.72,211.35,2050.07
178,1838.72,211.35,2050.07
179,1576.05,188.70,1764.75
180,1576.05,150.96,1727.01
181,1576.05,135.87,1711.91
182,1576.05,150.96,1727.01
183,1576.05,166.06,1742.11
184,1838.72,188.70,2027.42
185,2101.40,211.35,2312.74
186,2101.40,188.70,2290.10
187,1838.72,150.96,1989.68
188,1576.05,113.22,1689.27
189,1313.37,75.48,1388.85
190,1050.70,60.39,1111.08
191,788.02,45.29,833.31
192,788.02,37.74,825.76
193,788.02,30.19,818.22
194,788.02,22.64,810.67
195,788.02,22.64,810.67
196,788.02,22.64,810.67
197,1050.70,37.74,1088.44
198,1313.37,75.48,1388.85
199,1576.05,135.87,1711.91
200,1838.72,188.70,2027.42
201,1838.72,211.35,2050.07
202,1838.72,211.35,2050.07
203,1576.05,188.70,1764.75
204,1576.05,150.96,1727.01
205,1576.05,135.87,1711.91
206,1576.05,150.96,1727.01
207,1576.05,166.06,1742.11
208,1838.72,188.70,2027.42
209,2101.40,211.35,2312.74
210,2101.40,188.70,2290.10
211,1838.72,150.96,1989.68
212,1576.05,113.22,1689.27
213,1313.37,75.48,1388.85
214,1050.70,60.39,1111.08
215,788.02,45.29,833.31
216,788.02,37.74,825.76
217,788.02,30.19,818.22
218,788.02,22.64,810.67
219,788.02,22.64,810.67
220,788.02,22.64,810.67
221,1050.70,37.74,1088.44
222,1313.37,75.48,1388.85
223,1576.05,135.87,1711.91
224,1838.72,188.70,2027.42
225,1838.72,211.35,2050.07
226,1838.72,211.35,2050.07
227,1576.05,188.70,1764.75
228,1576.05,150.96,1727.01
229,1576.05,135.87,1711.91
230,1576.05,150.96,1727.01
231,1576.05,166.06,1742.11
232,1838.72,188.70,2027.42
233,2101.40,211.35,2312.74
234,2101.40,188.70,2290.10
235,1838.72,150.96,1989.68
236,1576.05,113.22,1689.27
237,1313.37,75.48,1388.85
238,1050.70,60.39,1111.08
239,788.02,45.29,833.31
240,788.02,37.74,825.76
241,788.02,30.19,818.22
242,788.02,22.64,810.67
243,788.02,22.64,810.67
244,788.02,22.64,810.67
245,1050.70,37.74,1088.44
246,1313.37,75.48,1388.85
247,1576.05,135.87,1711.91
248,1838.72,188.70,2027.42
249,1838.72,211.35,2050.07
250,1838.72,211.35,2050.07
251,1576.05,188.70,1764.75
252,1576.05,150.96,1727.01
253,1576.05,135.87,1711.91
254,1576.05,150.96,1727.01
255,1576.05,166.06,1742.11
256,1838.72,188.70,2027.42
257,2101.40,211.35,2312.74
258,2101.40,188.70,2290.10
259,1838.72,150.96,1989.68
260,1576.05,113.22,1689.27
261,1313.37,75.48,1388.85
262,1050.70,60.39,1111.08
263,788.02,45.29,833.31
264,788.02,37.74,825.76
265,788.02,30.19,818.22
266,788.02,22.64,810.67
267,788.02,22.64,810.67
268,788.02,22.64,810.67
269,1050.70,37.74,1088.44
270,1313.37,75.48,1388.85
271,1576.05,135.87,1711.91
272,1838.72,188.70,2027.42
273,1838.72,211.35,2050.07
274,1838.72,211.35,2050.07
275,1576.05,188.70,1764.75
276,1576.05,150.96,1727.01
277,1576.05,135.87,1711.91
278,1576.05,150.96,1727.01
279,1576.05,166.06,1742.11
280,1838.72,188.70,2027.42
281,2101.40,211.35,2312.74
282,2101.40,188.70,2290.10
283,1838.72,150.96,1989.68
284,1576.05,113.22,1689.27
285,1313.37,75.48,1388.85
286,1050.70,60.39,1111.08
287,788.02,45.29,833.31
288,788.02,37.74,825.76
289,788.02,30.19,818.22
290,788.02,22.64,810.67
291,788.02,22.64,810.67
292,788.02,22.64,810.67
293,1050.70,37.74,1088.44
294,1313.37,75.48,1388.85
295,1576.05,135.87,1711.91
296,1838.72,188.70,2027.42
297,1838.72,211.35,2050.07
298,1838.72,211.35,2050.07
299,1576.05,188.70,1764.75
300,1576.05,150.96,1727.01
301,1576.05,135.87,1711.91
302,1576.05,150.96,1727.01
303,1576.05,166.06,1742.11
304,1838.72,188.70,2027.42
305,2101.40,211.35,2312.74
306,2101.40,188.70,2290.10
307,1838.72,150.96,1989.68
308,1576.05,113.22,1689.27
309,1313.37,75.48,1388.85
310,1050.70,60.39,1111.08
311,788.02,45.29,833.31
312,788.02,37.74,825.76
313,788.02,30.19,818.22
314,788.02,22.64,810.67
315,788.02,22.64,810.67
316,788.02,22.64,810.67
317,1050.70,37.74,1088.44
318,1313.37,75.48,1388.85
319,1576.05,135.87,1711.91
320,1838.72,188.70,2027.42
321,1838.72,211.35,2050.07
322,1838.72,211.35,2050.07
323,1576.05,188.70,1764.75
324,1576.05,150.96,1727.01
325,1576.05,135.87,1711.91
