Hour,PV_Generation_kWh,Total_Demand_kWh,Solar_Surplus_Deficit_kWh,PV_Coverage_Percent
0,0.00,825.76,-825.76,0.00
1,0.00,818.22,-818.22,0.00
2,0.00,810.67,-810.67,0.00
3,0.00,810.67,-810.67,0.00
4,0.00,810.67,-810.67,0.00
5,348.84,1088.44,-739.60,32.05
6,593.02,1388.85,-795.84,42.70
7,929.09,1711.91,-782.83,54.27
8,1341.51,2027.42,-685.92,66.17
9,1785.16,2050.07,-264.91,87.08
10,2189.32,2050.07,139.25,106.79
11,2474.50,1764.75,709.75,140.22
12,2577.59,1727.01,850.58,149.25
13,2474.50,1711.91,762.59,144.55
14,2189.32,1727.01,462.31,126.77
15,1785.16,1742.11,43.06,102.47
16,1341.51,2027.42,-685.92,66.17
17,929.09,2312.74,-1383.66,40.17
18,0.00,2290.10,-2290.10,0.00
19,0.00,1989.68,-1989.68,0.00
20,0.00,1689.27,-1689.27,0.00
21,0.00,1388.85,-1388.85,0.00
22,0.00,1111.08,-1111.08,0.00
23,0.00,833.31,-833.31,0.00
24,0.00,825.76,-825.76,0.00
25,0.00,818.22,-818.22,0.00
26,0.00,810.67,-810.67,0.00
27,0.00,810.67,-810.67,0.00
28,0.00,810.67,-810.67,0.00
29,348.91,1088.44,-739.53,32.06
30,593.13,1388.85,-795.72,42.71
31,929.27,1711.91,-782.64,54.28
32,1341.77,2027.42,-685.65,66.18
33,1785.51,2050.07,-264.56,87.10
34,2189.75,2050.07,139.68,106.81
35,2474.99,1764.75,710.24,140.25
36,2578.10,1727.01,851.09,149.28
37,2474.99,1711.91,763.08,144.57
38,2189.75,1727.01,462.74,126.79
39,1785.51,1742.11,43.41,102.49
40,1341.77,2027.42,-685.65,66.18
41,929.27,2312.74,-1383.47,40.18
42,0.00,2290.10,-2290.10,0.00
43,0.00,1989.68,-1989.68,0.00
44,0.00,1689.27,-1689.27,0.00
45,0.00,1388.85,-1388.85,0.00
46,0.00,1111.08,-1111.08,0.00
47,0.00,833.31,-833.31,0.00
48,0.00,825.76,-825.76,0.00
49,0.00,818.22,-818.22,0.00
50,0.00,810.67,-810.67,0.00
51,0.00,810.67,-810.67,0.00
52,0.00,810.67,-810.67,0.00
53,348.98,1088.44,-739.46,32.06
54,593.26,1388.85,-795.59,42.72
55,929.47,1711.91,-782.45,54.29
56,1342.06,2027.42,-685.37,66.20
57,1785.89,2050.07,-264.18,87.11
58,2190.21,2050.07,140.15,106.84
59,2475.52,1764.75,710.77,140.28
60,2578.65,1727.01,851.64,149.31
61,2475.52,1711.91,763.60,144.61
62,2190.21,1727.01,463.21,126.82
63,1785.89,1742.11,43.79,102.51
64,1342.06,2027.42,-685.37,66.20
65,929.47,2312.74,-1383.28,40.19
66,0.00,2290.10,-2290.10,0.00
67,0.00,1989.68,-1989.68,0.00
68,0.00,1689.27,-1689.27,0.00
69,0.00,1388.85,-1388.85,0.00
70,0.00,1111.08,-1111.08,0.00
71,0.00,833.31,-833.31,0.00
72,0.00,825.76,-825.76,0.00
73,0.00,818.22,-818.22,0.00
74,0.00,810.67,-810.67,0.00
75,0.00,810.67,-810.67,0.00
76,0.00,810.67,-810.67,0.00
77,349.06,1088.44,-739.38,32.07
78,593.39,1388.85,-795.46,42.73
79,929.68,1711.91,-782.23,54.31
80,1342.36,2027.42,-685.06,66.21
81,1786.30,2050.07,-263.77,87.13
82,2190.71,2050.07,140.64,106.86
83,2476.08,1764.75,711.33,140.31
84,2579.23,1727.01,852.22,149.35
85,2476.08,1711.91,764.17,144.64
86,2190.71,1727.01,463.70,126.85
87,1786.30,1742.11,44.19,102.54
88,1342.36,2027.42,-685.06,66.21
89,929.68,2312.74,-1383.06,40.20
90,0.00,2290.10,-2290.10,0.00
91,0.00,1989.68,-1989.68,0.00
92,0.00,1689.27,-1689.27,0.00
93,0.00,1388.85,-1388.85,0.00
94,0.00,1111.08,-1111.08,0.00
95,0.00,833.31,-833.31,0.00
96,0.00,825.76,-825.76,0.00
97,0.00,818.22,-818.22,0.00
98,0.00,810.67,-810.67,0.00
99,0.00,810.67,-810.67,0.00
100,0.00,810.67,-810.67,0.00
101,349.15,1088.44,-739.29,32.08
102,593.54,1388.85,-795.32,42.74
103,929.90,1711.91,-782.01,54.32
104,1342.69,2027.42,-684.74,66.23
105,1786.73,2050.07,-263.34,87.15
106,2191.24,2050.07,141.17,106.89
107,2476.68,1764.75,711.93,140.34
108,2579.86,1727.01,852.85,149.38
109,2476.68,1711.91,764.76,144.67
110,2191.24,1727.01,464.23,126.88
111,1786.73,1742.11,44.63,102.56
112,1342.69,2027.42,-684.74,66.23
113,929.90,2312.74,-1382.84,40.21
114,0.00,2290.10,-2290.10,0.00
115,0.00,1989.68,-1989.68,0.00
116,0.00,1689.27,-1689.27,0.00
117,0.00,1388.85,-1388.85,0.00
118,0.00,1111.08,-1111.08,0.00
119,0.00,833.31,-833.31,0.00
120,0.00,825.76,-825.76,0.00
121,0.00,818.22,-818.22,0.00
122,0.00,810.67,-810.67,0.00
123,0.00,810.67,-810.67,0.00
124,0.00,810.67,-810.67,0.00
125,349.24,1088.44,-739.20,32.09
126,593.69,1388.85,-795.16,42.75
127,930.14,1711.91,-781.77,54.33
128,1343.03,2027.42,-684.39,66.24
129,1787.19,2050.07,-262.88,87.18
130,2191.81,2050.07,141.74,106.91
131,2477.31,1764.75,712.56,140.38
132,2580.52,1727.01,853.51,149.42
133,2477.31,1711.91,765.40,144.71
134,2191.81,1727.01,464.80,126.91
135,1787.19,1742.11,45.08,102.59
136,1343.03,2027.42,-684.39,66.24
137,930.14,2312.74,-1382.60,40.22
138,0.00,2290.10,-2290.10,0.00
139,0.00,1989.68,-1989.68,0.00
140,0.00,1689.27,-1689.27,0.00
141,0.00,1388.85,-1388.85,0.00
142,0.00,1111.08,-1111.08,0.00
143,0.00,833.31,-833.31,0.00
144,0.00,825.76,-825.76,0.00
145,0.00,818.22,-818.22,0.00
146,0.00,810.67,-810.67,0.00
147,0.00,810.67,-810.67,0.00
148,0.00,810.67,-810.67,0.00
149,349.33,1088.44,-739.11,32.09
150,593.85,1388.85,-795.00,42.76
151,930.40,1711.91,-781.52,54.35
152,1343.40,2027.42,-684.03,66.26
153,1787.68,2050.07,-262.39,87.20
154,2192.40,2050.07,142.33,106.94
155,2477.99,1764.75,713.24,140.42
156,2581.22,1727.01,854.21,149.46
157,2477.99,1711.91,766.08,144.75
158,2192.40,1727.01,465.39,126.95
159,1787.68,1742.11,45.57,102.62
160,1343.40,2027.42,-684.03,66.26
161,930.40,2312.74,-1382.35,40.23
162,0.00,2290.10,-2290.10,0.00
163,0.00,1989.68,-1989.68,0.00
164,0.00,1689.27,-1689.27,0.00
165,0.00,1388.85,-1388.85,0.00
166,0.00,1111.08,-1111.08,0.00
167,0.00,833.31,-833.31,0.00
168,0.00,825.76,-825.76,0.00
169,0.00,818.22,-818.22,0.00
170,0.00,810.67,-810.67,0.00
171,0.00,810.67,-810.67,0.00
172,0.00,810.67,-810.67,0.00
173,349.43,1088.44,-739.01,32.10
174,594.02,1388.85,-794.83,42.77
175,930.66,1711.91,-781.25,54.36
176,1343.78,2027.42,-683.64,66.28
177,1788.19,2050.07,-261.88,87.23
178,2193.03,2050.07,142.96,106.97
179,2478.70,1764.75,713.95,140.46
180,2581.96,1727.01,854.95,149.50
181,2478.70,1711.91,766.79,144.79
182,2193.03,1727.01,466.02,126.98
183,1788.19,1742.11,46.08,102.65
184,1343.78,2027.42,-683.64,66.28
185,930.66,2312.74,-1382.08,40.24
186,0.00,2290.10,-2290.10,0.00
187,0.00,1989.68,-1989.68,0.00
188,0.00,1689.27,-1689.27,0.00
189,0.00,1388.85,-1388.85,0.00
190,0.00,1111.08,-1111.08,0.00
191,0.00,833.31,-833.31,0.00
192,0.00,825.76,-825.76,0.00
193,0.00,818.22,-818.22,0.00
194,0.00,810.67,-810.67,0.00
195,0.00,810.67,-810.67,0.00
196,0.00,810.67,-810.67,0.00
197,349.54,1088.44,-738.90,32.11
198,594.20,1388.85,-794.65,42.78
199,930.94,1711.91,-780.97,54.38
200,1344.19,2027.42,-683.24,66.30
201,1788.73,2050.07,-261.34,87.25
202,2193.69,2050.07,143.62,107.01
203,2479.45,1764.75,714.70,140.50
204,2582.74,1727.01,855.73,149.55
205,2479.45,1711.91,767.53,144.83
206,2193.69,1727.01,466.68,127.02
207,1788.73,1742.11,46.62,102.68
208,1344.19,2027.42,-683.24,66.30
209,930.94,2312.74,-1381.80,40.25
210,0.00,2290.10,-2290.10,0.00
211,0.00,1989.68,-1989.68,0.00
212,0.00,1689.27,-1689.27,0.00
213,0.00,1388.85,-1388.85,0.00
214,0.00,1111.08,-1111.08,0.00
215,0.00,833.31,-833.31,0.00
216,0.00,825.76,-825.76,0.00
217,0.00,818.22,-818.22,0.00
218,0.00,810.67,-810.67,0.00
219,0.00,810.67,-810.67,0.00
220,0.00,810.67,-810.67,0.00
221,349.65,1088.44,-738.79,32.12
222,594.39,1388.85,-794.46,42.80
223,931.24,1711.91,-780.68,54.40
224,1344.61,2027.42,-682.81,66.32
225,1789.29,2050.07,-260.78,87.28
226,2194.38,2050.07,144.32,107.04
227,2480.23,1764.75,715.48,140.54
228,2583.56,1727.01,856.55,149.60
229,2480.23,1711.91,768.32,144.88
230,2194.38,1727.01,467.38,127.06
231,1789.29,1742.11,47.19,102.71
232,1344.61,2027.42,-682.81,66.32
233,931.24,2312.74,-1381.51,40.27
234,0.00,2290.10,-2290.10,0.00
235,0.00,1989.68,-1989.68,0.00
236,0.00,1689.27,-1689.27,0.00
237,0.00,1388.85,-1388.85,0.00
238,0.00,1111.08,-1111.08,0.00
239,0.00,833.31,-833.31,0.00
240,0.00,825.76,-825.76,0.00
241,0.00,818.22,-818.22,0.00
242,0.00,810.67,-810.67,0.00
243,0.00,810.67,-810.67,0.00
244,0.00,810.67,-810.67,0.00
245,349.76,1088.44,-738.68,32.13
246,594.59,1388.85,-794.27,42.81
247,931.54,1711.91,-780.37,54.42
248,1345.06,2027.42,-682.37,66.34
249,1789.88,2050.07,-260.19,87.31
250,2195.11,2050.07,145.04,107.07
251,2481.05,1764.75,716.30,140.59
252,2584.41,1727.01,857.40,149.65
253,2481.05,1711.91,769.13,144.93
254,2195.11,1727.01,468.10,127.10
255,1789.88,1742.11,47.78,102.74
256,1345.06,2027.42,-682.37,66.34
257,931.54,2312.74,-1381.20,40.28
258,0.00,2290.10,-2290.10,0.00
259,0.00,1989.68,-1989.68,0.00
260,0.00,1689.27,-1689.27,0.00
261,0.00,1388.85,-1388.85,0.00
262,0.00,1111.08,-1111.08,0.00
263,0.00,833.31,-833.31,0.00
264,0.00,825.76,-825.76,0.00
265,0.00,818.22,-818.22,0.00
266,0.00,810.67,-810.67,0.00
267,0.00,810.67,-810.67,0.00
268,0.00,810.67,-810.67,0.00
269,349.88,1088.44,-738.56,32.15
270,594.79,1388.85,-794.06,42.83
271,931.87,1711.91,-780.05,54.43
272,1345.52,2027.42,-681.90,66.37
273,1790.50,2050.07,-259.57,87.34
274,2195.87,2050.07,145.80,107.11
275,2481.90,1764.75,717.15,140.64
276,2585.30,1727.01,858.29,149.70
277,2481.90,1711.91,769.99,144.98
278,2195.87,1727.01,468.86,127.15
279,1790.50,1742.11,48.39,102.78
280,1345.52,2027.42,-681.90,66.37
281,931.87,2312.74,-1380.88,40.29
282,0.00,2290.10,-2290.10,0.00
283,0.00,1989.68,-1989.68,0.00
284,0.00,1689.27,-1689.27,0.00
285,0.00,1388.85,-1388.85,0.00
286,0.00,1111.08,-1111.08,0.00
287,0.00,833.31,-833.31,0.00
288,0.00,825.76,-825.76,0.00
289,0.00,818.22,-818.22,0.00
290,0.00,810.67,-810.67,0.00
291,0.00,810.67,-810.67,0.00
292,0.00,810.67,-810.67,0.00
293,350.01,1088.44,-738.43,32.16
294,595.00,1388.85,-793.85,42.84
