datetime,mall_demand_kwh,mall_co2_indirect_kg,is_hora_punta,tarifa_soles_kwh,mall_cost_soles
2024-01-01 00:00:00,487,220.1727,0,0.3,146.1
2024-01-01 01:00:00,646,292.0566,0,0.3,193.79999999999998
2024-01-01 02:00:00,636,287.5356,0,0.3,190.79999999999998
2024-01-01 03:00:00,625,282.5625,0,0.3,187.5
2024-01-01 04:00:00,622,281.2062,0,0.3,186.6
2024-01-01 05:00:00,608,274.8768,0,0.3,182.4
2024-01-01 06:00:00,619,279.8499,0,0.3,185.7
2024-01-01 07:00:00,652,294.7692,0,0.3,195.6
2024-01-01 08:00:00,665,300.6465,0,0.3,199.5
2024-01-01 09:00:00,683,308.7843,0,0.3,204.9
2024-01-01 10:00:00,708,320.0868,0,0.3,212.4
2024-01-01 11:00:00,711,321.4431,0,0.3,213.29999999999998
2024-01-01 12:00:00,914,413.2194,0,0.3,274.2
2024-01-01 13:00:00,1003,453.4563,0,0.3,300.9
2024-01-01 14:00:00,1017,459.7857,0,0.3,305.09999999999997
2024-01-01 15:00:00,1037,468.8277,0,0.3,311.09999999999997
2024-01-01 16:00:00,1027,464.3067,0,0.3,308.09999999999997
2024-01-01 17:00:00,1020,461.142,0,0.3,306.0
2024-01-01 18:00:00,1058,478.3218,1,0.5,529.0
2024-01-01 19:00:00,1071,484.1991,1,0.5,535.5
2024-01-01 20:00:00,1054,476.5134,1,0.5,527.0
2024-01-01 21:00:00,1009,456.1689,1,0.5,504.5
2024-01-01 22:00:00,911,411.8631,1,0.5,455.5
2024-01-01 23:00:00,738,333.6498,0,0.3,221.4
2024-01-02 00:00:00,659,297.9339,0,0.3,197.7
2024-01-02 01:00:00,604,273.0684,0,0.3,181.2
2024-01-02 02:00:00,567,256.3407,0,0.3,170.1
2024-01-02 03:00:00,577,260.8617,0,0.3,173.1
2024-01-02 04:00:00,588,265.8348,0,0.3,176.4
2024-01-02 05:00:00,567,256.3407,0,0.3,170.1
2024-01-02 06:00:00,684,309.2364,0,0.3,205.2
2024-01-02 07:00:00,800,361.68,0,0.3,240.0
2024-01-02 08:00:00,1168,528.0528,0,0.3,350.4
2024-01-02 09:00:00,1412,638.3652,0,0.3,423.59999999999997
2024-01-02 10:00:00,2028,916.8588,0,0.3,608.4
2024-01-02 11:00:00,2459,1111.7139,0,0.3,737.6999999999999
2024-01-02 12:00:00,2514,1136.5794,0,0.3,754.1999999999999
2024-01-02 13:00:00,2546,1151.0466,0,0.3,763.8
2024-01-02 14:00:00,2573,1163.2533,0,0.3,771.9
2024-01-02 15:00:00,2565,1159.6365,0,0.3,769.5
2024-01-02 16:00:00,2583,1167.7743,0,0.3,774.9
2024-01-02 17:00:00,2559,1156.9239,0,0.3,767.6999999999999
2024-01-02 18:00:00,2445,1105.3845000000001,1,0.5,1222.5
2024-01-02 19:00:00,2386,1078.7106,1,0.5,1193.0
2024-01-02 20:00:00,2288,1034.4048,1,0.5,1144.0
2024-01-02 21:00:00,2089,944.4369,1,0.5,1044.5
2024-01-02 22:00:00,1216,549.7536,1,0.5,608.0
2024-01-02 23:00:00,731,330.4851,0,0.3,219.29999999999998
2024-01-03 00:00:00,659,297.9339,0,0.3,197.7
2024-01-03 01:00:00,594,268.5474,0,0.3,178.2
2024-01-03 02:00:00,605,273.5205,0,0.3,181.5
2024-01-03 03:00:00,553,250.0113,0,0.3,165.9
2024-01-03 04:00:00,563,254.5323,0,0.3,168.9
2024-01-03 05:00:00,536,242.3256,0,0.3,160.79999999999998
2024-01-03 06:00:00,622,281.2062,0,0.3,186.6
2024-01-03 07:00:00,757,342.2397,0,0.3,227.1
2024-01-03 08:00:00,1110,501.831,0,0.3,333.0
2024-01-03 09:00:00,1258,568.7418,0,0.3,377.4
