day,hour,minute,interval,energy_kwh,power_kw
0,0,0,0,0.0068,0.0270
0,0,15,1,0.0069,0.0277
0,0,30,2,0.0076,0.0305
0,0,45,3,0.0088,0.0353
0,1,0,4,0.0000,0.0000
0,1,15,5,0.0000,0.0000
0,1,30,6,0.0000,0.0000
0,1,45,7,0.0000,0.0000
0,2,0,8,0.0000,0.0000
0,2,15,9,0.0000,0.0000
0,2,30,10,0.0000,0.0000
0,2,45,11,0.0000,0.0000
0,3,0,12,0.0000,0.0000
0,3,15,13,0.0000,0.0000
0,3,30,14,0.0000,0.0000
0,3,45,15,0.0000,0.0000
0,4,0,16,0.0000,0.0000
0,4,15,17,0.0000,0.0000
0,4,30,18,0.0000,0.0000
0,4,45,19,0.0000,0.0000
0,5,0,20,0.0000,0.0000
0,5,15,21,0.0000,0.0000
0,5,30,22,0.0000,0.0000
0,5,45,23,0.0000,0.0000
0,6,0,24,0.0067,0.0269
0,6,15,25,0.0063,0.0251
0,6,30,26,0.0066,0.0265
0,6,45,27,0.0064,0.0254
0,7,0,28,0.0100,0.0399
0,7,15,29,0.0097,0.0389
0,7,30,30,0.0110,0.0438
0,7,45,31,0.0123,0.0492
0,8,0,32,0.0284,0.1135
0,8,15,33,0.0247,0.0988
0,8,30,34,0.0213,0.0851
0,8,45,35,0.0274,0.1095
0,9,0,36,0.0305,0.1221
0,9,15,37,0.0329,0.1318
0,9,30,38,0.0374,0.1496
0,9,45,39,0.0427,0.1707
0,10,0,40,0.0457,0.1826
0,10,15,41,0.0285,0.1141
0,10,30,42,0.0404,0.1615
0,10,45,43,0.0517,0.2068
0,11,0,44,0.0397,0.1588
0,11,15,45,0.0370,0.1480
0,11,30,46,0.0389,0.1557
0,11,45,47,0.0420,0.1678
0,12,0,48,0.0268,0.1071
0,12,15,49,0.0233,0.0931
0,12,30,50,0.0200,0.0801
0,12,45,51,0.0274,0.1094
0,13,0,52,0.0236,0.0946
0,13,15,53,0.0266,0.1064
0,13,30,54,0.0317,0.1267
0,13,45,55,0.0243,0.0973
0,14,0,56,0.0501,0.2003
0,14,15,57,0.0309,0.1234
0,14,30,58,0.0438,0.1750
0,14,45,59,0.0299,0.1194
0,15,0,60,0.0478,0.1914
0,15,15,61,0.0531,0.2125
0,15,30,62,0.0561,0.2243
0,15,45,63,0.0578,0.2311
0,16,0,64,0.0568,0.2274
0,16,15,65,0.0643,0.2571
0,16,30,66,0.0749,0.2997
0,16,45,67,0.0655,0.2619
0,17,0,68,0.0792,0.3167
0,17,15,69,0.0856,0.3425
0,17,30,70,0.1006,0.4024
0,17,45,71,0.0901,0.3602
0,18,0,72,0.1070,0.4281
0,18,15,73,0.1105,0.4421
0,18,30,74,0.1117,0.4470
0,18,45,75,0.1152,0.4606
0,19,0,76,0.1296,0.5186
0,19,15,77,0.0910,0.3638
0,19,30,78,0.0859,0.3436
0,19,45,79,0.1089,0.4354
0,20,0,80,0.0901,0.3603
0,20,15,81,0.0844,0.3377
0,20,30,82,0.1017,0.4070
0,20,45,83,0.0917,0.3669
0,21,0,84,0.0885,0.3539
0,21,15,85,0.0607,0.2429
0,21,30,86,0.0771,0.3083
0,21,45,87,0.0754,0.3017
0,22,0,88,0.0334,0.1337
0,22,15,89,0.0374,0.1497
0,22,30,90,0.0322,0.1286
0,22,45,91,0.0336,0.1346
0,23,0,92,0.0128,0.0511
0,23,15,93,0.0156,0.0625
0,23,30,94,0.0088,0.0351
0,23,45,95,0.0090,0.0359
1,0,0,0,0.0065,0.0261
1,0,15,1,0.0073,0.0291
1,0,30,2,0.0048,0.0191
1,0,45,3,0.0065,0.0261
1,1,0,4,0.0000,0.0000
1,1,15,5,0.0000,0.0000
1,1,30,6,0.0000,0.0000
1,1,45,7,0.0000,0.0000
1,2,0,8,0.0000,0.0000
1,2,15,9,0.0000,0.0000
1,2,30,10,0.0000,0.0000
1,2,45,11,0.0000,0.0000
1,3,0,12,0.0000,0.0000
1,3,15,13,0.0000,0.0000
1,3,30,14,0.0000,0.0000
1,3,45,15,0.0000,0.0000
1,4,0,16,0.0000,0.0000
1,4,15,17,0.0000,0.0000
1,4,30,18,0.0000,0.0000
1,4,45,19,0.0000,0.0000
1,5,0,20,0.0000,0.0000
1,5,15,21,0.0000,0.0000
1,5,30,22,0.0000,0.0000
1,5,45,23,0.0000,0.0000
1,6,0,24,0.0062,0.0248
1,6,15,25,0.0055,0.0218
1,6,30,26,0.0066,0.0265
1,6,45,27,0.0057,0.0230
1,7,0,28,0.0139,0.0557
1,7,15,29,0.0142,0.0568
1,7,30,30,0.0134,0.0535
1,7,45,31,0.0111,0.0446
1,8,0,32,0.0275,0.1101
1,8,15,33,0.0219,0.0877
1,8,30,34,0.0237,0.0946
1,8,45,35,0.0221,0.0883
1,9,0,36,0.0391,0.1565
1,9,15,37,0.0416,0.1663
1,9,30,38,0.0422,0.1688
1,9,45,39,0.0496,0.1984
1,10,0,40,0.0471,0.1883
1,10,15,41,0.0419,0.1675
1,10,30,42,0.0379,0.1517
1,10,45,43,0.0560,0.2241
1,11,0,44,0.0316,0.1263
1,11,15,45,0.0306,0.1224
1,11,30,46,0.0356,0.1424
1,11,45,47,0.0407,0.1629
1,12,0,48,0.0241,0.0966
1,12,15,49,0.0249,0.0997
1,12,30,50,0.0242,0.0967
