day,hour,minute,interval,energy_kwh,power_kw
0,0,0,0,0.4881,1.9525
0,0,15,1,0.5097,2.0387
0,0,30,2,0.5933,2.3732
0,0,45,3,0.5604,2.2416
0,1,0,4,0.2234,0.8935
0,1,15,5,0.2508,1.0031
0,1,30,6,0.3406,1.3626
0,1,45,7,0.3046,1.2183
0,2,0,8,0.3305,1.3222
0,2,15,9,0.2622,1.0488
0,2,30,10,0.2650,1.0601
0,2,45,11,0.3191,1.2764
0,3,0,12,0.0000,0.0000
0,3,15,13,0.0000,0.0000
0,3,30,14,0.0000,0.0000
0,3,45,15,0.0000,0.0000
0,4,0,16,0.0000,0.0000
0,4,15,17,0.0000,0.0000
0,4,30,18,0.0000,0.0000
0,4,45,19,0.0000,0.0000
0,5,0,20,0.2761,1.1045
0,5,15,21,0.2433,0.9733
0,5,30,22,0.2735,1.0939
0,5,45,23,0.2615,1.0460
0,6,0,24,1.0160,4.0641
0,6,15,25,0.7131,2.8523
0,6,30,26,0.6800,2.7200
0,6,45,27,1.0208,4.0834
0,7,0,28,2.3120,9.2480
0,7,15,29,2.8403,11.3612
0,7,30,30,2.3072,9.2286
0,7,45,31,2.3761,9.5045
0,8,0,32,3.6532,14.6130
0,8,15,33,5.3874,21.5494
0,8,30,34,5.6051,22.4202
0,8,45,35,4.4298,17.7194
0,9,0,36,6.0045,24.0180
0,9,15,37,5.1039,20.4155
0,9,30,38,6.4756,25.9022
0,9,45,39,4.9373,19.7493
0,10,0,40,4.9071,19.6285
0,10,15,41,4.7656,19.0623
0,10,30,42,5.0759,20.3036
0,10,45,43,5.4247,21.6990
0,11,0,44,4.3215,17.2859
0,11,15,45,5.1138,20.4552
0,11,30,46,3.4345,13.7382
0,11,45,47,5.1366,20.5465
0,12,0,48,2.4908,9.9631
0,12,15,49,2.6795,10.7178
0,12,30,50,2.6574,10.6297
0,12,45,51,3.5096,14.0382
0,13,0,52,3.7514,15.0057
0,13,15,53,3.3718,13.4874
0,13,30,54,4.0549,16.2196
0,13,45,55,3.6581,14.6326
0,14,0,56,4.2662,17.0649
0,14,15,57,3.3063,13.2251
0,14,30,58,3.8438,15.3753
0,14,45,59,5.1873,20.7493
0,15,0,60,4.1754,16.7016
0,15,15,61,5.2422,20.9690
0,15,30,62,4.2809,17.1237
0,15,45,63,5.0044,20.0177
0,16,0,64,5.5353,22.1410
0,16,15,65,4.7842,19.1368
0,16,30,66,5.1409,20.5638
0,16,45,67,7.4443,29.7771
0,17,0,68,5.2530,21.0121
0,17,15,69,7.9249,31.6995
0,17,30,70,4.9243,19.6972
0,17,45,71,7.3707,29.4828
0,18,0,72,7.1386,28.5543
0,18,15,73,7.2431,28.9725
0,18,30,74,7.7962,31.1847
0,18,45,75,8.7521,35.0085
0,19,0,76,6.1997,24.7987
0,19,15,77,5.7663,23.0651
0,19,30,78,7.0461,28.1845
0,19,45,79,5.0114,20.0454
0,20,0,80,4.9568,19.8271
0,20,15,81,4.5791,18.3165
0,20,30,82,4.6823,18.7292
0,20,45,83,4.4895,17.9579
0,21,0,84,4.4504,17.8017
0,21,15,85,3.7573,15.0290
0,21,30,86,3.1961,12.7846
0,21,45,87,3.7443,14.9771
0,22,0,88,2.5934,10.3735
0,22,15,89,2.2032,8.8126
0,22,30,90,2.6636,10.6546
0,22,45,91,2.9032,11.6128
0,23,0,92,0.9336,3.7343
0,23,15,93,0.9306,3.7225
0,23,30,94,1.0676,4.2704
0,23,45,95,0.9751,3.9004
1,0,0,0,0.5475,2.1901
1,0,15,1,0.6764,2.7054
1,0,30,2,0.4954,1.9817
1,0,45,3,0.3781,1.5125
1,1,0,4,0.2378,0.9510
1,1,15,5,0.3206,1.2822
1,1,30,6,0.2101,0.8406
1,1,45,7,0.2632,1.0528
1,2,0,8,0.3108,1.2430
1,2,15,9,0.2913,1.1650
1,2,30,10,0.2560,1.0240
1,2,45,11,0.3064,1.2256
1,3,0,12,0.0000,0.0000
1,3,15,13,0.0000,0.0000
1,3,30,14,0.0000,0.0000
1,3,45,15,0.0000,0.0000
1,4,0,16,0.0000,0.0000
1,4,15,17,0.0000,0.0000
1,4,30,18,0.0000,0.0000
1,4,45,19,0.0000,0.0000
1,5,0,20,0.3003,1.2012
1,5,15,21,0.2351,0.9405
1,5,30,22,0.2941,1.1764
1,5,45,23,0.2921,1.1683
1,6,0,24,0.8419,3.3676
1,6,15,25,0.5762,2.3049
1,6,30,26,0.7962,3.1847
1,6,45,27,0.7723,3.0891
1,7,0,28,2.2323,8.9291
1,7,15,29,2.6107,10.4429
1,7,30,30,1.8311,7.3243
1,7,45,31,2.5529,10.2114
1,8,0,32,3.2676,13.0702
1,8,15,33,3.3949,13.5798
1,8,30,34,4.7068,18.8271
1,8,45,35,4.1098,16.4391
1,9,0,36,5.4392,21.7567
1,9,15,37,4.4128,17.6510
1,9,30,38,4.9520,19.8080
1,9,45,39,4.3264,17.3054
1,10,0,40,4.1005,16.4022
1,10,15,41,4.7036,18.8144
1,10,30,42,4.2562,17.0250
1,10,45,43,4.1197,16.4788
1,11,0,44,3.8102,15.2406
1,11,15,45,3.8299,15.3195
1,11,30,46,3.6618,14.6472
1,11,45,47,3.4722,13.8889
1,12,0,48,2.1566,8.6266
1,12,15,49,3.4477,13.7910
1,12,30,50,3.0030,12.0120
1,12,45,51,2.6051,10.4205
1,13,0,52,2.8496,11.3986
1,13,15,53,3.8153,15.2610
1,13,30,54,3.4965,13.9859
1,13,45,55,3.6864,14.7455
1,14,0,56,3.2835,13.1341
1,14,15,57,4.7691,19.0762
1,14,30,58,3.2782,13.1129
1,14,45,59,3.0897,12.3589
1,15,0,60,4.2276,16.9105
1,15,15,61,3.2715,13.0858
1,15,30,62,3.8171,15.2685
1,15,45,63,4.6262,18.5049
1,16,0,64,3.6405,14.5620
1,16,15,65,5.1581,20.6324
1,16,30,66,5.5294,22.1178
1,16,45,67,4.5456,18.1824
1,17,0,68,7.0903,28.3611
1,17,15,69,5.2355,20.9420
1,17,30,70,4.4075,17.6301
1,17,45,71,6.9067,27.6269
1,18,0,72,5.4306,21.7222
1,18,15,73,5.9341,23.7364
1,18,30,74,5.4895,21.9579
1,18,45,75,8.8110,35.2439
1,19,0,76,5.3345,21.3378
1,19,15,77,5.7855,23.1419
1,19,30,78,4.9802,19.9207
1,19,45,79,6.9410,27.7641
1,20,0,80,4.9223,19.6893
1,20,15,81,5.2995,21.1980
1,20,30,82,3.8758,15.5031
1,20,45,83,4.9708,19.8833
1,21,0,84,3.0903,12.3611
1,21,15,85,3.2153,12.8611
1,21,30,86,3.4564,13.8255
1,21,45,87,4.5059,18.0236
1,22,0,88,2.1690,8.6760
1,22,15,89,2.6464,10.5857
1,22,30,90,2.2112,8.8448
1,22,45,91,2.0639,8.2557
1,23,0,92,0.6380,2.5522
1,23,15,93,0.7094,2.8377
1,23,30,94,0.9548,3.8194
1,23,45,95,0.8728,3.4912
2,0,0,0,0.4087,1.6349
2,0,15,1,0.4688,1.8752
2,0,30,2,0.5931,2.3725
2,0,45,3,0.5291,2.1163
2,1,0,4,0.2807,1.1227
2,1,15,5,0.2559,1.0236
2,1,30,6,0.2811,1.1245
2,1,45,7,0.2230,0.8922
2,2,0,8,0.2850,1.1402
2,2,15,9,0.3226,1.2904
2,2,30,10,0.2672,1.0686
2,2,45,11,0.2192,0.8770
2,3,0,12,0.0000,0.0000
2,3,15,13,0.0000,0.0000
2,3,30,14,0.0000,0.0000
2,3,45,15,0.0000,0.0000
2,4,0,16,0.0000,0.0000
2,4,15,17,0.0000,0.0000
2,4,30,18,0.0000,0.0000
2,4,45,19,0.0000,0.0000
2,5,0,20,0.2547,1.0190
2,5,15,21,0.3180,1.2722
2,5,30,22,0.3065,1.2258
2,5,45,23,0.2025,0.8099
2,6,0,24,0.8357,3.3428
2,6,15,25,0.9781,3.9124
2,6,30,26,0.7746,3.0984
2,6,45,27,1.1027,4.4108
2,7,0,28,2.2351,8.9404
2,7,15,29,2.5117,10.0469
2,7,30,30,1.6071,6.4283
2,7,45,31,2.1182,8.4726
2,8,0,32,3.7274,14.9096
2,8,15,33,4.4823,17.9292
2,8,30,34,3.8628,15.4510
2,8,45,35,4.1306,16.5224
2,9,0,36,5.4667,21.8667
2,9,15,37,6.2881,25.1525
2,9,30,38,5.9477,23.7908
2,9,45,39,4.5025,18.0101
2,10,0,40,5.2116,20.8462
2,10,15,41,5.6198,22.4792
2,10,30,42,5.8517,23.4069
2,10,45,43,5.5580,22.2320
2,11,0,44,3.3433,13.3731
2,11,15,45,4.0170,16.0679
2,11,30,46,4.8326,19.3305
2,11,45,47,4.8193,19.2773
2,12,0,48,2.8513,11.4053
2,12,15,49,2.9165,11.6658
2,12,30,50,2.9432,11.7729
2,12,45,51,2.5993,10.3971
2,13,0,52,2.6993,10.7971
2,13,15,53,3.3515,13.4061
2,13,30,54,2.6011,10.4045
2,13,45,55,3.5428,14.1711
2,14,0,56,4.6544,18.6175
2,14,15,57,4.4875,17.9501
2,14,30,58,4.1087,16.4348
2,14,45,59,4.7354,18.9418
2,15,0,60,4.3698,17.4790
2,15,15,61,4.1398,16.5590
2,15,30,62,3.1733,12.6932
2,15,45,63,5.0881,20.3524
2,16,0,64,4.4068,17.6271
2,16,15,65,5.4919,21.9674
2,16,30,66,4.8051,19.2204
2,16,45,67,4.5794,18.3176
2,17,0,68,7.8008,31.2034
2,17,15,69,6.3586,25.4343
2,17,30,70,6.5505,26.2020
2,17,45,71,5.2581,21.0323
2,18,0,72,7.8041,31.2163
2,18,15,73,7.0657,28.2629
2,18,30,74,8.4313,33.7254
2,18,45,75,6.3212,25.2847
2,19,0,76,6.1106,24.4423
2,19,15,77,4.9435,19.7741
2,19,30,78,5.7830,23.1320
2,19,45,79,6.4574,25.8294
2,20,0,80,4.7997,19.1989
2,20,15,81,3.8067,15.2267
2,20,30,82,4.3291,17.3165
2,20,45,83,4.7040,18.8160
2,21,0,84,3.6600,14.6400
2,21,15,85,3.0411,12.1646
2,21,30,86,3.8736,15.4944
2,21,45,87,3.1811,12.7245
2,22,0,88,2.2553,9.0214
2,22,15,89,2.3947,9.5788
2,22,30,90,1.9686,7.8746
2,22,45,91,2.3631,9.4525
2,23,0,92,0.9698,3.8791
2,23,15,93,0.7799,3.1196
2,23,30,94,0.8730,3.4919
2,23,45,95,0.7507,3.0030
3,0,0,0,0.6554,2.6216
3,0,15,1,0.7046,2.8185
3,0,30,2,0.6006,2.4023
3,0,45,3,0.5161,2.0642
3,1,0,4,0.2534,1.0136
3,1,15,5,0.2887,1.1546
3,1,30,6,0.2759,1.1037
3,1,45,7,0.2827,1.1307
3,2,0,8,0.3500,1.3998
3,2,15,9,0.4031,1.6124
3,2,30,10,0.3200,1.2798
3,2,45,11,0.3274,1.3096
3,3,0,12,0.0000,0.0000
3,3,15,13,0.0000,0.0000
3,3,30,14,0.0000,0.0000
3,3,45,15,0.0000,0.0000
3,4,0,16,0.0000,0.0000
3,4,15,17,0.0000,0.0000
3,4,30,18,0.0000,0.0000
3,4,45,19,0.0000,0.0000
3,5,0,20,0.2380,0.9519
3,5,15,21,0.2496,0.9985
