hour,pv_kwh,ev_kwh,mall_kwh,pv_used_ev_kwh,pv_used_mall_kwh,bess_charge_kwh,bess_discharge_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_export_kwh,soc_percent,soc_kwh,load_kwh,net_balance_kwh,grid_import_kwh,mall_grid_import_kwh,ev_grid_import_kwh
0,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,50.0,816.0,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,50.0,816.0,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,50.0,816.0,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,50.0,816.0,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,50.0,816.0,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,348.8392038951565,11.882117733723067,1050.6976744186047,11.882117733723067,0.0,336.95708616143344,0.0,0.0,1050.6976744186047,0.0,70.12408959461743,1144.4251421841566,1062.5797921523279,-713.7405882571713,1050.6976744186047,1050.6976744186047,0.0
6,593.017154615844,11.882117733723067,1313.3720930232557,11.882117733723067,93.5601790662775,487.5748578158435,0.0,0.0,1219.8119139569783,0.0,99.24352505313763,1619.6543288672062,1325.2542107569789,-732.2370561411349,1219.8119139569783,1219.8119139569783,0.0
7,929.0874974591782,11.882117733723067,1576.046511627907,11.882117733723067,904.8597085926614,12.34567113279375,0.0,0.0,671.1868030352456,0.0,99.98084562654441,1631.6874006252049,1587.92862936163,-658.8411319024519,671.1868030352456,671.1868030352456,0.0
8,1341.5083010287988,11.882117733723067,1838.7209302325584,11.882117733723067,1329.3135839202805,0.31259937479519095,0.0,0.0,509.4073463122779,0.0,99.99951500043194,1631.9920848070492,1850.6030479662816,-509.0947469374828,509.4073463122779,509.4073463122779,0.0
9,1785.161459155894,12.65244308340683,1838.7209302325584,12.65244308340683,1772.5011008795364,0.007915192950775918,0.0,0.0,66.21982935302208,0.0,99.99998771953666,1631.9997995828385,1851.3733733159652,-66.21191416007127,66.21982935302208,66.21982935302208,0.0
10,2189.31891360089,17.804215543788352,1838.7209302325584,17.804215543788352,1838.7209302325584,0.0002004171616292183,0.0,0.0,0.0,332.7935674073817,99.99999968905172,1631.999994925324,1856.5251457763468,332.79376782454324,0.0,0.0,0.0
11,2474.502774620464,27.60520112395573,1576.046511627907,27.60520112395573,1576.046511627907,5.0746759008291065e-06,0.0,0.0,0.0,870.8510567939256,99.9999999921266,1631.9999998715064,1603.6517127518628,870.8510618686014,0.0,0.0,0.0
12,2577.5924470876184,39.7983759956669,1576.046511627907,39.7983759956669,1576.046511627907,1.2849373831613775e-07,0.0,0.0,0.0,961.7475593355507,99.99999999980064,1631.9999999967465,1615.8448876235739,961.7475594640446,0.0,0.0,0.0
