Hour,non_shiftable_load
0,487
1,646
2,636
3,625
4,622
5,608
6,619
7,652
8,665
9,683
10,708
11,711
12,914
13,1003
14,1017
15,1037
16,1027
17,1020
18,1058
19,1071
20,1054
21,1009
22,911
23,738
24,659
25,604
26,567
27,577
28,588
29,567
30,684
31,800
32,1168
33,1412
34,2028
35,2459
36,2514
37,2546
38,2573
39,2565
40,2583
41,2559
42,2445
43,2386
44,2288
45,2089
46,1216
47,731
48,659
49,594
50,605
51,553
52,563
53,536
54,622
55,757
56,1110
57,1258
58,1903
59,2360
60,2466
61,2404
62,2388
63,2446
64,2315
65,2267
66,2254
67,2215
68,2158
69,1993
70,1213
71,733
72,642
73,609
74,616
75,598
76,584
77,533
78,646
79,738
80,947
81,1251
82,1983
83,2439
84,2428
85,2419
86,2556
87,2508
88,2402
89,2336
90,2278
91,2189
92,2170
93,2038
94,1205
95,729
96,649
97,608
98,595
99,584
100,574
101,536
102,615
103,666
104,900
105,1192
106,1735
107,2133
108,2195
109,2277
110,2329
111,2391
112,2381
113,2330
114,2306
115,2274
116,2229
117,2071
118,1193
119,628
120,563
121,573
122,570
123,556
124,539
125,526
126,557
127,650
128,899
129,1164
130,1827
131,2291
132,2398
133,2380
134,2422
135,2469
136,2459
137,2442
138,2391
139,2302
140,2274
141,2100
142,1265
143,769
144,642
145,583
146,585
147,573
148,577
149,543
150,570
151,614
152,756
153,1189
154,1996
155,2484
156,2465
157,2486
158,2268
159,2215
160,2174
161,2132
162,2137
163,2137
164,2048
165,1896
166,1047
167,676
168,594
169,546
170,553
171,526
172,525
173,502
174,577
175,753
176,1014
177,1174
178,1783
179,2198
180,2230
181,2243
182,2291
183,2350
184,2220
185,2109
186,2069
187,2043
188,2000
189,1828
190,1141
191,693
192,619
193,591
194,591
195,570
196,546
197,546
198,615
199,763
200,968
201,1069
202,1659
203,2089
204,2171
205,2154
206,2191
207,2250
208,2256
209,2212
210,2215
211,2179
212,2154
213,1928
214,1136
215,694
216,622
217,512
218,471
219,464
220,453
221,428
222,464
223,825
224,1068
225,1233
226,1858
227,2339
228,2377
229,2391
230,2394
231,2347
232,2352
233,2312
234,2250
235,2202
236,2119
237,1838
238,1096
239,725
240,642
241,598
242,606
243,577
244,580
245,556
246,627
247,774
248,992
249,1134
250,1739
251,2151
252,2188
253,2215
254,2260
255,2313
256,2274
257,2260
258,2254
259,2232
260,2191
261,1972
262,1103
263,708
264,622
265,588
266,594
267,584
268,561
269,536
270,605
271,742
272,962
273,1078
274,1639
275,2002
276,2085
277,2104
278,2139
279,2209
280,2222
281,2195
282,2185
283,2157
284,2144
285,1972
286,1175
287,711
288,628
289,584
290,523
291,517
292,553
293,519
294,522
295,710
296,1003
297,1165
298,1829
299,2271
300,2336
301,2333
302,2353
303,2394
304,2419
305,2381
306,2302
307,2209
308,2160
309,1995
310,1201
311,748
312,632
313,608
314,605
315,573
316,570
317,549
318,567
319,619
320,728
321,1000
322,1903
323,2409
324,2442
325,2406
326,2411
327,2374
328,2353
329,2309
330,2295
331,2288
332,2226
333,1996
334,1168
335,721
336,632
337,598
338,609
339,605
340,587
341,562
342,663
343,725
344,970
345,1226
346,1879
347,2392
348,2411
349,2449
350,2442
351,2410
352,2349
353,2309
354,2268
355,2267
356,2195
357,1979
358,1192
359,741
360,670
361,604
362,608
363,616
364,581
365,567
366,649
367,807
368,1040
369,1112
370,1738
371,2229
372,2274
373,2302
374,2233
375,2099
376,2054
377,2034
378,2020
379,2040
380,2064
381,1854
382,1140
383,738
384,649
385,639
386,632
387,619
388,612
389,605
390,670
391,705
392,920
393,1103
394,1587
395,1889
396,1909
397,1889
398,1916
399,1968
400,2002
401,1971
402,1913
403,1913
404,1875
405,1718
406,1075
407,673
408,563
409,542
410,529
411,506
412,546
413,535
414,560
415,649
416,975
417,1137
418,1711
419,2132
420,2202
421,2202
422,2144
423,2164
424,2019
425,1937
426,1914
427,1926
428,1858
429,1742
430,1041
431,669
432,576
433,564
434,553
435,539
436,533
437,519
438,574
439,687
440,875
441,1071
442,1628
443,1962
444,2010
445,2007
446,2058
447,2099
448,2175
449,2164
450,2160
451,2109
452,2103
453,1947
454,1179
455,697
456,613
457,573
458,540
459,532
460,573
461,509
462,570
463,642
464,854
465,1016
466,1508
467,1886
468,2009
469,2065
470,2089
471,2096
472,2133
473,2120
474,2043
475,2010
476,1995
477,1921
478,1181
479,735
480,598
481,549
482,553
483,540
484,535
485,527
486,556
487,591
488,701
489,1006
490,1694
491,2051
492,2071
493,2147
494,2178
495,2122
496,2195
497,2185
498,2194
499,2079
500,1988
501,1812
502,1051
503,673
504,577
505,559
506,556
507,545
508,536
509,522
510,588
511,654
512,914
513,1127
514,1769
515,2195
516,2288
517,2249
518,2253
519,2257
520,2287
521,2249
522,2212
523,2182
524,2074
525,1826
526,1072
527,697
528,619
529,598
530,570
531,559
532,553
533,530
534,591
535,756
536,948
537,1064
538,1597
539,2051
540,2216
541,2185
542,2202
543,2023
544,2175
545,2261
546,2260
547,2225
548,2215
549,1958
550,1143
551,742
552,629
553,587
554,595
555,574
556,577
557,573
558,625
559,814
560,1014
561,1140
562,1752
563,2190
564,2281
565,2259
566,2288
567,2299
568,2343
569,2357
570,2323
571,2226
572,2157
573,1937
574,1165
575,762
576,651
577,622
578,602
579,591
580,578
581,553
582,599
583,753
584,982
585,1134
586,1787
587,2339
588,2346
589,2364
590,2319
591,2154
592,2096
593,2061
594,2050
595,2040
596,2004
597,1813
598,1082
599,718
600,635
601,570
602,553
603,622
604,608
605,577
606,612
607,749
608,976
609,1141
610,1766
611,2181
612,2218
613,2219
614,2295
615,2363
616,2370
617,2329
618,2235
619,2164
620,2126
621,2003
622,1188
623,734
624,652
625,619
626,615
627,580
628,573
629,608
630,635
631,739
632,993
633,1099
634,1858
635,2394
636,2364
637,2349
638,2346
639,2374
640,2363
641,2242
642,2184
643,2154
644,2129
645,2017
646,1185
647,705
648,639
649,605
650,619
651,598
652,591
653,578
654,608
655,656
656,759
657,1110
658,1873
659,2260
660,2246
661,2264
662,2353
663,2353
664,2377
665,2354
666,2347
667,2353
668,2313
669,2093
670,1175
