pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly,mall_grid_import_kwh,pv_generation_kw,mall_demand_kw,ev_demand_kw,total_demand_kw,bess_charge_kw,bess_discharge_kw,ev_demand_after_bess_kw,mall_demand_after_bess_kw,demand_from_grid_kw,grid_export_kw,pv_to_ev_kw,pv_to_bess_kw,pv_to_mall_kw,pv_to_demand_kw,bess_soc_percent,bess_soc_kwh,pv_to_grid_kw,ev_from_grid_kw,mall_from_grid_kw,co2_avoided_kg,co2_from_grid_kg,co2_from_grid_ev_kg,co2_from_grid_mall_kg
0.0,0.0,487,487.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,487.0,487.0,80.0,1600.0,0.0,HFP,0.28,136.36,0.0,0.0,0.0,1.0,0.0,487.0,487.0,0.0,0.0,0.0,0.0,OK,487.0,0.0,487,0.0,487.0,0.0,0.0,0.0,487.0,487.0,0.0,0.0,0.0,0.0,0.0,80.0,1600.0,0.0,0.0,487.0,0.0,220.1727,0.0,220.1727
0.0,0.0,646,646.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,646.0,646.0,60.00000000000001,1200.0000000000002,0.0,HFP,0.28,180.88,0.0,0.0,0.0,1.0,0.0,646.0,646.0,0.0,0.0,0.0,0.0,OK,646.0,0.0,646,0.0,646.0,0.0,0.0,0.0,646.0,646.0,0.0,0.0,0.0,0.0,0.0,60.00000000000001,1200.0000000000002,0.0,0.0,646.0,0.0,292.0566,0.0,292.0566
0.0,0.0,636,636.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,636.0,636.0,40.00000000000001,800.0000000000001,0.0,HFP,0.28,178.08,0.0,0.0,0.0,1.0,0.0,636.0,636.0,0.0,0.0,0.0,0.0,OK,636.0,0.0,636,0.0,636.0,0.0,0.0,0.0,636.0,636.0,0.0,0.0,0.0,0.0,0.0,40.00000000000001,800.0000000000001,0.0,0.0,636.0,0.0,287.5356,0.0,287.5356
0.0,0.0,625,625.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,625.0,625.0,20.000000000000007,400.0000000000001,0.0,HFP,0.28,175.00000000000003,0.0,0.0,0.0,1.0,0.0,625.0,625.0,0.0,0.0,0.0,0.0,OK,625.0,0.0,625,0.0,625.0,0.0,0.0,0.0,625.0,625.0,0.0,0.0,0.0,0.0,0.0,20.000000000000007,400.0000000000001,0.0,0.0,625.0,0.0,282.5625,0.0,282.5625
0.0,0.0,622,622.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,622.0,622.0,20.0,400.0,0.0,HFP,0.28,174.16000000000005,0.0,0.0,0.0,1.0,0.0,622.0,622.0,0.0,0.0,0.0,0.0,OK,622.0,0.0,622,0.0,622.0,0.0,0.0,0.0,622.0,622.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,622.0,0.0,281.2062,0.0,281.2062
0.0,0.0,608,608.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,608.0,608.0,20.0,400.0,0.0,HFP,0.28,170.24,0.0,0.0,0.0,1.0,0.0,608.0,608.0,0.0,0.0,0.0,0.0,OK,608.0,0.0,608,0.0,608.0,0.0,0.0,0.0,608.0,608.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,608.0,0.0,274.8768,0.0,274.8768
167.2143549040596,0.0,619,619.0,0.0,162.9803928749767,0.0,0.0,167.2143549040596,charge,0.0,0.0,0.0,619.0,619.0,28.14901964374884,562.9803928749767,0.0,HFP,0.28,173.32000000000002,0.0,0.0,45.63451000499348,1.0,0.0,619.0,619.0,162.9803928749767,0.0,-162.9803928749767,100.0,CRITICAL,619.0,167.2143549040596,619,0.0,619.0,162.9803928749767,0.0,0.0,619.0,619.0,0.0,0.0,162.9803928749767,0.0,0.0,28.14901964374884,562.9803928749767,0.0,0.0,619.0,0.0,279.8499,0.0,279.8499
952.805506951468,0.0,652,652.0,0.0,389.8717737923585,552.805506951468,0.0,400.0,charge,0.0,0.0,0.0,99.19449304853195,99.19449304853195,47.64260833336676,952.8521666673352,0.0,HFP,0.28,182.56000000000003,0.0,0.0,109.1640966618604,1.0,0.0,652.0,652.0,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL,99.19449304853195,952.805506951468,652,0.0,652.0,389.8717737923585,0.0,0.0,652.0,99.19449304853195,0.0,0.0,389.8717737923585,552.805506951468,552.805506951468,47.64260833336676,952.8521666673352,0.0,0.0,652.0,0.0,44.84583030724129,0.0,44.84583030724129
1629.4000190352165,0.0,665,665.0,0.0,389.8717737923585,665.0,564.4000190352165,400.0,charge,0.0,0.0,0.0,0.0,0.0,67.13619702298467,1342.7239404596935,0.0,HFP,0.28,186.2,0.0,0.0,109.1640966618604,1.0,0.0,665.0,665.0,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL,0.0,1629.4000190352165,665,0.0,665.0,389.8717737923585,0.0,0.0,665.0,0.0,564.4000190352165,0.0,389.8717737923585,665.0,665.0,67.13619702298467,1342.7239404596935,564.4000190352165,0.0,665.0,0.0,0.0,0.0,0.0
2614.18441944971,32.116,683,715.116,32.116,389.8717737923585,683.0,1499.0684194497098,400.0,charge,0.0,0.0,0.0,0.0,0.0,86.6297857126026,1732.595714252052,0.0,HFP,0.28,200.23248,0.0,0.0,109.1640966618604,1.0,32.116,683.0,715.116,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL,0.0,2614.18441944971,683,32.116,715.116,389.8717737923585,0.0,32.116,683.0,0.0,1499.0684194497098,32.116,389.8717737923585,683.0,715.116,86.6297857126026,1732.595714252052,1499.0684194497098,32.116,683.0,0.0,0.0,0.0,0.0
