solar_generation_kw,irradiancia_ghi,temperatura_c,velocidad_viento_ms,potencia_kw,energia_kwh,is_hora_punta,hora_tipo,tarifa_aplicada_soles,ahorro_solar_soles,reduccion_indirecta_co2_kg,hour,pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,datetime,mall_demand_kwh,mall_co2_indirect_kg,tarifa_soles_kwh,mall_cost_soles
2024-01-01 00:00:00-05:00,0.0,24.71,0.61,0.0,0.0,0,HFP,0.28,0.0,0.0,0,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 00:00:00,487,220.1727,0.3,146.1
2024-01-01 01:00:00-05:00,0.0,24.37,0.63,0.0,0.0,0,HFP,0.28,0.0,0.0,1,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 01:00:00,646,292.0566,0.3,193.8
2024-01-01 02:00:00-05:00,0.0,24.03,0.65,0.0,0.0,0,HFP,0.28,0.0,0.0,2,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 02:00:00,636,287.5356,0.3,190.8
2024-01-01 03:00:00-05:00,0.0,24.94,0.34,0.0,0.0,0,HFP,0.28,0.0,0.0,3,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 03:00:00,625,282.5625,0.3,187.5
2024-01-01 04:00:00-05:00,0.0,23.47,0.69,0.0,0.0,0,HFP,0.28,0.0,0.0,4,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 04:00:00,622,281.2062,0.3,186.6
2024-01-01 05:00:00-05:00,0.0,23.57,0.41,0.0,0.0,0,HFP,0.28,0.0,0.0,5,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 05:00:00,608,274.8768,0.3,182.4
2024-01-01 06:00:00-05:00,44.85,24.14,0.21,167.2143549040596,167.2143549040596,0,HFP,0.28,46.820019373136695,75.59760985212534,6,0.0,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 06:00:00,619,279.8499,0.3,185.7
2024-01-01 07:00:00-05:00,194.75,25.01,0.41,952.805506951468,952.805506951468,0,HFP,0.28,266.7855419464111,430.7633696927588,7,65.83613849978917,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 07:00:00,652,294.7692,0.3,195.6
2024-01-01 08:00:00-05:00,286.6,25.14,0.48,1629.4000190352165,1629.4000190352165,0,HFP,0.28,456.2320053298607,736.6517486058214,8,176.77669529663686,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 08:00:00,665,300.6465,0.3,199.5
2024-01-01 09:00:00-05:00,446.95,25.72,0.41,2614.18441944971,2614.18441944971,0,HFP,0.28,731.9716374459189,1181.8727760332138,9,297.3017787506803,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 09:00:00,683,308.7843,0.3,204.9
2024-01-01 10:00:00-05:00,572.8,26.55,0.69,2886.689477778584,2886.689477778584,0,HFP,0.28,808.2730537780034,1305.0723129036976,10,402.9637244338282,87.82083333333333,100.0,187.82083333333333,2.9637244338281903,2024-01-01 10:00:00,708,320.0868,0.3,212.4
2024-01-01 11:00:00-05:00,565.05,26.96,1.03,2886.689477778584,2886.689477778584,0,HFP,0.28,808.2730537780034,1305.0723129036976,11,474.66331884121774,87.82083333333333,100.0,187.82083333333333,74.66331884121774,2024-01-01 11:00:00,711,321.4431,0.3,213.3
2024-01-01 12:00:00-05:00,490.9,27.29,0.9,2886.689477778584,2886.689477778584,0,HFP,0.28,808.2730537780034,1305.0723129036976,12,500.0,87.82083333333333,100.0,187.82083333333333,87.82083333333333,2024-01-01 12:00:00,914,413.2194,0.3,274.2
2024-01-01 13:00:00-05:00,232.75,27.62,0.48,1407.6952566845382,1407.6952566845382,0,HFP,0.28,394.1546718716708,636.4190255470797,13,474.66331884121774,87.82083333333333,100.0,187.82083333333333,87.82083333333333,2024-01-01 13:00:00,1003,453.4563,0.3,300.9
2024-01-01 14:00:00-05:00,225.95,25.47,0.48,1357.888944350109,1357.888944350109,0,HFP,0.28,380.2089044180306,613.9015917406844,14,402.96372443382825,87.82083333333333,100.0,187.82083333333333,87.82083333333333,2024-01-01 14:00:00,1017,459.7857,0.3,305.1
2024-01-01 15:00:00-05:00,264.0,25.03,0.28,1578.0332718828888,1578.0332718828888,0,HFP,0.28,441.8493161272089,713.4288422182541,15,297.3017787506803,87.82083333333333,100.0,187.82083333333333,87.82083333333333,2024-01-01 15:00:00,1037,468.8277,0.3,311.1
2024-01-01 16:00:00-05:00,155.7,25.6,0.62,873.4389981102496,873.4389981102496,0,HFP,0.28,244.5629194708699,394.8817710456439,16,176.77669529663686,87.82083333333333,100.0,187.82083333333333,87.82083333333333,2024-01-01 16:00:00,1027,464.3067,0.3,308.1
2024-01-01 17:00:00-05:00,44.25,25.3,0.41,179.73766390238518,179.73766390238518,0,HFP,0.28,50.32654589266785,81.25939785026834,17,65.83613849978927,87.82083333333333,100.0,187.82083333333333,65.83613849978927,2024-01-01 17:00:00,1020,461.142,0.3,306.0
2024-01-01 18:00:00-05:00,0.05,25.3,0.0,0.0,0.0,1,HP,0.45,0.0,0.0,18,6.776201032523264e-22,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 18:00:00,1058,478.3218,0.5,529.0
2024-01-01 19:00:00-05:00,0.0,25.18,0.41,0.0,0.0,1,HP,0.45,0.0,0.0,19,,87.82083333333333,100.0,187.82083333333333,,2024-01-01 19:00:00,1071,484.1991,0.5,535.5
2024-01-01 20:00:00-05:00,0.0,24.85,0.55,0.0,0.0,1,HP,0.45,0.0,0.0,20,,87.82083333333333,100.0,187.82083333333333,,2024-01-01 20:00:00,1054,476.5134,0.5,527.0
2024-01-01 21:00:00-05:00,0.0,24.59,0.9,0.0,0.0,1,HP,0.45,0.0,0.0,21,,87.82083333333333,100.0,187.82083333333333,,2024-01-01 21:00:00,1009,456.1689,0.5,504.5
2024-01-01 22:00:00-05:00,0.0,24.28,0.9,0.0,0.0,1,HP,0.45,0.0,0.0,22,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 22:00:00,911,411.8631,0.5,455.5
2024-01-01 23:00:00-05:00,0.0,24.0,0.83,0.0,0.0,0,HFP,0.28,0.0,0.0,23,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-01 23:00:00,738,333.6498,0.3,221.4
2024-01-02 00:00:00-05:00,0.0,23.69,0.9,0.0,0.0,0,HFP,0.28,0.0,0.0,24,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 00:00:00,659,297.9339,0.3,197.7
2024-01-02 01:00:00-05:00,0.0,23.18,1.24,0.0,0.0,0,HFP,0.28,0.0,0.0,25,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 01:00:00,604,273.0684,0.3,181.2
2024-01-02 02:00:00-05:00,0.0,23.19,0.97,0.0,0.0,0,HFP,0.28,0.0,0.0,26,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 02:00:00,567,256.3407,0.3,170.1
2024-01-02 03:00:00-05:00,0.0,23.14,0.83,0.0,0.0,0,HFP,0.28,0.0,0.0,27,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 03:00:00,577,260.8617,0.3,173.1
2024-01-02 04:00:00-05:00,0.0,23.04,0.69,0.0,0.0,0,HFP,0.28,0.0,0.0,28,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 04:00:00,588,265.8348,0.3,176.4
2024-01-02 05:00:00-05:00,0.0,22.79,0.48,0.0,0.0,0,HFP,0.28,0.0,0.0,29,,87.82083333333333,100.0,187.82083333333333,0.0,2024-01-02 05:00:00,567,256.3407,0.3,170.1
