ev_is_hora_punta,ev_tarifa_aplicada_soles,ev_energia_total_kwh,ev_costo_carga_soles,ev_energia_motos_kwh,ev_energia_mototaxis_kwh,ev_co2_reduccion_motos_kg,ev_co2_reduccion_mototaxis_kg,ev_reduccion_directa_co2_kg,ev_demand_kwh,solar_is_hora_punta,solar_tarifa_aplicada_soles,solar_ahorro_soles,solar_reduccion_indirecta_co2_kg,solar_co2_mall_kg,solar_co2_ev_kg,bess_soc_percent,bess_charge_kwh,bess_discharge_kwh,bess_to_mall_kwh,bess_to_ev_kwh,mall_demand_kwh,mall_demand_reduction_kwh,mall_cost_soles,total_reduccion_co2_kg,total_costo_soles,total_ahorro_soles
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.487,0.0,0.13635999,0.0,136.36,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.646,0.0,0.18088001,0.0,180.88,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.636,0.0,0.17807999,0.0,178.08,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.625,0.0,0.175,0.0,175.0,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.622,0.0,0.17415999,0.0,174.16,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.608,0.0,0.17024,0.0,170.24,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,46.82002,75.59761,0.0,0.0,59.587082,167.21436,0.0,0.0,0.0,0.619,0.0,0.17332001,0.0,173.32,46.82002
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,266.78555,430.76337,249.92337,0.0,82.52071,400.0,0.0,0.0,0.0,0.652,552.8055,0.18256,0.0,27.774458,266.78555
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,456.232,736.65173,300.6465,0.0,100.0,400.0,0.0,0.0,0.0,0.665,665.0,0.18620001,0.0,0.0,456.232
0,0.28,281.20000000000005,78.736,222.0,59.2,7.259822,3.1113522,10.371174,281.20000000000005,0,0.28,731.9716,1181.8728,308.7843,10.371174,100.0,0.0,0.0,0.0,0.0,0.683,683.0,0.19124001,0.0,0.0,731.9716
