dia_del_año,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
0,1586.0,514.0,3649.3860000000004,2582.3360000000002,6231.722000000001
1,5289.0,1541.0,12169.989000000001,7741.984,19911.973
2,9173.0,2424.0,21107.073,12178.176,33285.249
3,13039.0,3408.0,30002.739,17121.792,47124.531
4,16928.0,4510.0,38951.328,22658.24,61609.568
5,20560.0,5725.0,47308.560000000005,28762.4,76070.96
6,24232.0,6852.0,55757.832,34424.448,90182.28
7,28112.0,7731.0,64685.71200000001,38840.544,103526.25600000001
8,32198.0,8500.0,74087.598,42704.0,116791.59800000001
9,35816.0,9569.0,82412.61600000001,48074.656,130487.272
10,39441.0,10551.0,90753.74100000001,53008.224,143761.965
11,43095.0,11563.0,99161.595,58092.512,157254.10700000002
12,46713.0,12497.0,107486.61300000001,62784.928,170271.541
13,50574.0,13455.0,116370.774,67597.92,183968.69400000002
14,54502.0,14431.0,125409.10200000001,72501.344,197910.44600000003
15,58431.0,15433.0,134449.731,77535.39199999999,211985.12300000002
16,62142.0,16663.0,142988.742,83714.912,226703.654
17,65820.0,17712.0,151451.82,88985.088,240436.908
18,69595.0,18627.0,160138.095,93582.048,253720.143
19,73513.0,19495.0,169153.413,97942.88,267096.293
20,77117.0,20721.0,177446.217,104102.304,281548.521
21,80580.0,21935.0,185414.58000000002,110201.44,295616.02
22,84093.0,22863.0,193497.99300000002,114863.712,308361.705
23,87682.0,24041.0,201756.282,120781.984,322538.266
24,91340.0,25102.0,210173.34000000003,126112.448,336285.788
25,95295.0,26153.0,219273.795,131392.672,350666.467
26,99173.0,26969.0,228197.07300000003,135492.256,363689.329
27,103086.0,27770.0,237200.88600000003,139516.48,376717.36600000004
28,106941.0,28657.0,246071.241,143972.768,390044.009
29,110700.0,29496.0,254720.7,148187.904,402908.60400000005
30,114405.0,30464.0,263245.905,153051.136,416297.041
31,118007.0,31633.0,271534.107,158924.192,430458.299
32,121618.0,32753.0,279843.01800000004,164551.07200000001,444394.09
33,125370.0,33686.0,288476.37,169238.464,457714.83400000003
34,129084.0,34619.0,297022.28400000004,173925.856,470948.14
35,132839.0,35584.0,305662.53900000005,178774.016,484436.55500000005
36,136428.0,36777.0,313920.82800000004,184767.648,498688.476
37,140056.0,37972.0,322268.856,190771.328,513040.184
38,143781.0,38938.0,330840.081,195624.512,526464.593
39,147508.0,39826.0,339415.90800000005,200085.824,539501.7320000001
40,151126.0,40873.0,347740.92600000004,205345.952,553086.878
41,154952.0,41926.0,356544.552,210636.224,567180.7760000001
42,158886.0,42984.0,365596.68600000005,215951.616,581548.302
43,162814.0,44049.0,374635.014,221302.176,595937.1900000001
44,166877.0,44930.0,383983.977,225728.32,609712.297
45,170612.0,45915.0,392578.21200000006,230676.96,623255.172
46,174360.0,46909.0,401202.36000000004,235670.816,636873.176
47,178264.0,47815.0,410185.46400000004,240222.56,650408.024
48,182156.0,48794.0,419140.956,245141.056,664282.012
49,185883.0,49837.0,427716.78300000005,250381.088,678097.871
50,189496.0,50875.0,436030.29600000003,255596.0,691626.2960000001
51,193128.0,51972.0,444387.52800000005,261107.328,705494.856
52,196837.0,53069.0,452921.93700000003,266618.656,719540.593
53,200850.0,53995.0,462155.85000000003,271270.88,733426.73
54,204844.0,54832.0,471346.04400000005,275475.968,746822.012
55,208570.0,55814.0,479919.57000000007,280409.536,760329.106
56,212270.0,56878.0,488433.27,285755.072,774188.3420000001
57,216035.0,57800.0,497096.53500000003,290387.2,787483.735
58,219781.0,58741.0,505716.081,295114.784,800830.865
59,223593.0,59674.0,514487.493,299802.176,814289.669
60,227247.0,60723.0,522895.347,305072.352,827967.699
61,230903.0,61691.0,531307.8030000001,309935.584,841243.387
62,234722.0,62598.0,540095.322,314492.352,854587.674
63,238610.0,63659.0,549041.61,319822.816,868864.426
64,242602.0,64588.0,558227.202,324490.112,882717.314
65,246551.0,65443.0,567313.851,328785.632,896099.483
66,250314.0,66469.0,575972.5140000001,333940.256,909912.77
67,254343.0,67446.0,585243.243,338848.704,924091.947
68,258178.0,68582.0,594067.578,344555.968,938623.5460000001
69,261965.0,69621.0,602781.4650000001,349775.904,952557.3690000001
