mes,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
1,1686766.0,454908.0,3881248.566,2285457.792,6166706.358
2,5060430.0,1359934.0,11644049.430000002,6832308.416,18476357.846
3,8469352.0,2258297.0,19487978.952,11345684.128,30833663.080000002
4,11876712.0,3169271.0,27328314.312000003,15922417.504,43250731.816
5,15280300.0,4075310.0,35159970.300000004,20474357.44,55634327.74
6,18710387.0,5004119.0,43052600.487,25140693.856,68193294.34300001
7,22128454.0,5930024.0,50917572.65400001,29792440.576,80710013.23
8,25544912.0,6847864.0,58778842.512,34403668.736,93182511.24800001
9,28976095.0,7752121.0,66673994.595000006,38946655.904,105620650.499
10,32403796.0,8659595.0,74561134.596,43505805.28,118066939.876
11,35815287.0,9558627.0,82410975.38700001,48022542.048,130433517.435
12,39251827.0,10445582.0,90318453.927,52478603.968,142797057.895
13,6872737.0,1829550.0,15814167.837000001,9191659.2,25005827.037
