dia_del_año,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
0,1586.0,514.0,2421.233009684211,1715.9891352631582,4137.222144947369
1,5289.0,1541.0,8074.338832421055,5144.628905526317,13218.96773794737
2,9173.0,2424.0,14003.764437473686,8092.524637894738,22096.289075368426
3,13039.0,3408.0,19905.7107271579,11377.608896842106,31283.319624000007
4,16928.0,4510.0,25842.769475368426,15056.636186842108,40899.405662210535
5,20560.0,5725.0,31387.484665263164,19112.91400657895,50500.398671842115
6,24232.0,6852.0,36993.26500042106,22875.4038031579,59868.668803578956
7,28112.0,7731.0,42916.58409094738,25809.94553447369,68726.52962542107
8,32198.0,8500.0,49154.38867957896,28377.25223684211,77531.64091642106
9,35816.0,9569.0,54677.73106863159,31946.109018157902,86623.8400867895
10,39441.0,10551.0,60211.75985810527,35224.51627657895,95436.27613468423
11,43095.0,11563.0,65790.06087789475,38603.07854289474,104393.13942078949
12,46713.0,12497.0,71313.40326694738,41721.237788684215,113034.6410556316
13,50574.0,13455.0,77207.7164134737,44919.52104078948,122127.23745426319
14,54502.0,14431.0,83204.31367831581,48177.897297631585,131382.21097594738
15,58431.0,15433.0,89202.43757178949,51523.0745613158,140725.51213310528
16,62142.0,16663.0,94867.75642357896,55629.42988500001,150497.18630857897
17,65820.0,17712.0,100482.69653052633,59131.51666105264,159614.21319157898
18,69595.0,18627.0,106245.71961473687,62186.244401842116,168431.96401657898
19,73513.0,19495.0,112227.05059326318,65084.06263026317,177311.11322352634
20,77117.0,20721.0,117729.02018147371,69177.06395289475,186906.08413436846
21,80580.0,21935.0,123015.73513263161,73230.00327236843,196245.73840500004
22,84093.0,22863.0,128378.78151536845,76328.13151657896,204706.91303194742
23,87682.0,24041.0,133857.8516741053,80260.88482657896,214118.73650068426
24,91340.0,25102.0,139442.25920842108,83803.03360578949,223245.29281421058
25,95295.0,26153.0,145480.0754463158,87311.79738236843,232791.87282868425
26,99173.0,26969.0,151400.34127957898,90036.01359710528,241436.35487668426
27,103086.0,27770.0,157374.0391149474,92710.15230789475,250084.19142284215
28,106941.0,28657.0,163259.19248968424,95671.4020413158,258930.59453100007
29,110700.0,29496.0,168997.7895157895,98472.40376210528,267470.19327789475
30,114405.0,30464.0,174653.94859578952,101704.07201684212,276358.02061263163
31,118007.0,31633.0,180152.8649267369,105606.7788244737,285759.6437512106
32,121618.0,32753.0,185665.52091536846,109345.89911921055,295011.420034579
33,125370.0,33686.0,191393.43154105268,112460.71986473686,303854.15140578954
34,129084.0,34619.0,197063.3302787369,115575.54061026318,312638.87088900007
35,132839.0,35584.0,202795.82079031583,118797.19336421054,321593.0141545264
36,136428.0,36777.0,208274.89094905267,122780.02417815791,331054.9151272106
37,140056.0,37972.0,213813.4996244211,126769.5319926316,340583.0316170527
38,143781.0,38938.0,219500.19127705268,129994.52324684213,349494.7145238948
39,147508.0,39826.0,225189.93618694742,132959.11148052634,358149.04766747373
40,151126.0,40873.0,230713.27857600004,136454.52125605266,367167.79983205267
41,154952.0,41926.0,236554.1597204211,139969.9620331579,376524.121753579
42,158886.0,42984.0,242559.91675705268,143502.09531157897,386062.01206863165
43,162814.0,44049.0,248556.51402189478,147057.59809184214,395614.1121137369
44,166877.0,44930.0,254759.20615200006,149998.81682368423,404758.02297568426
45,170612.0,45915.0,260461.16409094742,153287.23958289475,413748.4036738422
46,174360.0,46909.0,266182.9682021053,156605.7088444737,422788.677046579
47,178264.0,47815.0,272142.92637978954,159630.39008289477,431773.3164626843
48,182156.0,48794.0,278084.5650138948,162898.78184052635,440983.34685442114
49,185883.0,49837.0,283774.3099237895,166380.83761500003,450155.14753878955
50,189496.0,50875.0,289290.01916968427,169846.2008881579,459136.2200578422
51,193128.0,51972.0,294834.734359579,173508.53567684215,468343.27003642113
52,196837.0,53069.0,300496.99995410535,177170.87046552636,477667.87041963165
53,200850.0,53995.0,306623.3606526316,180262.32170921055,486885.6823618422
54,204844.0,54832.0,312720.71540715796,183056.6464294737,495777.36183663167
55,208570.0,55814.0,318408.9336884211,186335.05368789478,504743.98737631587
56,212270.0,56878.0,324057.45962526323,189887.21796789477,513944.677593158
57,216035.0,57800.0,329805.21642315795,192965.31521052634,522770.5316336843
58,219781.0,58741.0,335523.9672770527,196106.84395815793,531630.8112352106
59,223593.0,59674.0,341343.47562063165,199221.66470368425,540565.1403243159
