hora_del_dia,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
0,10478685.0,2799494.0,15997060.542296845,9346111.455708949,25343171.998005792
1,10479834.0,2799820.0,15998814.63859453,9347199.806794738,25346014.445389267
2,10480942.0,2800140.0,16000506.143118318,9348268.126878949,25348774.26999727
3,10482106.0,2800461.0,16002283.138845477,9349339.785463423,25351622.9243089
4,10483282.0,2800757.0,16004078.454116214,9350327.981541317,25354406.43565753
5,10484421.0,2801076.0,16005817.284127582,9351392.963125264,25357210.247252848
6,10485587.0,2801389.0,16007597.333112003,9352437.913707633,25360035.246819638
7,10486696.0,2801720.0,16009290.364264425,9353542.957294738,25362833.32155916
8,10487888.0,2802025.0,16011110.105593266,9354561.199875,25365671.30546827
9,10491322.0,2802966.0,16016352.54831411,9357702.728622634,25374055.276936743
10,10494849.0,2803844.0,16021736.967497688,9360633.931853686,25382370.899351373
11,10498306.0,2804765.0,16027014.522677056,9363708.690596053,25390723.21327311
12,10501804.0,2805662.0,16032354.669630319,9366703.325332107,25399057.994962424
13,10505237.0,2806570.0,16037595.58572253,9369734.683571054,25407330.269293584
14,10508701.0,2807502.0,16042883.82730232,9372846.165816318,25415729.993118636
15,10512212.0,2808412.0,16048243.820427792,9375884.201055791,25424128.021483585
16,10515702.0,2809316.0,16053571.754352003,9378902.205293685,25432473.95964569
17,10519144.0,2810248.0,16058826.410101898,9382013.68753895,25440840.097640846
18,10522551.0,2811167.0,16064027.633849688,9385081.769280791,25449109.40313048
19,10526024.0,2812099.0,16069329.61508716,9388193.251526054,25457522.866613217
20,10529494.0,2813027.0,16074627.01643874,9391291.379770264,25465918.396209005
21,10532940.0,2813962.0,16079887.77870316,9394412.877516318,25474300.65621948
22,10534097.0,2814251.0,16081654.088029899,9395377.70409237,25477031.792122267
23,10535231.0,2814529.0,16083385.284898108,9396305.807165528,25479691.092063636
