hora_del_dia,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
0,10478685.0,2799494.0,18434102.652,10762654.683,29196757.334999997
1,10479834.0,2799820.0,18436123.972799998,10763907.99,29200031.9628
2,10480942.0,2800140.0,18438073.1664,10765138.23,29203211.396399997
3,10482106.0,2800461.0,18440120.8752,10766372.3145,29206493.1897
4,10483282.0,2800757.0,18442189.694399998,10767510.2865,29209699.980899997
5,10484421.0,2801076.0,18444193.4232,10768736.682,29212930.1052
6,10485587.0,2801389.0,18446244.650399998,10769940.0105,29216184.660899997
7,10486696.0,2801720.0,18448195.6032,10771212.54,29219408.1432
8,10487888.0,2802025.0,18450292.569599997,10772385.1125,29222677.682099998
9,10491322.0,2802966.0,18456333.6624,10776002.787,29232336.4494
10,10494849.0,2803844.0,18462538.360799998,10779378.258,29241916.6188
11,10498306.0,2804765.0,18468619.9152,10782919.0425,29251538.9577
12,10501804.0,2805662.0,18474773.5968,10786367.559,29261141.1558
13,10505237.0,2806570.0,18480812.9304,10789858.365,29270671.295399997
14,10508701.0,2807502.0,18486906.7992,10793441.439,29280348.238199998
15,10512212.0,2808412.0,18493083.350399997,10796939.934,29290023.284399997
16,10515702.0,2809316.0,18499222.9584,10800415.362,29299638.3204
17,10519144.0,2810248.0,18505278.1248,10803998.436,29309276.560799997
18,10522551.0,2811167.0,18511271.7192,10807531.5315,29318803.250699997
19,10526024.0,2812099.0,18517381.4208,10811114.6055,29328496.0263
20,10529494.0,2813027.0,18523485.8448,10814682.3015,29338168.1463
21,10532940.0,2813962.0,18529548.048,10818276.909,29347824.957
22,10534097.0,2814251.0,18531583.442399997,10819387.9695,29350971.4119
23,10535231.0,2814529.0,18533578.3752,10820456.7405,29354035.1157
