mes,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
1,1686766.0,454908.0,2967358.7471999996,1748893.806,4716252.5532
2,5060430.0,1359934.0,8902308.456,5228266.263,14130574.718999999
3,8469352.0,2258297.0,14899284.038399998,8682022.8165,23581306.8549
4,11876712.0,3169271.0,20893511.7504,12184262.3595,33077774.109899998
5,15280300.0,4075310.0,26881103.759999998,15667529.295,42548633.055
6,18710387.0,5004119.0,32915312.810399998,19238335.4955,52153648.3059
7,22128454.0,5930024.0,38928376.2768,22797977.268,61726353.5448
8,25544912.0,6847864.0,44938609.1904,26326613.148000002,71265222.33839999
9,28976095.0,7752121.0,50974746.32399999,29803029.1845,80777775.5085
10,32403796.0,8659595.0,57004757.9232,33291812.9775,90296570.9007
11,35815287.0,9558627.0,63006252.89039999,36748141.5015,99754394.3919
12,39251827.0,10445582.0,69051814.05839999,40158039.999,109209854.05739999
13,6872737.0,1829550.0,12090518.930399999,7033704.975,19124223.9054
