episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
1,2876050.3249323843,1801630.2980517545,1074420.0268806296,-0.38950818901746703,-0.19595948627512363,294.2237869560554,299.82373507234706,0.9332992955083895,3011.3916919090952,0.0,,288845.3054178716,2423515.5597357065,7587579.904275157,638896.9374427596,288845.3054178716
2,2691762.1178832334,1499904.314056292,1191857.8038269412,-0.3963336894473546,-0.17140020558529456,257.18637683896,274.54187072385946,0.8956895172534094,2753.433925585592,0.0,,229962.9457346232,2519848.293673348,7336663.286532829,508655.0447569635,229962.9457346232
3,2597884.037171984,1256070.8347163592,1341813.2024556252,-0.3868541398359553,-0.1723837447714613,258.63382573146833,291.31820110145696,0.9524286384944346,2756.732059512432,0.0,,222268.1980586389,2474179.757103649,7322678.184254513,491635.0322022537,222268.1980586389
4,2486522.0791771226,954598.7984841831,1531923.2806929394,-0.3878433401936366,-0.17076128331158144,256.24737614691054,290.52485460127116,0.9469039162155559,2784.518295293187,0.0,,218235.17123697465,2478035.373649201,7321530.853542808,482714.38008620805,218235.17123697465
5,2408607.8146154154,711251.6873109407,1697356.1273044744,-0.39295233200669166,-0.1738518015958147,260.99302489561614,285.35685277512727,0.9123732063575863,2795.9523710810536,0.0,,223919.68730334524,2485279.9146714304,7361677.076450951,495287.96129914897,223919.68730334524
6,2430716.016496266,595259.493478181,1835456.523018085,-0.4083177145896951,-0.17937800524044414,269.13554289047636,270.31928505300544,0.8558536522229453,2933.9737432036445,0.0,,256725.87061511725,2450662.3547799564,7583989.482245982,567851.9588920975,256725.87061511725
7,2353279.815828908,461970.0015529337,1891309.8142759744,-0.3966823226481544,-0.16782806004259807,251.85042905753082,266.72706756039975,0.8499040775379109,2901.523825443129,0.0,,242441.24586627007,2464429.2106796927,7486774.863142456,536255.7970941607,242441.24586627007
8,2305181.3588314913,402886.29292645236,1902295.0659050392,-0.3881965819526123,-0.16154683821388585,242.38912666397604,273.15098780668393,0.8697919814808842,2916.0873958728644,0.0,,231350.5990593048,2478211.6342061665,7396449.558159362,511724.3951765202,231350.5990593048
9,2284631.198051994,378764.7098737713,1905866.488178223,-0.38431697488774197,-0.1660065533498709,249.11074451878326,281.0485747633176,0.9000351559572236,2796.279462394305,0.0,,223267.6153869373,2493125.847116774,7356440.771574167,493845.6434128231,223267.6153869373
10,2310571.1197600886,397561.7220722579,1913009.3976878303,-0.3896295955264853,-0.1587152370142915,238.19961038286976,268.4221176530595,0.8584357432040562,2830.53400314584,0.0,,232143.36574128605,2462985.075187058,7421657.77626349,513477.9158179298,232143.36574128605
