episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
0,2903060.947450583,1832649.1848770152,1070411.7625735672,-0.38884790143279613,-0.20795413644783056,312.14446925995867,302.34536974240484,0.9450433084788687,2996.0121476063896,0.0,,,,,,
1,2852674.717453433,1680592.726671165,1172081.990782268,-0.397439404076491,-0.2136705102911819,320.6991209654491,308.8358159183168,0.9490390303571782,3054.0,0.0,,317136.8805593146,2443782.583066165,7641032.770209554,701475.0731238987,317136.8805593146
2,2755348.12255547,1412709.0210306938,1342639.1015247763,-0.4010271204825445,-0.21337266742767266,320.4622464669142,306.66082444852634,0.9552805701093118,3075.7551173114966,0.0,,305533.3757461912,2439054.5113613238,7660284.366377631,675809.2805710931,305533.3757461912
3,2648220.7230538214,1105367.1417938885,1542853.5812599328,-0.40420324177444067,-0.2075031300863614,311.5828628172116,306.4745110531361,0.9470672174402596,3044.340004197396,0.0,,299724.2314142594,2435878.41228753,7664847.977604478,662960.0340948007,299724.2314142594
4,2511607.030447324,777959.5105902781,1733647.5198570453,-0.4018822688528489,-0.2082191350127773,312.5778317646681,306.8024272724503,0.9520599795157811,3068.6601085933594,0.0,,280410.3778182024,2409965.12016157,7685635.93186255,620239.7208984791,280410.3778182024
5,2387856.41886427,484353.43362518447,1903502.9852390862,-0.3974202493025108,-0.19937378286711102,299.35853262875753,306.49093394992985,0.9455440513466551,3064.264197318588,0.0,,272660.98048572225,2427171.620365709,7630647.503688899,603098.8287673573,272660.98048572225
6,2314681.1464205827,345327.9317663369,1969353.2146542456,-0.3866272760301828,-0.19476840786692615,292.4483968394972,302.5616963563143,0.9480789991495963,2983.759505694753,0.0,,255483.83496737745,2428304.6480584056,7577080.549073232,565104.7002153891,255483.83496737745
7,2308455.9156957157,341493.48788288527,1966962.42781283,-0.38612948674173975,-0.18782029449163204,281.9312263311923,303.9377961281691,0.935744963318174,3076.3708536330923,0.0,,245999.27663580023,2447048.0683376486,7501722.617961055,544125.8054319846,245999.27663580023
8,2303178.8440826302,369715.06817590655,1933463.7759067232,-0.3860014411471556,-0.18157205853403716,272.6899429508249,299.50393042826926,0.92652159334434,2915.3955115255503,0.0,,239736.51572867893,2446011.106806119,7485216.9063133,530273.204442997,239736.51572867893
9,2292248.783081769,379520.66946185124,1912728.1136199175,-0.38453913169373766,-0.1751667312656129,263.0597357085953,294.7962016033835,0.9199414682402622,2931.0353008884013,0.0,,234266.4571047143,2464216.752454397,7431476.7329732785,518173.9816516574,234266.4571047143
10,2277328.6496522487,339472.07364259445,1937856.576009654,-0.3821237868414697,-0.17243506371928694,258.81868569352076,292.258625996863,0.9182984021394904,2924.9657719431943,0.0,,228913.49640558127,2482187.3289198373,7381609.417101924,506333.7677628429,228913.49640558127
