variable,seccion,comparacion,estadistico,p_valor,significativo,efecto,interpretacion
CO₂ total evitado (directo + indirecto),descriptivos,A2C,media=2460341,,,"IC95=[2456132,2464817]","media=2,460,341 sd=15,743"
CO₂ total evitado (directo + indirecto),descriptivos,PPO,media=2462456,,,"IC95=[2458365,2466063]","media=2,462,456 sd=14,062"
CO₂ total evitado (directo + indirecto),descriptivos,SAC,media=2423996,,,"IC95=[2421292,2426253]","media=2,423,996 sd=9,111"
CO₂ total evitado (directo + indirecto),shapiro_wilk,A2C,W=0.9329,7.103e-03,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),shapiro_wilk,PPO,W=0.7946,6.583e-07,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),shapiro_wilk,SAC,W=0.7458,6.072e-08,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),kruskal_wallis,A2C vs PPO vs SAC,H=91.6220,1.272e-20,SÍ,,diferencias globales significativas
CO₂ total evitado (directo + indirecto),dunn_bonferroni,A2C vs PPO,z=-1.2913,5.898e-01,NO,,no significativo
CO₂ total evitado (directo + indirecto),dunn_bonferroni,A2C vs SAC,z=7.5681,1.136e-13,SÍ,,significativo post-hoc
CO₂ total evitado (directo + indirecto),dunn_bonferroni,PPO vs SAC,z=8.8594,2.413e-18,SÍ,,significativo post-hoc
CO₂ total evitado (directo + indirecto),mann_whitney_u,A2C > PPO,U=947,9.818e-01,NO,,equivalentes
CO₂ total evitado (directo + indirecto),mann_whitney_u,A2C > SAC,U=2462,3.360e-17,SÍ,,A2C evita MÁS CO₂ que SAC
CO₂ total evitado (directo + indirecto),mann_whitney_u,PPO > SAC,U=2417,4.432e-16,SÍ,,PPO evita MÁS CO₂ que SAC
CO₂ total evitado (directo + indirecto),wilcoxon,A2C > PPO,W=447,9.676e-01,NO,,sin diferencia pareada
CO₂ total evitado (directo + indirecto),wilcoxon,A2C > SAC,W=1275,8.882e-16,SÍ,,A2C supera SAC (pareado)
CO₂ total evitado (directo + indirecto),wilcoxon,PPO > SAC,W=1271,6.217e-15,SÍ,,PPO supera SAC (pareado)
CO₂ total evitado (directo + indirecto),cohen_d,A2C vs PPO,d=-0.1417,,,negligible,efecto negligible
CO₂ total evitado (directo + indirecto),cohen_d,A2C vs SAC,d=2.8259,,,very large,efecto very large
CO₂ total evitado (directo + indirecto),cohen_d,PPO vs SAC,d=3.2461,,,very large,efecto very large
CO₂ total evitado (directo + indirecto),cliff_delta,A2C vs PPO,δ=-0.2424,,,small,efecto small
CO₂ total evitado (directo + indirecto),cliff_delta,A2C vs SAC,δ=0.9696,,,large,efecto large
CO₂ total evitado (directo + indirecto),cliff_delta,PPO vs SAC,δ=0.9336,,,large,efecto large
CO₂ total evitado (directo + indirecto),bootstrap_ic95,A2C - PPO,diff=-2115,,NO,"IC95=[-7814,3759]",diferencia incierta
CO₂ total evitado (directo + indirecto),bootstrap_ic95,A2C - SAC,diff=36345,,SÍ (cero excluido),"IC95=[31550,41581]",diferencia real
CO₂ total evitado (directo + indirecto),bootstrap_ic95,PPO - SAC,diff=38459,,SÍ (cero excluido),"IC95=[33750,42854]",diferencia real
CO₂ directo evitado (ICE→EV transporte),descriptivos,A2C,media=217471,,,"IC95=[210401,221929]","media=217,471 sd=21,896"
CO₂ directo evitado (ICE→EV transporte),descriptivos,PPO,media=212170,,,"IC95=[203007,219208]","media=212,170 sd=29,741"
CO₂ directo evitado (ICE→EV transporte),descriptivos,SAC,media=211231,,,"IC95=[204313,216824]","media=211,231 sd=23,000"
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,A2C,W=0.3251,8.304e-14,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,PPO,W=0.4394,1.495e-12,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,SAC,W=0.3505,1.527e-13,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),kruskal_wallis,A2C vs PPO vs SAC,H=42.4018,6.202e-10,SÍ,,diferencias globales significativas
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,A2C vs PPO,z=0.9990,9.534e-01,NO,,no significativo
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,A2C vs SAC,z=6.0720,3.790e-09,SÍ,,significativo post-hoc
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,PPO vs SAC,z=5.0730,1.175e-06,SÍ,,significativo post-hoc
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,A2C > PPO,U=1439,9.689e-02,NO,,equivalentes
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,A2C > SAC,U=2085,4.386e-09,SÍ,,A2C evita MÁS CO₂ que SAC
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,PPO > SAC,U=2029,4.006e-08,SÍ,,PPO evita MÁS CO₂ que SAC
CO₂ directo evitado (ICE→EV transporte),wilcoxon,A2C > PPO,W=948,1.138e-03,SÍ,,A2C supera PPO (pareado)
CO₂ directo evitado (ICE→EV transporte),wilcoxon,A2C > SAC,W=1214,1.012e-10,SÍ,,A2C supera SAC (pareado)
CO₂ directo evitado (ICE→EV transporte),wilcoxon,PPO > SAC,W=916,3.263e-03,SÍ,,PPO supera SAC (pareado)
CO₂ directo evitado (ICE→EV transporte),cohen_d,A2C vs PPO,d=0.2030,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cohen_d,A2C vs SAC,d=0.2779,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cohen_d,PPO vs SAC,d=0.0353,,,negligible,efecto negligible
CO₂ directo evitado (ICE→EV transporte),cliff_delta,A2C vs PPO,δ=0.1512,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cliff_delta,A2C vs SAC,δ=0.6680,,,large,efecto large
