hour,pv_generation_kw,ev_demand_kw,mall_demand_kw,total_demand_kw,pv_to_demand_kw,pv_surplus_kw,pv_to_bess_kw,pv_to_grid_kw,bess_charge_kw,bess_discharge_kw,bess_action_kw,bess_mode,bess_to_demand_kw,demand_from_grid_kw,bess_soc_percent,peak_exceeded_above_1900kw,co2_from_grid_kg,is_hora_punta,tarifa_por_kwh,ahorro_picos_soles
0,0.0,0.0,487.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,487.0,90.0,0.0,0.2201727,False,0.28,0.0
1,0.0,0.0,646.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,646.0,81.25,0.0,0.2920566,False,0.28,0.0
2,0.0,0.0,636.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,636.0,73.59375,0.0,0.2875356,False,0.28,0.0
3,0.0,0.0,625.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,625.0,66.89453125,0.0,0.2825625,False,0.28,0.0
4,0.0,0.0,622.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,622.0,61.03271484375,0.0,0.2812062,False,0.28,0.0
5,0.0,0.0,608.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,608.0,55.90362548828125,0.0,0.2748768,False,0.28,0.0
6,167.2143549040596,0.0,619.0,619.0,167.2143549040596,0.0,0.0,0.0,0.0,90.1022738620783,90.1022738620783,discharge,90.1022738620783,361.6833712338621,51.398511795177335,0.0,0.16351705213482903,False,0.28,25.22863668138193
7,952.805506951468,0.0,652.0,652.0,652.0,300.80550695146803,65.83613849978917,234.96936845167886,65.83613849978917,90.1022738620783,65.83613849978917,charge,0.0,0.0,50.10185461414245,0.0,0.0,False,0.28,25.22863668138193
8,1629.4000190352165,0.0,665.0,665.0,665.0,964.4000190352165,176.77669529663686,787.6233237385796,176.77669529663686,90.1022738620783,176.77669529663686,charge,0.0,0.0,54.21177139109492,0.0,0.0,False,0.28,25.22863668138193
9,2614.18441944971,32.116,683.0,715.116,715.116,1899.0684194497098,297.3017787506803,1601.7666406990295,297.3017787506803,90.1022738620783,297.3017787506803,charge,0.0,0.0,64.19535417713489,0.0,0.0,False,0.28,25.22863668138193
10,2886.689477778584,64.232,708.0,772.232,772.232,2114.4574777785842,400.0,1714.4574777785842,400.0,87.06155675142475,400.0,charge,0.0,0.0,79.33586502918158,0.0,0.0,False,0.28,24.377235890398932
11,2886.689477778584,73.40799999999999,711.0,784.408,784.408,2102.2814777785843,400.0,1702.2814777785843,400.0,13.49932503615728,400.0,charge,0.0,0.0,98.15448746699164,0.0,0.0,False,0.28,3.779811010124039
12,2886.689477778584,68.82,914.0,982.8199999999999,982.8199999999999,1903.8694777785843,37.8691181473684,1866.0003596312158,37.8691181473684,0.0,37.8691181473684,charge,0.0,0.0,100.0,0.0,0.0,False,0.28,0.0
13,1407.6952566845382,82.58399999999997,1003.0,1085.584,1085.584,322.11125668453815,0.0,322.11125668453815,0.0,0.0,0.0,idle,0.0,0.0,100.0,0.0,0.0,False,0.28,0.0
