rank,criterion,agent,episode_trace,co2_indirect_emitted_kg,co2_indirect_avoided_kg,co2_direct_avoided_kg,co2_total_avoided_kg,co2_net_trace_balance_kg,grid_import_kwh,ev_charging_kwh,solar_generation_kwh
1,max_total_avoided,A2C,19,3691968.1268614433,2299823.224215912,223893.73655254891,2523716.960768461,1168251.166092982,7376094.5249257935,272862.4915383935,5819332.395698235
2,max_total_avoided,PPO,48,3660594.7182291127,2242799.1455379166,227155.19225651913,2469954.3377944357,1190640.380434677,7366314.623111377,277180.1661499509,5819332.395698235
3,max_total_avoided,SAC,41,3694826.360896562,2215728.016260305,218432.66388030825,2434160.680140613,1260665.680755949,7374821.593526726,265621.49895911856,5819979.769325235
1,max_direct_avoided,PPO,48,3660594.7182291127,2242799.1455379166,227155.19225651913,2469954.3377944357,1190640.380434677,7366314.623111377,277180.1661499509,5819332.395698235
2,max_direct_avoided,A2C,35,3670317.092613062,2236831.552441584,225135.91347438077,2461967.465915965,1208349.626697097,7354689.127005398,274949.91036889836,5821168.457933235
3,max_direct_avoided,SAC,27,3700570.7313587917,2210575.0661162054,220168.494961327,2430743.5610775324,1269827.1702812593,7386698.587485725,267254.631978358,5819332.395698235
1,max_indirect_avoided,A2C,1,3810765.4163659257,2377542.924519607,84538.41010836452,2462081.3346279715,1348684.0817379542,7607924.849552208,102962.09649503787,5819332.395698235
2,max_indirect_avoided,PPO,1,3844560.084353538,2365179.492029064,77740.75311441805,2442920.245143482,1401639.8392100562,7649728.175639128,94301.05072389058,5819332.395698235
3,max_indirect_avoided,SAC,1,3868617.304823083,2286740.830325702,110538.4101640013,2397279.2404897036,1471338.0643333793,7695368.221411745,134834.5745867602,5819332.395698235
1,min_indirect_emitted,PPO,49,3657483.763233675,2243141.937362479,222599.14408603916,2465741.081448518,1191742.681785157,7360980.894036965,271703.74914906407,5819332.395698235
2,min_indirect_emitted,A2C,45,3659010.2839648514,2246402.952170025,221775.76230289487,2468178.71447292,1190831.5694919312,7328494.4139091885,270774.4037994528,5819332.395698235
3,min_indirect_emitted,SAC,17,3693083.648515993,2215864.7947458634,216897.34406355146,2432762.138809415,1260321.5097065778,7378590.660599208,263588.14427208295,5819849.853222735
1,min_trace_net_balance,A2C,19,3691968.1268614433,2299823.224215912,223893.73655254891,2523716.960768461,1168251.166092982,7376094.5249257935,272862.4915383935,5819332.395698235
2,min_trace_net_balance,PPO,36,3657528.1084497957,2244686.303281018,224406.40905056577,2469092.7123315837,1188435.396118212,7361534.951476337,273649.70144342456,5821462.1484217355
3,min_trace_net_balance,SAC,17,3693083.648515993,2215864.7947458634,216897.34406355146,2432762.138809415,1260321.5097065778,7378590.660599208,263588.14427208295,5819849.853222735
